reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Paraguay,Brazil,871234,966185,1233378,1648191,2487298,1683893,2547743,2967412,2617443,2996600,3193507,2473348,2220839,2646219,2945451,2455250,2152551,3041355,3518823,3672178
Paraguay,United States of America,622872,895820,910756,1236695,1610007,1352587,1810054,1972071,1740963,1932852,2115641,1491696,1970328,2712675,2256468,2108012,1267396,2055250,2114879,2765466
Paraguay,China,234940,252560,327496,467841,763509,513924,1050604,1248051,1335795,1356500,1396245,1273283,1163294,1561140,1671466,1432117,1216925,1780723,1895119,2209127
Paraguay,Argentina,477366,508939,622707,778662,1087839,845359,1155901,1367481,1368078,1298735,1215306,1053991,979683,1175586,1257157,1017140,875993,1292409,1321154,1204928
Paraguay,Germany,42677,48118,63270,99080,124947,112536,136755,164544,162547,164894,168585,159535,152809,193776,208484,191919,165337,219223,217169,221013
Paraguay,Netherlands,7370,8887,9959,20673,35410,19111,45390,61904,36161,68696,79118,75954,67261,70877,72255,70697,136624,169486,113760,185298
Paraguay,"Hong Kong, China",131617,108870,88580,102431,170304,90216,312235,380684,342736,346468,163315,157797,150201,115011,173578,244098,176093,162747,157584,172754
Paraguay,Spain,19849,21241,19814,29235,44586,38470,63766,76308,76633,106226,122719,111953,114114,137413,142533,118188,98031,140734,149614,157967
Paraguay,Chile,34085,42845,62187,70402,113638,96814,121788,160296,144540,144268,153373,153840,138621,143447,140254,147227,188269,126682,157811,155589
Paraguay,Italy,33997,39049,41023,47522,64924,54925,79267,105542,90051,98062,101343,70308,75565,101531,90544,73633,74254,93786,99450,114103
Paraguay,Japan,46148,47887,49405,75518,114394,51385,107998,118877,69731,62664,66589,69799,77787,85773,105038,90552,68194,87622,93152,110245
Paraguay,"Korea, Republic of",38360,51271,68205,64651,93955,55411,130408,199577,160295,203308,224298,224720,123961,145793,151274,111424,87491,121097,120463,108756
Paraguay,France,24525,35717,31932,33707,48853,33308,54848,64967,61697,78696,88003,87888,61680,63779,72772,66365,57180,66267,78005,94367
Paraguay,"Bolivia, Plurinational State of",17762,22082,28367,30520,54888,18668,20740,26877,27046,39814,58086,32027,37640,56589,52398,53490,33912,61672,66263,49226
Paraguay,Türkiye,1027,1163,1040,1551,3155,7385,24813,25901,12097,21492,32259,17292,19003,29573,39408,48106,52333,87541,49935,44991
Paraguay,Belgium,4460,6686,6665,9946,15104,12196,29332,36754,30323,31948,40576,34871,37566,35923,50894,39297,33748,64010,51203,37864
Paraguay,United Kingdom,28947,23049,25080,21447,30212,27852,43732,61514,50590,55533,56429,41149,39644,42852,49517,41158,24339,28280,39569,36443
Paraguay,Thailand,7466,5650,4717,12451,39492,16348,49408,59300,65709,68073,33713,34389,22941,39879,39142,28402,20035,31428,38357,32739
Paraguay,Colombia,2140,1838,2415,3530,6028,6916,10267,12729,14251,18367,18728,22579,22438,19922,26283,23532,28046,37519,37822,27951
