reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Philippines,China,9059443,12869689,17674561,23117835,19504744,11946610,16220255,17992317,19643205,18181829,20984132,19019735,17368933,19148726,20595680,20199393,19335468,24759917,23046246,19517039
Philippines,United States of America,9573097,9696097,10136514,9812582,9099659,7060925,8300339,9481141,9910143,9604547,10495177,10612702,10373590,11958154,12932237,13074410,11496628,14558099,16876577,13686905
Philippines,"Hong Kong, China",4497900,5141643,5505692,6435252,6585628,4735297,5739526,6123314,6023634,6276978,7292279,7892813,8713304,11165293,11100588,9969400,10218332,12127892,13380001,11313436
Philippines,Japan,8252519,7699982,7959972,8731229,8426185,6412526,7935804,8942546,9344050,9245551,10175593,8905335,9043196,9773400,10435492,10569983,9308946,10909704,10939137,10468291
Philippines,Germany,2510990,2387280,2407130,2419856,2607558,2106392,3036915,2835270,2985412,3177905,3671584,3337557,3153143,4068973,4341362,4476824,3839236,4684013,5611677,5274887
Philippines,Singapore,4223845,4648113,5648670,5818908,4914716,5156472,9196044,6201447,6041509,5088523,4992413,4536853,4697204,5736643,7824326,7095909,6887888,8119417,8350002,4895521
Philippines,"Korea, Republic of",2119961,2316026,2186564,2438245,3099468,2651620,3488104,3571472,3283935,3705004,3332995,3251234,3227617,3702624,3569425,3656141,3085744,3893550,5177612,4645089
Philippines,Thailand,1549448,1881735,2135727,2142400,2288782,1783135,2375392,2701824,2724200,2627067,2612379,2351087,2726847,3268091,3464541,3271142,3051246,3845542,3853097,3125242
Philippines,Netherlands,2643035,2609936,2185195,1958376,1549992,885636,1028729,1379598,1287475,1332607,1572435,1195833,1301839,1613617,1745806,1519079,1530605,2214440,2838821,2572909
Philippines,"Taipei, Chinese",3070926,2793161,2779283,2277912,2231532,1612954,2325629,2414686,2107235,2199382,2066935,1830484,2203980,2381575,2495113,2115626,2132693,3006470,3071378,2347029
Philippines,Malaysia,2817711,3219656,2902505,2845521,2082046,1139521,3520390,1561784,1553469,1505467,1577457,1681915,1593552,2089212,2277922,2179615,2085121,2391690,3013781,2124586
Philippines,United Kingdom,1602036,1399380,1863580,2018203,1806127,1616384,1066125,2420424,608250,564440,614664,627785,640393,699453,788414,698276,601406,738968,4681345,1914473
Philippines,Switzerland,74777,356129,470123,75811,76050,149185,121950,138868,510158,472447,426657,390762,512727,468640,509026,596667,665214,710367,3783476,1766016
Philippines,Canada,735983,760599,889382,716056,774974,647904,863476,925487,992079,1104165,1120250,1111807,1023598,1073605,1119391,1207842,887336,1119793,1498016,1610554
Philippines,France,510554,552931,569525,537578,697272,623236,690777,778102,631520,604643,655049,721309,939173,1153944,1360491,1208514,867982,1125038,1360545,1113219
Philippines,Australia,566951,599850,608326,705095,645562,377456,466226,450303,470020,688923,1039567,542725,578509,511396,534405,483896,423722,583314,666289,673830
Philippines,Italy,202543,223884,334464,259129,356171,301505,431103,368700,266064,237096,247910,270114,240283,301042,302069,330535,307815,377063,433489,353892
Philippines,Poland,107417,82195,92671,99439,161222,154814,151684,138925,142687,148894,249084,286820,331089,398826,539046,462582,500368,571045,671098,347863
Philippines,Spain,209907,175624,229025,327561,374829,177420,235659,220335,182249,204474,222663,230940,229855,305485,329089,301760,267521,426328,452370,347482
Philippines,Brazil,213250,288726,351924,345903,512357,303863,342709,307586,319812,341151,308735,254478,195191,247928,271493,266823,266045,300491,314190,309914
