reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Philippines,China,4268718,4687631,5738135,7528378,9132231,8584708,11540277,14255388,16732210,19868125,23473577,26692700,30113525,32117391,35111186,40763852,41880389,57308182,64679392,52769344
Philippines,Japan,9602304,9057461,9006625,9479975,9976796,8224252,11064525,11228612,11848538,9680641,9877925,9490124,10355874,11127277,11272564,10657525,8811576,11118569,12235174,10131732
Philippines,Singapore,3916960,4184109,5080557,6126562,7281262,5044875,7183223,6767164,6340584,6697326,6868740,6416055,6511119,7264869,7957349,8533570,7436655,9172391,10867393,10052410
Philippines,United States of America,7086975,6895406,7617348,7712785,8313641,5772849,7376713,7727871,8087356,8403503,8453324,7903090,8193676,8450627,8716048,8641029,7738751,9290214,9290734,9287845
Philippines,"Korea, Republic of",3379196,3219714,3930517,4420334,5016255,4567278,5837983,7338902,8210714,8783009,10046804,8332034,7277284,10595496,12061485,8363197,7126520,9655774,12306078,9008624
Philippines,Thailand,1828635,2050074,2594369,2938404,3496680,3022018,4886139,4640866,4861618,5042022,5868068,5928972,6349655,6925845,7834599,6916107,5010185,6985596,7316856,7730823
Philippines,Malaysia,1943262,1985287,2175270,2541005,2910951,1977787,3109385,3575617,3390003,2962530,3682066,3395361,3296184,3847777,4179076,4390583,4185610,5460880,6418722,5791807
Philippines,"Taipei, Chinese",3903925,4219672,4479619,4904715,4757056,4416525,5983062,6961313,8866217,9746017,9509895,7437472,8647010,9608960,8917756,6165905,5677670,6092762,7641567,5059373
Philippines,"Hong Kong, China",2524138,2635449,2681427,2865296,2770193,2035119,2237983,2652781,2937142,2821898,3078133,3330073,3275349,3651320,3864972,4535833,3741880,4634268,4408937,3633297
Philippines,Australia,725662,645432,742808,926130,1245293,915094,1152974,1588119,1863228,1326340,1471181,1175998,1437325,1751993,1578101,1932770,1156221,1869199,2543575,2291630
Philippines,Germany,1388946,1337638,1941439,1300030,1371622,1122054,1482430,1742432,1995614,2317216,2707994,2376020,2268255,2299891,3031802,2791157,2190035,2188349,2089372,2074841
Philippines,Brazil,242991,243965,272485,394278,583900,320327,449260,576370,777293,880381,697994,728634,436271,443475,662008,594935,834788,1372550,1530224,1561294
Philippines,France,443526,536368,446836,864034,1074588,663444,900476,956503,1265569,1937893,2518706,931126,905765,832645,1382148,1286243,567581,877772,964690,1216141
Philippines,Canada,318385,302294,354920,428040,526917,458950,652018,545255,523359,585406,510894,573401,472924,649556,756694,548465,670919,1099687,896973,918411
Philippines,Spain,183642,129571,131345,162496,201181,180680,221356,269708,352324,509927,482887,447300,407703,473008,566492,670979,509074,829482,1045003,881769
Philippines,Italy,312678,283474,267114,319606,395190,310294,337470,474053,480401,560200,582023,603512,676010,755268,782361,890053,650958,802485,859697,867181
Philippines,Netherlands,440476,397934,410654,447382,456265,384135,395956,417958,425649,492686,568365,481152,539308,556272,618082,621813,601808,776199,742316,836514
Philippines,United Kingdom,579636,508132,447504,497954,432292,404089,441588,457531,527180,585363,601167,600526,540451,683023,732792,889164,601355,548386,767132,762212
