reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Poland,Germany,19826755,20841689,26679809,33121522,38082581,30865755,36590217,44940677,42449937,47804573,52677854,49567310,51435745,57121975,65020284,64435078,66954000,81596754,82245781,86968554
Poland,Czech Republic,3218977,3789015,5270903,6684487,8290826,6736388,8041080,10001664,9966393,10756290,11865463,11159827,11776829,12559436,14135084,13685788,13503618,17308254,18932677,21596461
Poland,United Kingdom,3207376,4039940,5934945,7590595,8980444,7327558,9336337,11820113,11443105,12283653,12681369,12434605,12513333,13608619,14435682,14265992,13715350,13956892,17334530,19010740
Poland,France,3892647,4800455,6206823,7428753,9549717,7788092,9124190,10807093,10226744,10719491,11225614,10001777,10126405,11546979,12864567,13210103,12931915,16081904,16627961,17625447
Poland,Italy,4432617,5173102,7031526,8785466,9866446,9257948,9569564,10457002,9159545,8805614,9592235,9523185,9724773,11174214,11567784,11915091,10944181,14802480,15826343,17082909
Poland,Netherlands,2448781,2622003,3417692,4952427,5803307,5015125,6130398,7087769,7009491,7333183,7992046,7945620,8226995,9192260,10298679,10147110,10263619,12960812,14267682,16847491
Poland,United States of America,1944447,2076550,2376792,2350303,2723694,2143030,3105460,4530245,4782449,5060926,5340571,5821464,6142636,7338712,8264085,8637128,8869328,10144978,12537527,13630359
Poland,Spain,2024483,1789953,2697502,3705476,3949124,3416859,4067325,4338939,3469029,4235174,5278843,4966310,5538704,5960809,6450093,6372398,6407315,7603818,8407119,10145386
Poland,Slovakia,1169030,1399855,1900288,2346918,2800212,2034809,2632191,3146423,2855339,3941976,4076758,3748703,3995388,4436624,5188343,5276048,4953598,5837451,6323101,9464867
Poland,Belgium,2199440,2429454,2838887,3587474,4120411,3441067,3772782,4416364,3865149,4446393,4908528,4171163,4267530,4866859,5675479,6056686,6421395,8112094,8604455,9019044
Poland,Hungary,1944139,2498315,3319458,3761918,4306378,3163557,4589548,4696970,4397463,4810458,5401467,5007159,5107830,5837578,6771564,6765086,6596203,7942378,8877099,8841423
Poland,Sweden,2538788,2761238,3464041,4413721,5534235,3655400,4341918,5002184,4663673,5176850,5250722,4773243,5168189,5980344,6810135,6675915,7023706,8842306,8699932,8570301
Poland,Romania,822471,1172742,1431799,2383481,2854648,1939656,2318378,3024070,2998329,3264052,3600824,3384117,3833351,4659987,5439799,5776424,5677445,7270509,7874275,8243625
Poland,Austria,1377012,1850752,2013151,2485494,3127920,2170958,2512090,3386636,3361554,3399206,3409367,3303843,3679549,4290581,4952102,5213818,5135052,6824387,7399384,7538151
Poland,Ukraine,993616,1405924,2109116,2920477,4279323,2170227,2788802,3183387,3567072,4074125,3067345,2324047,2693325,3453753,3641876,4109065,4140884,4962489,5486777,6577267
Poland,Lithuania,947216,1286271,1846758,2598292,3121704,1827905,2064636,2726439,3133087,3320004,3326636,2901974,3013975,3182748,4203086,4201146,4349734,5389275,6429395,6416513
Poland,Denmark,1243189,1450028,1923100,2343690,2923567,2081144,2463002,2950929,2885495,3216486,3216506,2845744,3265919,3649886,4007062,4030536,4340443,5377061,5673967,5741444
Poland,Türkiye,996105,1244447,1436586,1646232,1977852,1817093,2620956,3496189,3058078,3387726,3252300,2977656,3244197,3445906,3101677,2603243,3005108,3635857,4294251,5073998
Poland,China,487270,557320,667121,1112248,1394432,1504764,1696613,2047976,1997766,2231797,2934739,2744035,2532429,3349340,3646181,3941495,4320382,5541768,5059645,4844000
Poland,Switzerland,542175,664888,762727,898691,1188153,1052716,1238737,1548676,1723379,1794988,1916165,1791612,2004616,2289735,2450787,2542227,2653927,3065930,3254379,3591730
Poland,Norway,775377,958493,1268572,1663634,2163892,1868006,1940684,2345285,2645645,2907050,2883070,2320909,2546977,2787811,2987104,3311080,3027392,3366836,3661824,3483558
