reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Russia,Germany,8716694,8590388,15142928
Russia,United States of America,6264073,7207030,9106465
Russia,China,7958795,8406690,9728068
Russia,Ukraine,5778991,6299107,8645594
Russia,Belarus,5437888,5922296,7601917
Russia,France,4543357,4943409,6928532
Russia,Türkiye,3435673,3891721,5451315
Russia,Italy,4633730,4720893,5782120
Russia,Netherlands,3102411,3573618,5224244
Russia,United Kingdom,3700970,4166642,4504252
Russia,Finland,3160963,3369158,4939088
Russia,Poland,4408978,4394275,5202009
Russia,Japan,3857427,3276510,4237425
Russia,Kazakhstan,2751921,2547026,3277753
Russia,Spain,1845775,2565475,3278331
Russia,Belgium,1699335,1748728,2552006
Russia,"Korea, Republic of",1929476,2217594,2521777
Russia,Hungary,2369318,2283973,2957333
Russia,Greece,1582591,2296789,2688385
Russia,Lithuania,1607004,1635916,2160416
Russia,Czech Republic,1997182,3262128,2339298
Russia,Slovakia,2180746,2086626,2449628
Russia,Switzerland,3015790,2350201,2455221
Russia,"Taipei, Chinese",603526,927319,1300680
Russia,Romania,1183760,1286557,1981438
Russia,Sweden,377257,1015136,1303670
Russia,Bulgaria,1457155,1170994,1368595
Russia,Austria,1026555,974590,1495885
Russia,Syrian Arab Republic,635486,504561,536682
Russia,Serbia and Montenegro,685164,786981,
Russia,India,478586,578497,784895
Russia,Croatia,654140,717192,678470
Russia,Norway,782275,732217,823546
Russia,Estonia,650161,704835,808354
Russia,Canada,233235,242386,578024
Russia,Morocco,371863,357073,702849
Russia,Thailand,316734,503337,584689
Russia,Denmark,336449,400552,601459
Russia,Brazil,498550,460474,598436
Russia,"Iran, Islamic Republic of",805694,878712,1051371
Russia,Portugal,389850,337294,586525
Russia,Israel,507159,519726,618325
Russia,Latvia,321949,355462,455446
Russia,Viet Nam,376369,500603,491813
Russia,Azerbaijan,152994,280943,383900
Russia,Lebanon,409377,245890,321184
Russia,"Hong Kong, China",279780,322623,498321
Russia,Malaysia,136124,183792,190791
Russia,Mexico,243280,236003,247940
Russia,Philippines,261052,339991,369732
Russia,Slovenia,281261,252409,368345
Russia,Tunisia,173265,186024,229451
Russia,Egypt,290744,428436,373563
Russia,Uruguay,25949,111158,257048
Russia,Mongolia,221119,,265388
Russia,Algeria,239950,267605,315271
Russia,Singapore,290366,318200,276906
Russia,Kyrgyzstan,85052,116636,176128
Russia,"Macedonia, North",139712,125365,178973
Russia,Indonesia,144788,151290,99884
Russia,Saudi Arabia,100731,136119,234649
Russia,Georgia,92785,121730,160632
Russia,"Moldova, Republic of",143979,153477,182964
Russia,Armenia,166155,187147,197661
Russia,Argentina,108957,78004,110967
