reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Samoa,Australia,49600,48334,69988
Samoa,United States of America,7257,7916,5420
Samoa,Germany,1604,2161,892
Samoa,New Zealand,1157,1940,1773
Samoa,Japan,69,2922,1430
Samoa,China,0,0,357
Samoa,United Kingdom,17,80,463
Samoa,Thailand,112,24,25
Samoa,Italy,10,238,645
Samoa,Austria,0,7,29
Samoa,"Taipei, Chinese",49,44,840
Samoa,Fiji,,271,125
Samoa,Netherlands,9,4,3
Samoa,Belgium,1009,31,0
Samoa,South Africa,0,3,4
Samoa,France,280,146,882
Samoa,Nicaragua,0,0,5
Samoa,Poland,514,81,0
Samoa,Mali,0,0,0
Samoa,Indonesia,22,50,118
Samoa,Bahamas,0,0,0
Samoa,Türkiye,0,0,0
Samoa,Brazil,1,115,126
Samoa,Costa Rica,0,0,0
Samoa,Madagascar,0,0,0
Samoa,Serbia and Montenegro,0,11,
Samoa,Trinidad and Tobago,0,19,25
Samoa,Singapore,1,5,0
Samoa,Sweden,74,190,7
Samoa,Canada,173,87,11
Samoa,Egypt,5,131,0
Samoa,Papua New Guinea,97,106,8
Samoa,Spain,2,45,14
Samoa,Ireland,0,1,250
Samoa,Philippines,0,47,71
Samoa,Colombia,0,5,0
Samoa,"Hong Kong, China",237,147,709
Samoa,"Korea, Republic of",12,11,4
Samoa,Chile,0,0,8
Samoa,Croatia,0,0,3
Samoa,Pakistan,,,4
Samoa,Denmark,0,0,12
Samoa,Hungary,0,0,0
Samoa,Algeria,1,0,0
Samoa,El Salvador,0,0,1
Samoa,Finland,0,0,0
Samoa,French Polynesia,0,1,0
Samoa,Portugal,3,2,0
Samoa,Belize,6,57,58
Samoa,Solomon Islands,0,0,0
Samoa,Cuba,0,19,2
Samoa,Czech Republic,0,0,0
Samoa,Benin,0,0,20
Samoa,Dominican Republic,0,0,3
Samoa,Ecuador,0,0,33
Samoa,Estonia,1,0,0
Samoa,Greenland,0,0,4
Samoa,Côte d'Ivoire,12,0,0
Samoa,Lebanon,0,2,0
Samoa,Luxembourg,0,0,1
Samoa,Malaysia,13,2,30
Samoa,Namibia,0,0,2
Samoa,New Caledonia,13,4,5
Samoa,Niger,0,0,9
Samoa,Romania,0,0,3
Samoa,India,0,0,7
Samoa,Viet Nam,310,0,42
Samoa,Zimbabwe,0,0,0
Samoa,Switzerland,4,6,0
Samoa,Tunisia,0,2,0
Samoa,"Macedonia, North",0,10,0
Samoa,Uruguay,0,0,1
Samoa,"Venezuela, Bolivarian Republic of",0,13,0
Samoa,Nigeria,20,99,841
Samoa,Tonga,57,165,242
