reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Senegal,France,457835,506844,571709
Senegal,Thailand,137011,137393,104626
Senegal,Belgium,70070,122206,116768
Senegal,United Kingdom,59536,56004,86324
Senegal,Spain,69341,87360,128296
Senegal,China,52556,57680,72851
Senegal,Côte d'Ivoire,71118,57497,95821
Senegal,Italy,82326,114131,110005
Senegal,United States of America,79514,74625,101813
Senegal,Brazil,19081,28516,56354
Senegal,Netherlands,57679,75356,65040
Senegal,Mali,17554,31416,28722
Senegal,Germany,50155,45307,60283
Senegal,Viet Nam,21311,13761,33975
Senegal,Ireland,36445,36771,40168
Senegal,Ukraine,4599,10300,12760
Senegal,India,22762,54119,25108
Senegal,South Africa,20267,19911,29123
Senegal,Morocco,15868,20815,25503
Senegal,Türkiye,13411,19112,26676
Senegal,"Hong Kong, China",22078,21855,22777
Senegal,Japan,17374,19083,20355
Senegal,Canada,29828,7044,10442
Senegal,Argentina,13914,23268,15054
Senegal,Tunisia,11346,11641,12314
Senegal,Togo,706,665,1749
Senegal,Syrian Arab Republic,0,0,12315
Senegal,Portugal,6132,8912,12283
Senegal,Cameroon,6676,6458,9563
Senegal,"Korea, Republic of",9283,12779,12119
Senegal,Switzerland,12472,10001,13086
Senegal,Indonesia,20854,11003,14608
Senegal,Denmark,8799,12502,5315
Senegal,Egypt,4540,8202,6933
Senegal,Malaysia,1148,1698,7666
Senegal,Azerbaijan,0,0,0
Senegal,Ghana,7233,,12002
Senegal,Sweden,3668,3808,5966
Senegal,Uruguay,773,364,2975
Senegal,Pakistan,,,6980
Senegal,Russian Federation,10863,6816,11081
Senegal,Austria,11529,7384,7965
Senegal,"Taipei, Chinese",2757,4099,4880
Senegal,Algeria,3254,2394,1687
Senegal,Israel,2511,3107,2217
Senegal,Czech Republic,678,1250,1318
Senegal,Finland,1692,16125,2727
Senegal,Lebanon,1297,2398,2662
Senegal,Saudi Arabia,8628,853,709
Senegal,Belarus,3060,2311,2921
Senegal,Poland,2508,1695,1349
Senegal,Peru,0,594,1538
Senegal,Australia,4476,7919,2914
Senegal,Malta,0,751,2240
Senegal,Benin,1037,781,2897
Senegal,Luxembourg,2082,2727,1826
Senegal,"Iran, Islamic Republic of",1712,7853,6064
Senegal,Guinea,745,511,
Senegal,Greece,4443,1734,5507
Senegal,Norway,1200,903,889
Senegal,Qatar,0,771,1665
Senegal,New Zealand,843,1750,4493
Senegal,Gabon,3518,15294,7355
Senegal,Kenya,163,578,739
Senegal,Philippines,254,112,119
Senegal,Mauritania,130,519,445
Senegal,Bangladesh,161,353,902
Senegal,Colombia,1063,772,2338
Senegal,Hungary,581,1610,602
Senegal,Cyprus,54,56,0
Senegal,Guinea-Bissau,,,1138
Senegal,Latvia,16,0,0
Senegal,Mauritius,57,67,72
Senegal,Romania,563,782,436
Senegal,Oman,869,367,63
Senegal,Guyana,0,0,3
Senegal,Burkina Faso,286,245,161
Senegal,Slovakia,235,244,396
Senegal,Sri Lanka,150,147,319
Senegal,Niger,59,5,22
Senegal,Chile,876,446,37
Senegal,Madagascar,38,194,321
Senegal,Lithuania,24,116,526
Senegal,Slovenia,363,192,191
Senegal,Gambia,166,212,189
Senegal,Kuwait,579,82,187
Senegal,Jordan,248,166,105
Senegal,Zimbabwe,0,42,93
Senegal,Bulgaria,702,456,115
Senegal,Malawi,1,126,124
Senegal,Mexico,5,310,41
Senegal,Mozambique,0,0,0
Senegal,Estonia,18,0,1
Senegal,"Venezuela, Bolivarian Republic of",0,13,0
Senegal,Kazakhstan,0,0,0
Senegal,"Tanzania, United Republic of",8,183,51
Senegal,Angola,,,
Senegal,Iceland,0,20,24
Senegal,Cabo Verde,82,127,42
Senegal,Dominican Republic,0,0,0
Senegal,Namibia,226,34,0
Senegal,Paraguay,24,193,128
Senegal,Yemen,,,
Senegal,Uganda,35,11,42
Senegal,Botswana,0,30,20
Senegal,Rwanda,0,10,1
Senegal,Croatia,0,0,617
Senegal,Suriname,0,,
Senegal,Andorra,8,18,0
Senegal,Bahrain,64,31,60
Senegal,Barbados,3,50,52
Senegal,"Bolivia, Plurinational State of",0,0,8
Senegal,Burundi,1,0,4
Senegal,Ecuador,62,123,44
Senegal,Ethiopia,47,7,31
Senegal,Honduras,0,0,10
Senegal,"Macao, China",85,0,0
Senegal,Papua New Guinea,0,0,0
Senegal,Saint Lucia,0,0,45
Senegal,Singapore,7143,6358,0
Senegal,Trinidad and Tobago,2564,0,998
Senegal,"Macedonia, North",22,0,0
Senegal,Zambia,0,219,0
Senegal,Sierra Leone,,5,
Senegal,Central African Republic,5,12,0
Senegal,Nigeria,174802,118775,254156
