reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Senegal,China,108308,133080,187267,335027,401551,399309,498321,680361,793973,997396,1650233,2194515,2236909,2048210,2145218,2211022,2563934,3353688,4068334,5290286
Senegal,France,665846,745530,836320,1002791,1166103,863953,946925,1237266,1064503,937490,968833,850606,841336,856979,969674,1200407,914168,963890,1011679,1084543
Senegal,Belgium,128881,122647,127386,206441,264877,151885,189812,243906,496317,550438,570379,335461,324916,506350,770800,830346,588368,1029809,1176511,947154
Senegal,Netherlands,72776,99537,200453,446693,216376,245515,303538,577031,385919,890457,863871,374225,341907,453824,829889,918717,607504,993522,1142619,581538
Senegal,Türkiye,25520,34951,40437,65108,90008,95267,83314,155021,128374,124356,169527,128206,154422,243641,389023,288907,361226,529114,705664,424318
Senegal,Spain,113057,111828,123139,143486,213475,158670,174399,214980,226011,375475,198627,312880,279918,422869,338316,338798,390280,393804,650720,412524
Senegal,United States of America,89420,141500,96898,152902,137104,175945,218783,265151,149119,229208,172583,198825,184316,207907,289218,196740,281302,382001,346306,344788
Senegal,Brazil,74091,129036,73872,158645,174805,135112,134448,239054,124501,129171,96026,131900,86361,133460,105665,134137,175860,145359,295917,292328
Senegal,Italy,98207,131748,131819,138899,214342,137903,143411,169857,199692,235732,201670,223875,246376,248404,300607,327162,276533,303491,242270,273113
Senegal,United Kingdom,123585,187308,371332,277642,882140,426959,787000,985393,1486461,500484,493764,143447,121170,255877,224934,223179,110340,192173,268977,233567
Senegal,Malaysia,8084,16105,9954,14962,14507,14197,11272,25421,29154,54198,105162,75850,58956,84839,94677,70696,62841,148298,204209,228031
Senegal,Thailand,144232,145568,125021,233038,266150,211297,165507,180363,104594,153019,166771,134423,147512,181635,145766,197366,111890,130744,176914,218115
Senegal,Poland,3481,6221,5730,11559,5791,7841,14273,26877,41957,50009,47111,43631,50900,84499,69239,102245,82189,60782,54156,200931
Senegal,Germany,61698,64069,73666,86710,160942,129300,98430,120545,101438,105802,134340,112199,138042,132170,147108,142270,184890,223161,175955,200756
Senegal,South Africa,31430,41435,47531,57365,70562,55330,85869,93262,93520,93248,115776,110894,120367,119686,141119,107061,94921,130155,172072,182370
Senegal,Argentina,20463,3221,72943,56238,80454,79229,79951,101973,117140,53776,84389,65930,58809,80209,108064,90348,79691,158578,228606,141134
Senegal,"Hong Kong, China",25308,25697,19679,19919,23214,32970,23012,22026,28322,30519,38634,57959,123843,177212,177193,184910,207045,112682,58028,112016
Senegal,"Korea, Republic of",13100,16627,22540,32870,41168,41966,44373,62734,57281,75291,126919,146175,250150,78535,119357,85440,77494,98817,89764,111741
Senegal,Canada,20928,19725,21689,32334,30648,31547,27421,28449,37350,25373,37520,26784,29894,37865,44110,58088,77297,143320,69965,83118
Senegal,Czech Republic,3721,1883,4349,7435,17675,19213,8539,19442,19738,28333,32105,25070,8337,10143,20452,16801,12871,25105,26595,75124
Senegal,Ireland,49144,51118,40647,61427,49034,8992,41136,64633,65790,76048,70482,48101,57407,63511,56511,62988,68037,87906,102140,71569
Senegal,Japan,21562,26754,35736,29527,46730,39734,55373,58586,47526,52652,36377,48406,54781,51609,61275,60126,58097,92164,79139,66710
