reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Serbia,"Korea, Republic of",406,2547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Ukraine,36789,53033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Argentina,364,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Australia,2011,3044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Austria,136301,139210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,"Bolivia, Plurinational State of",3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Bosnia and Herzegovina,616150,717386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Brazil,571,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Bulgaria,52575,86475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Canada,7712,10959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,China,12559,21414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Colombia,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Costa Rica,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Croatia,140916,169039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Cyprus,3575,15842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Czech Republic,45614,64719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Denmark,7277,8199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Ecuador,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Estonia,1163,1150,2988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Finland,3882,5132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,France,129003,157471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Germany,408360,470368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Greece,163055,165004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Guatemala,0,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,"Hong Kong, China",137,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Hungary,107970,135504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Iceland,184,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Ireland,1837,1858,5835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Italy,709043,855131,1160262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Japan,2039,3113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Latvia,4352,2225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Lithuania,865,4930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Luxembourg,889,2133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Madagascar,450,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Malaysia,3697,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Malta,1301,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Netherlands,55760,62627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,New Zealand,235,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Norway,3362,6305,8554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Paraguay,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Peru,60,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Poland,28872,48414,80425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Portugal,885,26028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Romania,57104,106263,167359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Slovakia,23264,35188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Slovenia,144039,236644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,South Africa,1630,1873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Spain,28642,69280,94760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Sweden,22541,24285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Switzerland,17069,21700,30991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Thailand,67,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Türkiye,87405,96719,49081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,United Kingdom,66848,73634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,United States of America,97452,59931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,United Arab Emirates,,1007,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Lesotho,,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Papua New Guinea,1,,,,,,,0,0,,,,,,,0,0,0,,
Serbia,Andorra,3,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Kuwait,896,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Mauritania,3043,2183,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Togo,19,18,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Cuba,51,474,0,,,,,,,,,,0,0,0,0,0,0,0,
Serbia,Seychelles,0,7,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Mongolia,69,7,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Saint Lucia,43,197,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,
Serbia,Grenada,38,78,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Montserrat,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,
Serbia,Dominica,2,12,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,
Serbia,Bangladesh,8043,8468,0,0,0,0,0,0,0,0,,0,,,,,,,,
Serbia,Albania,16655,25871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Bahamas,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Bahrain,78,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Armenia,522,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Barbados,7,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Botswana,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Burundi,499,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Benin,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Ethiopia,1548,782,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,French Polynesia,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Georgia,1451,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Guyana,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Indonesia,2808,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,"Iran, Islamic Republic of",3199,1779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Israel,11848,14480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Côte d'Ivoire,2389,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Jamaica,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Kazakhstan,1553,3780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Jordan,309,5810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Kenya,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Kyrgyzstan,366,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Lebanon,2015,1334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,"Macao, China",1,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Malawi,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Mauritius,10,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Mexico,8044,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,"Moldova, Republic of",2891,3214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Morocco,1104,1485,2498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Mozambique,3,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
