reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Sierra Leone,China,28257,30756,38979,58591,78771,54662,98352,224834,249188,152567,163052,278649,250144,244459,253198,313541,371372,489119,573140,615764
Sierra Leone,United States of America,40625,37829,39246,55421,59361,42534,61057,102792,100736,82411,87913,77326,63176,79173,71406,78234,73807,114665,106568,103859
Sierra Leone,Belgium,15623,10187,15985,15682,49196,16860,26383,36308,71709,80879,79334,43683,32432,44974,37578,37228,48042,125026,144010,96607
Sierra Leone,Türkiye,6685,5376,6620,10649,15300,15729,24464,25642,35865,47510,46235,43957,39680,50581,52536,60547,76591,134366,157846,87688
Sierra Leone,"Korea, Republic of",1701,2259,2837,5420,5999,5738,10113,29739,12449,11043,16947,6428,5555,6920,8052,8546,7928,8935,9073,79163
Sierra Leone,South Africa,20017,22019,22289,21164,12559,10572,45225,154815,123445,103043,56321,26385,22780,48228,46166,47961,19829,32738,66230,78169
Sierra Leone,Netherlands,23765,29208,27191,29512,27907,29796,31637,50690,45680,58705,62305,59740,38934,57918,47304,43219,68560,59618,53019,54945
Sierra Leone,Brazil,7152,7860,9808,16947,19504,15117,14215,48104,56057,51669,43812,45749,24262,41633,38129,40368,55984,42687,30696,44614
Sierra Leone,United Kingdom,44076,47503,34116,36098,50042,32478,61189,105180,107299,113336,91386,53754,39813,40229,41099,43930,35748,44328,42728,39751
Sierra Leone,Germany,67479,103941,13422,18313,15745,15258,18777,47189,51079,30542,32284,30380,22379,24524,23591,18631,15147,18321,20380,22580
Sierra Leone,Italy,17202,7882,16096,11015,19662,6925,11526,18546,16596,13340,13294,10678,8755,8908,7478,5339,5342,7542,17457,18426
Sierra Leone,Spain,5953,3752,3621,4730,11063,15301,18358,24089,22360,20381,23637,26470,12262,19138,20852,20361,14804,19999,15775,16757
Sierra Leone,France,19428,13087,21068,15277,23534,35649,24845,43292,45541,39838,41898,15192,42450,22373,19119,15630,21499,13798,14753,16557
Sierra Leone,Malaysia,5004,5659,9716,19990,27556,48616,55871,60326,30652,29793,21018,13873,10528,16447,17501,17259,21826,15889,12032,16001
Sierra Leone,Paraguay,0,0,0,0,0,38,0,0,116,1450,3756,637,2282,2532,2757,4490,6641,2925,1658,14078
Sierra Leone,Poland,1431,861,1048,954,4794,2951,2562,4547,4471,5689,2702,3235,4725,5337,10944,7187,10564,16401,14103,12450
Sierra Leone,Canada,2543,3757,4474,10981,11424,4913,10349,11614,11418,9054,6525,7107,5553,6108,7063,7132,6532,8815,7754,10299
Sierra Leone,Switzerland,660,553,376,1462,1272,7932,1570,2018,1564,642,1344,1124,2092,7253,689,1505,2321,3125,2649,9836
Sierra Leone,Malta,669,293,180,276,157,55,2202,287,6188,2362,107,2492,802,190,443,1286,3033,3149,4497,9694
Sierra Leone,Thailand,3583,14861,10168,4264,38015,14048,9366,16854,10751,11138,22505,22447,12158,14428,11826,9390,11007,11328,7733,8842
Sierra Leone,Japan,3664,7249,1530,2903,8840,23538,9273,9438,21173,10947,12862,11022,14328,2959,7231,16251,7862,18219,10765,6016
Sierra Leone,Singapore,0,0,0,4136,7928,5845,8569,14042,16062,13351,3624,1869,1112,2582,7677,1869,3166,15230,21586,5057
Sierra Leone,Denmark,9659,5447,1779,3122,3289,2219,1782,4151,3626,3896,6619,4011,2605,2227,2673,2281,2587,3579,4052,4396
Sierra Leone,Australia,711,2410,3454,4431,2650,1845,8033,18936,11446,7364,4693,3649,1127,2667,2144,1338,1942,2958,1460,4225
Sierra Leone,Sweden,5653,11457,8156,9577,5724,8240,7205,24298,16279,10566,8879,5711,1556,10035,3074,5525,6082,6137,7887,4104
Sierra Leone,"Taipei, Chinese",1294,2708,3165,3854,2844,2809,3662,3597,4985,5249,6074,4800,3489,5703,2114,3404,1610,3544,2253,3879
Sierra Leone,Greece,3038,954,683,291,3681,2560,1686,1255,2425,1774,3359,5096,4871,3955,3964,4720,2378,3083,2803,3348
Sierra Leone,Ecuador,12,0,0,27,0,1,0,74,162,0,28,0,0,32,0,0,0,130,341,3171
Sierra Leone,Latvia,0,1,0,19,7,1,400,117,72,49,373,1023,745,1984,3170,5424,2779,1118,2959,3044
Sierra Leone,Costa Rica,0,0,0,2,0,0,20,0,69,256,21,122,2,11,11,26,552,841,1453,2691
Sierra Leone,Ireland,1802,962,508,900,1375,1956,1371,3446,2778,2347,2649,1409,1952,1537,1383,1568,1644,2279,3982,2469
Sierra Leone,Ukraine,1105,2904,1446,1364,1216,672,878,768,1937,2116,3545,1960,1322,4189,4316,5439,5289,6367,1740,2293
Sierra Leone,"Hong Kong, China",9181,8255,8504,10670,9379,10121,5079,5992,5163,4903,4026,7883,6974,9334,8315,3738,5320,3058,1492,2054
Sierra Leone,New Zealand,249,191,546,364,249,597,790,1301,2827,1977,3363,2840,2436,3605,4051,2953,2302,1509,1684,1438
Sierra Leone,Luxembourg,153,25,5,5,630,226,350,201,377,292,1429,1183,1067,0,1801,637,1159,3373,2979,1426
Sierra Leone,Estonia,1,38,0,0,1163,54,458,308,43,58,1467,164,348,251,154,2941,190,227,1669,1257
Sierra Leone,Romania,456,19,372,687,876,283,6644,8498,3561,932,693,564,1101,1307,1635,405,616,772,512,1232
Sierra Leone,Austria,1450,360,393,528,3035,1767,909,559,993,658,4581,1760,1622,861,837,1061,441,937,1068,1126
Sierra Leone,Argentina,3827,0,8154,6337,7307,4577,1697,3889,2770,3213,6787,1511,1071,453,934,964,935,2535,375,1048
Sierra Leone,Portugal,241,161,246,812,591,95,2648,6002,4328,5316,1388,1623,2106,421,1179,1392,1302,2057,1004,1004
Sierra Leone,Hungary,259,839,3962,5275,1501,1308,408,539,762,695,1890,1024,258,825,504,338,334,782,585,955
Sierra Leone,Colombia,0,0,0,41,188,0,0,72,29,0,474,307,454,822,1104,964,1201,2024,1612,743
Sierra Leone,Lithuania,179,67,2,3,783,1175,551,638,668,509,337,244,163,444,751,961,1544,800,1317,635
Sierra Leone,Norway,409,412,275,302,467,1801,555,1552,1062,2004,5616,735,272,410,344,190,247,508,1185,596
Sierra Leone,Czech Republic,292,2223,297,2754,1142,19,682,684,604,346,1078,266,165,352,109,53,158,113,451,455
Sierra Leone,Slovenia,600,0,20,0,55,0,0,0,1095,818,320,51,114,162,687,3228,1177,263,130,310
Sierra Leone,Finland,631,458,859,3766,1620,424,14548,6760,1601,2221,1073,285,412,127,284,1120,123,2102,613,266
Sierra Leone,Serbia,,,402,191,84,510,366,28,1,29,28,7,150,60,114,114,189,258,735,186
Sierra Leone,Slovakia,37,0,2,26,0,1,34,100,117,34,121,115,96,31,7,134,346,146,501,123
Sierra Leone,Bulgaria,0,0,450,303,2974,1193,273,606,2803,1817,692,1235,524,104,1095,1019,1981,130,109,121
Sierra Leone,Cyprus,13,0,21,22,48,143,111,743,86,144,156,85,52,53,39,62,878,191,301,61
Sierra Leone,Chile,0,0,123,135,198,235,3315,1007,1133,697,334,244,255,143,81,53,110,3,18,58
Sierra Leone,Peru,0,74,25,44,0,61,0,63,306,174,688,1118,742,1176,670,530,123,788,619,37
Sierra Leone,Bosnia and Herzegovina,210,101,537,85,200,27,2,83,23,145,156,13,94,0,5,10,20,54,0,19
Sierra Leone,Croatia,60,32,0,80,48,1,167,5295,2685,1635,118,9,338,191,363,70,93,6,0,14
Sierra Leone,Guatemala,0,0,0,0,0,0,22,0,17,0,0,3750,4642,0,0,0,59,145,4989,9
Sierra Leone,"Bolivia, Plurinational State of",0,0,0,13,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Sierra Leone,Belize,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,Cabo Verde,0,0,0,0,0,79,59,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,El Salvador,0,0,0,34,0,0,0,0,0,17,16,33,0,0,0,0,0,0,0,0
Sierra Leone,Iceland,0,0,0,0,1,8,0,4,0,0,0,3,0,2,25,0,1,0,0,0
Sierra Leone,Madagascar,0,0,0,2,0,0,45,131,0,0,0,1,0,0,0,34,0,645,0,0
Sierra Leone,Liberia,,,,,,,,,,,,,,223,9306,14091,680,296,316,
Sierra Leone,"Congo, Democratic Republic of the",,,,,,,,,,,,0,12,3,11,0,12,92,40,
Sierra Leone,Haiti,,,,,,,,,,9,0,0,0,0,,,,,,
Sierra Leone,Sudan,,,,,,,,,0,69,0,0,0,17,28,,,,,
Sierra Leone,Myanmar,,,,,,,0,0,0,0,35,4,90,18,2134,1827,1678,0,0,
Sierra Leone,Lao People's Democratic Republic,,,,,,,0,0,0,0,0,0,0,190,0,0,0,0,,
Sierra Leone,Nepal,,,,,,512,32,172,0,0,1,0,5,0,0,48,0,0,36,
Sierra Leone,Congo,,,,0,0,2,2,0,0,27421,3,0,505,132,1073,1444,401,1461,1341,
Sierra Leone,Montenegro,,,0,0,0,0,0,17,3,7,0,0,0,0,0,0,1,0,0,
Sierra Leone,Nigeria,,,220,9198,7464,4579,3476,4161,5060,15700,1552,1253,1314,3332,3056,1939,1285,2422,1645,
Sierra Leone,Antigua and Barbuda,,7700,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sierra Leone,United Arab Emirates,,12380,,14797,19439,,,,47122,39611,45610,45210,35016,44110,39626,36345,52336,89324,87900,
