reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Slovakia,Germany,3780099,4792559,8317145
Slovakia,Czech Republic,1961543,2988055,2656817
Slovakia,Austria,997085,1132744,1607589
Slovakia,Italy,1102747,1110724,1196217
Slovakia,Poland,740927,794638,1028483
Slovakia,United States of America,237583,277206,1034271
Slovakia,Hungary,602593,679753,929449
Slovakia,France,532821,637873,800267
Slovakia,Netherlands,215322,270173,317706
Slovakia,United Kingdom,276360,352651,443550
Slovakia,Russian Federation,132265,158802,301371
Slovakia,Belgium,215921,220753,306860
Slovakia,Spain,148826,217686,338254
Slovakia,Romania,139479,162735,241673
Slovakia,Switzerland,184431,181429,229789
Slovakia,Ukraine,139413,136105,200707
Slovakia,Türkiye,49419,112341,205862
Slovakia,Slovenia,144307,155859,186313
Slovakia,Sweden,75688,97660,143637
Slovakia,Finland,67361,77929,106135
Slovakia,Denmark,60208,76197,114065
Slovakia,Croatia,51097,96831,141416
Slovakia,Serbia and Montenegro,38799,84794,
Slovakia,China,12893,37868,122117
Slovakia,Japan,169419,149638,74670
Slovakia,Bulgaria,37905,45394,71491
Slovakia,Greece,56733,50061,74034
Slovakia,Canada,25958,35995,96988
Slovakia,Norway,25024,35506,47868
Slovakia,Latvia,25588,27799,33724
Slovakia,South Africa,7958,12089,23577
Slovakia,Mexico,18247,16529,35925
Slovakia,Lithuania,16686,25450,41091
Slovakia,Belarus,14435,16095,25463
Slovakia,Syrian Arab Republic,35355,40161,54752
Slovakia,Portugal,32398,30102,31817
Slovakia,Bosnia and Herzegovina,,,20210
Slovakia,"Taipei, Chinese",6878,5344,15573
Slovakia,Cuba,3219,2229,8080
Slovakia,Kuwait,4734,4269,6849
Slovakia,Ireland,15608,16090,20004
Slovakia,Saudi Arabia,6132,4776,6490
Slovakia,Estonia,7606,10324,22321
Slovakia,Kazakhstan,20554,17522,21713
Slovakia,Brazil,8046,11498,13362
Slovakia,"Korea, Republic of",10433,12892,17815
Slovakia,India,9035,11804,9522
Slovakia,Australia,7469,7305,13355
Slovakia,Malaysia,692,2312,2278
Slovakia,Lebanon,8081,12272,14446
Slovakia,Egypt,2681,5259,4193
Slovakia,Argentina,20661,3151,8196
Slovakia,Morocco,2439,4101,8210
Slovakia,"Moldova, Republic of",5990,8865,8656
Slovakia,"Hong Kong, China",1044,3778,9407
Slovakia,Israel,4891,8784,14059
Slovakia,"Iran, Islamic Republic of",3048,3108,10851
Slovakia,Luxembourg,28537,4374,32138
Slovakia,Thailand,9162,6624,8261
Slovakia,"Macedonia, North",3732,4867,5860
Slovakia,Cyprus,5243,3955,6775
Slovakia,Yemen,,,
Slovakia,Iceland,1673,2333,2961
Slovakia,Tunisia,2525,2024,2588
Slovakia,New Zealand,2787,1678,3120
Slovakia,Colombia,3686,3245,3912
Slovakia,Armenia,892,3218,3572
Slovakia,Peru,2261,1898,1948
Slovakia,Albania,551,323,995
Slovakia,Viet Nam,1795,1667,1393
Slovakia,Ethiopia,149,39,731
Slovakia,Indonesia,18522,2107,713
Slovakia,"Venezuela, Bolivarian Republic of",923,384,127
Slovakia,Pakistan,,,1137
Slovakia,Philippines,600,319,1502
Slovakia,Qatar,1109,783,1698
Slovakia,Ecuador,751,625,1278
Slovakia,Azerbaijan,222,569,248
Slovakia,Oman,397,609,0
Slovakia,Jordan,3018,1378,2210
Slovakia,Georgia,761,744,915
Slovakia,New Caledonia,141,189,295
Slovakia,Malta,797,906,1468
Slovakia,Sudan (before 2012),54,606,4105
Slovakia,French Polynesia,37,148,301
Slovakia,Kyrgyzstan,252,515,437
Slovakia,Cameroon,29,637,926
Slovakia,Costa Rica,505,371,379
Slovakia,Andorra,128,236,512
Slovakia,Bangladesh,0,75,515
Slovakia,Algeria,427,606,434
Slovakia,Guatemala,555,706,638
Slovakia,Bahrain,123,148,332
Slovakia,Côte d'Ivoire,0,0,0
Slovakia,Gabon,128,0,171
Slovakia,Sri Lanka,4,88,292
Slovakia,Uganda,0,30,146
Slovakia,Faroe Islands,240,291,217
Slovakia,"Bolivia, Plurinational State of",23,71,137
Slovakia,Mongolia,109,,100
Slovakia,Mauritius,0,36,51
Slovakia,Dominican Republic,0,0,192
Slovakia,Senegal,0,11,118
Slovakia,Suriname,0,,
Slovakia,Uruguay,184,168,187
Slovakia,Ghana,0,,264
Slovakia,Nicaragua,75,120,113
Slovakia,Honduras,0,32,111
Slovakia,Mozambique,9,29,62
Slovakia,El Salvador,140,252,658
Slovakia,Panama,236,344,206
Slovakia,Benin,0,0,0
Slovakia,"Macao, China",3,31,49
Slovakia,Rwanda,0,0,0
Slovakia,Jamaica,378,371,200
Slovakia,Botswana,0,3,0
Slovakia,Mayotte,15,22,27
Slovakia,Paraguay,837,517,40
Slovakia,Papua New Guinea,43,23,53
Slovakia,Malawi,4,1,0
Slovakia,Grenada,0,0,0
Slovakia,Zambia,1,28,29
Slovakia,"Micronesia, Federated States of",,0,11
Slovakia,Trinidad and Tobago,0,0,64
Slovakia,Barbados,4,23,1
Slovakia,Saint Vincent and the Grenadines,0,0,0
Slovakia,Fiji,,13,0
Slovakia,Belize,49,69,36
Slovakia,Cambodia,9,51,58
Slovakia,Chile,1254,0,0
Slovakia,Greenland,0,0,578
Slovakia,Guyana,10,8,1
Slovakia,Kenya,183,365,1019
Slovakia,Maldives,0,1,0
Slovakia,Namibia,30,17,1
Slovakia,Seychelles,0,0,0
Slovakia,Singapore,5852,8928,0
Slovakia,Slovakia,0,125495,154774
Slovakia,Zimbabwe,46,68,1
Slovakia,"Tanzania, United Republic of",0,7,0
Slovakia,Eritrea,,,63
Slovakia,Sierra Leone,,3,
Slovakia,Central African Republic,0,1,134
