reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Slovenia,Germany,2302164,2429920,2746072
Slovenia,Italy,1268112,1376092,1845623
Slovenia,Austria,688751,739968,990611
Slovenia,Croatia,711689,826484,1051666
Slovenia,France,662512,736592,792719
Slovenia,United States of America,285991,321567,500952
Slovenia,Poland,255437,298465,365771
Slovenia,Hungary,168910,206703,279796
Slovenia,Bosnia and Herzegovina,,,347518
Slovenia,Serbia and Montenegro,144685,242325,
Slovenia,Russian Federation,245109,257387,308862
Slovenia,Czech Republic,207706,273345,301123
Slovenia,United Kingdom,211255,250932,271746
Slovenia,Slovakia,88874,140093,204217
Slovenia,Türkiye,48948,57115,93022
Slovenia,Spain,107942,124931,173421
Slovenia,Switzerland,96681,121315,130415
Slovenia,Romania,67079,85362,117509
Slovenia,Sweden,72751,84120,113496
Slovenia,Belgium,96257,85882,102680
Slovenia,Netherlands,126255,134661,170452
Slovenia,"Macedonia, North",118908,129673,139075
Slovenia,Denmark,68053,72651,94430
Slovenia,Ukraine,46358,69416,92604
Slovenia,Bulgaria,37085,45828,66761
Slovenia,"Iran, Islamic Republic of",33048,45482,64594
Slovenia,Finland,34903,34994,41990
Slovenia,Greece,26734,30035,44961
Slovenia,Norway,32666,43833,51457
Slovenia,Canada,27169,35749,35462
Slovenia,Australia,24249,28936,39166
Slovenia,China,12701,29546,36031
Slovenia,Mexico,12839,14151,22565
Slovenia,Japan,23808,27308,31753
Slovenia,Lithuania,25121,33282,34296
Slovenia,Syrian Arab Republic,17765,30184,28040
Slovenia,Kazakhstan,8457,11404,21635
Slovenia,Belarus,22471,22315,28442
Slovenia,"Taipei, Chinese",29121,16662,23207
Slovenia,Slovenia,0,0,0
Slovenia,Egypt,68275,85252,39263
Slovenia,Israel,24291,22059,27104
Slovenia,Saudi Arabia,12377,12976,16387
Slovenia,Portugal,13617,19268,22481
Slovenia,India,24529,62594,70794
Slovenia,South Africa,9439,13473,16506
Slovenia,"Korea, Republic of",12723,14881,21732
Slovenia,Brazil,49680,12636,14208
Slovenia,Ireland,11650,12677,18463
Slovenia,Albania,14894,18294,26840
Slovenia,Tunisia,4457,3621,4504
Slovenia,Cyprus,3158,3138,3912
Slovenia,Latvia,8040,10306,13866
Slovenia,Pakistan,,,24180
Slovenia,"Hong Kong, China",7848,7269,9660
Slovenia,Estonia,7376,7318,10742
Slovenia,Luxembourg,3462,8628,9356
Slovenia,"Moldova, Republic of",7649,9466,8544
Slovenia,Thailand,6488,7894,8694
Slovenia,Singapore,3404,4275,5070
Slovenia,Malaysia,3460,10430,6699
Slovenia,Morocco,2120,3638,5664
Slovenia,Algeria,3181,5970,12599
Slovenia,Iceland,2908,2693,2969
Slovenia,New Zealand,3645,3869,4918
Slovenia,Argentina,5540,2259,3861
Slovenia,Georgia,5764,2709,3251
Slovenia,Chile,2969,3649,3356
Slovenia,Kuwait,2207,3638,3918
Slovenia,Colombia,5367,5046,4257
Slovenia,Indonesia,2195,3289,3438
Slovenia,Lebanon,4103,3124,2627
Slovenia,Ghana,0,,751
Slovenia,Malta,888,1316,1524
Slovenia,Ethiopia,1251,1288,1067
Slovenia,Ecuador,2864,836,1371
Slovenia,"Venezuela, Bolivarian Republic of",2498,989,858
Slovenia,Oman,1997,1686,0
Slovenia,Sudan (before 2012),0,181,0
Slovenia,Jordan,1791,1443,1659
Slovenia,Philippines,426,605,467
Slovenia,Armenia,669,834,952
Slovenia,Peru,807,769,773
Slovenia,"Macao, China",206,431,606
Slovenia,Yemen,,,
Slovenia,Kyrgyzstan,304,1100,617
Slovenia,Uruguay,434,1049,622
Slovenia,Papua New Guinea,205,472,383
Slovenia,Viet Nam,171,700,843
Slovenia,Qatar,330,695,878
Slovenia,Azerbaijan,899,332,899
Slovenia,Jamaica,518,530,397
Slovenia,Faroe Islands,541,493,633
Slovenia,Côte d'Ivoire,50,0,0
Slovenia,Bangladesh,1931,59,20
Slovenia,Sri Lanka,265,587,681
Slovenia,Bahrain,309,533,507
Slovenia,Andorra,220,68,96
Slovenia,Mongolia,0,,288
Slovenia,Cuba,302,189,329
Slovenia,Cameroon,551,706,1000
Slovenia,New Caledonia,77,102,141
Slovenia,Zimbabwe,0,0,22
Slovenia,Mauritius,122,75,92
Slovenia,Costa Rica,26,69,229
Slovenia,Mayotte,15,39,322
Slovenia,"Micronesia, Federated States of",,0,3
Slovenia,Mali,46,0,243
Slovenia,French Polynesia,76,81,109
Slovenia,Angola,,,
Slovenia,Panama,329,338,261
Slovenia,Belize,0,0,0
Slovenia,"Bolivia, Plurinational State of",101,90,188
Slovenia,Cambodia,0,36,3
Slovenia,Dominican Republic,0,1383,0
Slovenia,Zambia,14,55,77
Slovenia,Nicaragua,45,56,62
Slovenia,Seychelles,0,0,0
Slovenia,Paraguay,120,81,43
Slovenia,Honduras,0,0,43
Slovenia,Barbados,15,13,21
Slovenia,Guatemala,77,79,77
Slovenia,Namibia,0,44,0
Slovenia,Fiji,,1,11
Slovenia,El Salvador,0,89,25
Slovenia,Rwanda,0,0,0
Slovenia,Guyana,0,0,0
Slovenia,Uganda,0,17,55
Slovenia,Niger,0,0,0
Slovenia,Trinidad and Tobago,0,0,7
Slovenia,Malawi,0,0,0
Slovenia,Benin,0,5,123
Slovenia,Gabon,21,0,8
Slovenia,Greenland,0,0,74
Slovenia,Kenya,403,1042,1034
Slovenia,Maldives,0,0,12
Slovenia,Mozambique,0,2,5
Slovenia,Sierra Leone,,832,
