reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Slovenia,Switzerland,179917,165598,165423,205571,226963,209050,247109,363188,339187,391399,581746,415211,446936,437636,518065,574236,1169876,2297171,7023080,13532709
Slovenia,Germany,2929000,3111400,3884746,4919213,5502610,4090482,4847713,6175378,5890559,6092906,6404329,5748475,6088534,6693979,7447653,7034897,6388437,7806876,8021022,7509429
Slovenia,Italy,2013186,2147111,2461837,3160632,3343495,2478194,2868029,3527332,3348104,3354043,3614331,2917792,2937056,3458393,3900440,3691301,3452291,4989536,7432299,6340986
Slovenia,Croatia,1179421,1257383,1350783,1533603,1712495,1212921,1172909,1412404,1217649,2513309,2475362,2194719,2384345,2625721,3140292,3234014,2955985,3692376,4764403,4902766
Slovenia,Austria,1440787,1117518,1353530,1531362,1731421,1389666,1664337,2253411,2106452,2144552,2246640,1910058,1958154,2180049,2560648,2468802,2244480,2852044,3608326,4239058
Slovenia,United States of America,530065,431977,505803,507416,486542,400534,481734,563605,580395,593501,721570,701993,774362,784151,876730,992851,1221055,1608314,3055627,3956127
Slovenia,Poland,459120,471730,559175,744511,909273,615476,682587,710493,655859,702078,768425,685442,647858,797811,974539,982079,1035605,1191702,1239398,2842986
Slovenia,Hungary,457594,360455,461909,858327,982257,714564,855527,1131588,1007448,1187851,1345690,1218417,1334606,1442853,1755634,1710266,1572643,1826011,2005199,2018456
Slovenia,France,900768,1312855,1224948,1579661,1815729,1777190,1828829,1883602,1533178,1615826,1574397,1252342,1239405,1711421,1924208,1924017,1727609,1976289,2084354,2003630
Slovenia,Czech Republic,358514,380412,481391,594157,669694,476721,531399,634458,620313,645630,669168,558682,576431,683668,819233,771047,720516,857193,985122,1726640
Slovenia,Slovakia,229072,216068,214334,289779,358725,219597,247438,341337,351779,410892,460871,398328,409218,465889,430990,371826,358977,413735,467022,1463580
Slovenia,Romania,165531,188309,243125,665929,705970,368482,412534,516899,420120,446888,521252,470352,510883,574880,765858,807404,682910,927485,1100844,1182117
Slovenia,Serbia,,,307735,700186,627065,526053,508544,588576,582481,571165,561636,548484,567827,597541,667772,641836,728591,849514,968625,1000764
Slovenia,United Kingdom,300752,356273,515015,639483,586424,388068,555546,582386,487756,500725,515710,496569,536707,535339,566502,552905,485088,592874,906232,977161
Slovenia,Netherlands,141041,162793,199313,354144,404079,318137,382043,412408,432309,471663,430896,432139,454523,542592,638465,667860,682386,887857,851935,883925
Slovenia,Spain,195402,259582,319452,563042,404811,263098,293089,325728,264759,333286,359272,428503,474067,603605,637205,608943,496397,567180,606382,723397
Slovenia,Bosnia and Herzegovina,422443,492077,571276,618627,720665,513727,547613,589677,527531,511919,517827,438756,469665,525103,553614,518801,491577,594629,599083,593365
Slovenia,Türkiye,203222,217867,201817,232317,243628,249577,291314,348936,311875,326366,322355,343784,296053,381447,316899,372143,390164,453146,519499,510482
Slovenia,China,41959,57242,94896,110555,131558,126469,176570,202040,256030,302799,331465,289555,436364,494752,590975,516467,508681,632024,589502,498778
Slovenia,Bulgaria,92221,100221,120911,155034,185862,132574,200496,222913,207035,225413,233904,193330,224047,249893,279285,300649,267369,345046,422173,488366
Slovenia,Denmark,125490,157303,211865,243009,236521,155989,235081,236955,278794,282883,249967,204065,239975,299307,344728,327958,407704,468842,497759,467181
Slovenia,Belgium,141995,144612,176593,203388,244589,205081,208324,255892,242614,242108,284443,285963,330055,392954,359513,375361,372071,431103,439058,447309
Slovenia,Sweden,152735,169760,223858,251219,246547,181235,199149,250213,207906,226918,247021,214441,247165,309422,341081,328924,342463,449240,388364,414376
Slovenia,Japan,38224,49629,44041,49742,50041,37698,45216,55600,58411,67738,66444,64861,142576,175239,173550,132354,151500,140274,199248,348910
Slovenia,Ukraine,112739,124984,291516,545301,231894,185398,212593,254884,251021,287490,203566,128876,137288,173805,190510,245039,253442,287794,247097,241964
Slovenia,"Hong Kong, China",12849,21603,30985,31128,34100,33551,53341,64507,68774,81461,82783,59951,63359,71130,224179,222885,138350,197286,231693,238065
Slovenia,Greece,57526,65455,99458,118198,135898,119933,191272,217729,205316,179184,209465,193543,233983,227730,260525,230637,163310,252367,368940,232220
Slovenia,Canada,42435,50799,60832,75582,73915,76103,92900,103111,143217,126081,113975,112619,126369,133859,148053,159904,177028,176057,207839,220238
Slovenia,Lithuania,37447,42004,52133,71915,90394,84538,74972,76933,77441,103385,105704,86170,90454,99669,129289,148635,137018,159228,194995,219674
Slovenia,Norway,56883,59149,62993,91859,94398,86273,96826,112648,117182,124713,129605,126757,128459,138889,182211,170743,161788,207333,199418,207708
Slovenia,Portugal,22776,26723,36363,49757,38391,44039,53241,53986,46976,57593,59849,61965,65464,86149,101333,109512,100454,146070,178543,179388
Slovenia,Australia,42128,49122,48109,50685,51385,34863,46553,56663,63833,84992,94174,76925,101178,101543,99948,100257,102753,121113,120098,154726
Slovenia,"Korea, Republic of",20950,20300,24523,35101,46677,52415,96724,102799,85557,93876,125865,112550,98086,113328,112316,117508,113120,132655,110812,122808
Slovenia,Brazil,19771,21579,29283,40315,60691,44764,64862,80154,81535,90648,77871,62626,59201,66294,74554,76930,80378,103268,110365,115534
Slovenia,Finland,62414,71177,99271,117769,118837,76801,97329,84841,92974,108220,90540,73516,81703,116665,130309,133699,140881,180930,182029,105315
Slovenia,Latvia,13415,16856,20166,27094,36584,31541,34863,42907,43268,49993,51460,33347,42990,45783,40667,42193,44232,59083,85569,100097
Slovenia,South Africa,21324,23977,29200,30544,39045,29652,36486,40557,51384,46497,49268,46346,47091,48560,60507,75279,64232,79392,101410,89557
Slovenia,Estonia,10814,13972,19965,23174,21158,20341,25384,37514,39298,36856,33462,27226,27599,32735,36465,36453,37129,43371,60909,88164
Slovenia,Thailand,9770,11747,13194,12873,19956,20507,29800,47967,39949,37640,47146,36716,40814,45868,57643,57420,61780,61587,59515,77009
Slovenia,Singapore,7001,7795,10711,14977,16668,16851,36066,37572,43757,47090,45967,65419,47161,60044,68442,65523,45698,62803,62587,76897
Slovenia,Ireland,18494,21453,25826,30315,27521,14146,17256,15604,11434,22108,46902,24537,41463,36209,33903,42491,40707,65823,51064,61687
Slovenia,"Taipei, Chinese",29683,16504,16622,16313,29162,16754,21579,36088,29509,23160,19243,26996,32312,33231,36019,34196,37356,46728,49177,53878
Slovenia,Malaysia,6867,7718,9059,13960,12877,10763,14397,15309,21128,28775,24063,15179,23725,30350,34051,49691,47937,59073,49293,48385
Slovenia,Colombia,3245,3626,4785,9006,9203,11339,6097,17141,9331,13609,16289,17542,19634,21573,17110,17767,16052,21256,38521,38587
Slovenia,Malta,2335,2571,3460,8305,3759,5395,4486,5977,3811,6083,8149,12562,7964,11104,12613,11960,10123,14213,13397,29448
Slovenia,Luxembourg,10167,15197,19516,27009,30032,17522,21695,23092,21947,19567,22938,19986,18735,25355,26126,30758,25374,29512,31958,26222
Slovenia,Iceland,6115,7186,13325,15379,9903,2564,2880,4662,5097,4488,4683,6092,6826,7748,7777,8506,11885,12173,28479,25579
Slovenia,Chile,3932,4901,4514,5177,8360,6537,6642,10700,14037,13145,33685,13136,17477,17286,20124,23949,22196,23342,27844,25129
Slovenia,Argentina,4118,2599,6277,10890,11565,8361,10765,16239,17440,22589,24943,16399,20100,25462,22001,15073,18055,19043,25869,24088
Slovenia,New Zealand,5925,6994,5839,7598,5916,4160,4698,6133,7685,9475,11248,10399,12386,17650,26348,21592,20024,26035,22871,23529
Slovenia,Cyprus,13600,30283,3548,6711,10244,5440,8977,7897,6594,6430,11238,9851,9098,8884,10605,15216,15702,24544,28094,20814
Slovenia,Peru,981,1020,1270,2503,7907,2424,3716,3486,4537,6689,9505,6442,7270,15868,10368,12850,6125,9387,11728,11939
Slovenia,Ecuador,2199,2378,2685,2840,2744,1185,2389,3620,3151,3877,4512,1772,1441,6975,7551,7710,7189,9888,11744,9192
Slovenia,Costa Rica,157,3739,9631,422,641,1695,1295,12163,2270,1174,1420,3417,2291,3100,3780,3365,2829,4723,6513,6223
Slovenia,Guatemala,13,223,24,0,0,955,0,0,0,0,0,372,110,418,878,278,307,1069,2415,2999
Slovenia,"Bolivia, Plurinational State of",70,125,127,792,254,175,269,403,518,511,644,710,903,543,2574,1254,794,1800,2429,2220
Slovenia,El Salvador,9,46,153,218,259,400,404,382,47,404,283,210,1610,676,525,417,583,444,1379,2122
Slovenia,Paraguay,25,43,84,393,783,249,399,1100,3896,4748,3221,1300,1825,2244,2285,1893,1254,3416,1915,2035
Slovenia,Madagascar,0,0,134,221,165,233,1494,543,447,301,330,534,366,816,452,750,810,586,844,988
Slovenia,Cabo Verde,0,0,0,0,0,1,90,2,556,443,104,100,122,358,197,131,126,175,20,115
Slovenia,Belize,99,82,0,399,67,113,64,62,56,3,5,2,2,0,0,58,0,6,1,17
Slovenia,Slovenia,29285,42444,68092,98436,105105,86388,109449,86438,69298,75810,95275,79302,81735,110199,124922,0,0,142789,228246,0
Slovenia,Cayman Islands,,,,,,,,,,,,,,,,,0,14,,
Slovenia,Liberia,,,,,,,,,,,,,,305,236,89,0,13,121,
Slovenia,Uzbekistan,,,,,,,,,,,,,,24806,34562,44726,56901,75180,103505,
Slovenia,Curaçao,,,,,,,,,,,,,,0,0,0,3,,,
Slovenia,"Congo, Democratic Republic of the",,,,,,,,,,,,465,946,358,264,606,210,349,3052,
Slovenia,Tajikistan,,,,,,,,,,,1510,740,1587,795,1485,1590,1671,1561,1988,
Slovenia,Sierra Leone,,,,,,,,,,,862,27,88,59,35,,,,,
Slovenia,Haiti,,,,,,,,,,0,0,0,14,193,,,,,,
Slovenia,Palau,,,,,,,,,0,,0,21,10,0,202,,,,,
Slovenia,Bermuda,,,,,,,,,47,44,25,47,33,54,35,30,41,110,140,
Slovenia,Sudan,,,,,,,,,3434,1087,677,1810,2661,2644,2356,,,,,
Slovenia,Myanmar,,,,,,,0,0,0,0,0,0,112,1504,1227,1519,740,802,139,
Slovenia,Lao People's Democratic Republic,,,,,,,0,0,0,87,0,0,0,41,31,423,33,199,,
Slovenia,Nepal,,,,,,9,31,26,86,582,125,245,91,161,86,332,134,708,378,
Slovenia,Djibouti,,,,,,570,,,,,,,,,,,,,,
Slovenia,Tonga,,,,,24,16,78,54,41,2,0,,,57,0,0,0,0,0,
Slovenia,Afghanistan,,,,,0,0,0,0,0,0,0,0,0,0,0,3,,,,
Slovenia,"Libya, State of",,,,7326,932,1583,2063,,,,,9714,17530,2405,36134,17644,,,,
Slovenia,Congo,,,,0,0,151,144,2019,1148,0,376,1265,1063,814,1854,2304,844,1538,1254,
