reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
South Africa,China,2960203,3443052,4085358,6618094,9234973,8693253,14896422,32095190,44653737,48388425,44568130,30225916,22555964,24833903,27240322,25948856,20824538,32973970,32543295,32022057
South Africa,United States of America,6154241,6083068,7734756,9282117,10132738,5967518,8359458,9623790,8829785,8585148,8466310,7509148,6968572,7953087,8669284,7980866,11527704,15944152,14871628,14267144
South Africa,Germany,3994566,4345287,5283876,6018611,7632027,5144424,6790003,8067558,5952418,5620478,5980961,6525245,6822957,8115012,9358822,10668196,9706730,14480647,15000479,12957242
South Africa,United Kingdom,8088262,7379636,9436985,10561929,14576876,11842314,9573546,10330035,9938861,4731564,6026273,5904050,9786576,8384571,8050443,8458011,7673961,10509165,7996420,9150746
South Africa,Japan,4608942,5537641,6628386,7730545,8983383,4987844,7266028,8472076,6408988,6750732,5709402,4954227,4219949,4761471,5138944,5130231,5750190,10126773,10096966,7312024
South Africa,Netherlands,1244394,1588964,1815720,2256589,2398480,1685257,1651954,1732395,1600293,1938656,1953617,1291908,1312892,1469457,1710914,1780838,1780279,2072842,2906817,4468389
South Africa,Switzerland,1278021,1925547,1646020,1170091,785350,1947200,732196,1528141,1899143,1548956,2287588,2270334,1133791,1252812,2324313,2816114,2461370,4259973,5948395,4262754
South Africa,"Korea, Republic of",998874,1094287,1385055,1766536,2159218,1171787,2271933,3105439,2128874,1729530,1624369,1417647,1330812,2305757,2358881,2186801,1693348,2626069,3769503,3489441
South Africa,Belgium,1658375,1684218,1829870,2698648,3116004,1888959,2126791,2556838,2431362,2155750,2648987,2754561,3044360,3248556,3622726,3482254,3085124,3746736,4072098,2972083
South Africa,"Hong Kong, China",659041,624040,493665,768459,708809,928418,946094,3661188,5894699,7889771,4935368,3611629,3883516,3224105,2850490,1938917,1828457,2817804,1894344,2632225
South Africa,Italy,2500165,2972553,2887238,3739499,3879028,2283136,2575869,2776741,2306149,2053792,2226870,1952407,1472226,1441813,1709653,1657955,1493908,2182449,2802551,2411143
South Africa,Canada,498365,576102,717446,1007910,796122,555025,695259,934992,691142,664770,998259,689703,643365,708622,737076,772670,1424741,1337147,1742466,2045003
South Africa,Spain,1425645,1573769,1708194,2059407,2339034,1215096,1267112,1477138,1095556,941843,915407,1093289,984185,1313080,1451177,1231953,855199,1355659,1726293,1528087
South Africa,France,1280126,1279829,1247929,1534777,1770394,1169467,1385978,1354384,1091237,1073870,1163678,929738,1044858,1237464,1633730,1537691,984306,1247499,1634705,1501192
South Africa,"Taipei, Chinese",1052176,938204,975315,1136253,1268449,893035,1252168,1502361,1367801,1411086,1098951,671348,654318,948484,1035967,566742,494739,1013737,1568878,1252006
South Africa,Türkiye,1006683,1259978,1793113,2172298,1502492,1103313,889635,1954586,1289821,1463591,1156682,918541,1058114,1744438,1381537,754214,887896,1192742,1585297,1164467
South Africa,Australia,976930,1236692,1249086,1183456,1412115,740788,1063446,867847,894143,867853,811711,878592,787765,849399,865358,750640,720443,901373,1006953,1053139
South Africa,Malaysia,336072,287092,465604,490915,803505,560735,800016,1091761,924749,850091,713036,573083,412147,688271,761228,743696,506646,470055,805542,764586
South Africa,Brazil,290772,363121,456927,554394,828557,460905,789040,956486,890900,759074,773177,644590,336283,488628,662937,751762,612238,1003072,907791,577116
