reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Spain,France,19993394,21823035,27372321
Spain,Germany,13533889,14592399,18574734
Spain,Portugal,10804534,11561924,14168717
Spain,Italy,10011019,11422828,14372420
Spain,United Kingdom,9813163,12387159,13877379
Spain,United States of America,5197161,6118204,7109225
Spain,Netherlands,4247095,4143921,5030586
Spain,Belgium,3489119,3679960,4618388
Spain,Türkiye,1066141,1419212,2003745
Spain,Mexico,1827071,2222985,2287676
Spain,Switzerland,1492287,1739189,2412664
Spain,Poland,1253933,1428712,1738689
Spain,Morocco,1054873,1377224,1763533
Spain,Greece,950684,1205748,1633851
Spain,China,714407,900175,1361329
Spain,Japan,1288124,1139412,1384959
Spain,Austria,974610,1126886,1589281
Spain,Sweden,999355,1100042,1386884
Spain,Czech Republic,686024,882647,930762
Spain,Brazil,1291070,1022443,1014418
Spain,Denmark,689182,804969,968578
Spain,Australia,418422,534268,723002
Spain,Canada,570563,653610,848312
Spain,Andorra,510163,600181,761665
Spain,Algeria,522176,623027,743125
Spain,Russian Federation,493032,578320,761930
Spain,Hungary,616599,686467,918870
Spain,Ireland,578477,639273,753526
Spain,Norway,533856,546981,631160
Spain,Finland,616436,486221,682801
Spain,Romania,219378,289652,435935
Spain,Tunisia,434148,470394,581886
Spain,South Africa,280239,337515,509951
Spain,Israel,673563,637968,624768
Spain,Cuba,708990,578349,589057
Spain,Slovakia,355658,522689,613023
Spain,Chile,464069,454894,497137
Spain,Saudi Arabia,388072,369860,489859
Spain,"Korea, Republic of",327477,429392,445497
Spain,"Venezuela, Bolivarian Republic of",448156,319150,331062
Spain,Argentina,712358,310981,392238
Spain,Slovenia,251304,324474,261089
Spain,"Hong Kong, China",427863,420843,415255
Spain,"Taipei, Chinese",311083,308319,318229
Spain,India,147103,188456,229766
Spain,"Iran, Islamic Republic of",314526,261591,355830
Spain,Singapore,379270,303585,337159
Spain,Bulgaria,120698,155516,242350
Spain,Croatia,127027,182080,269953
Spain,Thailand,218028,215277,231717
Spain,Colombia,246714,260378,255462
Spain,Syrian Arab Republic,466240,410095,263189
Spain,Malaysia,161972,158240,195620
Spain,Peru,175190,165317,177759
Spain,Cyprus,149905,143166,178140
Spain,Dominican Republic,210644,275157,198009
Spain,Lebanon,184346,174585,198265
Spain,Indonesia,178329,129943,121005
Spain,Ukraine,87578,101836,153932
Spain,Kuwait,130981,142664,162190
Spain,Philippines,94480,110006,118369
Spain,Luxembourg,223913,104177,113146
Spain,Egypt,175460,153471,127494
Spain,Serbia and Montenegro,47717,67158,
