reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Sri Lanka,India,621480,831902,1195088
Sri Lanka,China,386446,336752,504436
Sri Lanka,Singapore,394499,381811,485327
Sri Lanka,"Hong Kong, China",357698,348753,403991
Sri Lanka,Malaysia,187001,233290,304238
Sri Lanka,Japan,268094,284212,375215
Sri Lanka,Germany,140371,129883,180170
Sri Lanka,"Taipei, Chinese",297293,272125,261993
Sri Lanka,United Kingdom,205027,189584,199641
Sri Lanka,"Korea, Republic of",334646,304566,286788
Sri Lanka,Belgium,158613,180788,204046
Sri Lanka,Indonesia,159472,153350,184931
Sri Lanka,Thailand,140548,152267,160796
Sri Lanka,Switzerland,75741,98621,105815
Sri Lanka,United States of America,183014,171879,154656
Sri Lanka,Australia,178300,163224,106647
Sri Lanka,Italy,70486,91185,128349
Sri Lanka,France,100483,87535,121152
Sri Lanka,New Zealand,69597,60916,82068
Sri Lanka,Pakistan,,,83529
Sri Lanka,Sweden,24577,38936,67345
Sri Lanka,Argentina,3399,9294,891
Sri Lanka,Netherlands,37763,33505,44679
Sri Lanka,Israel,56636,47379,41568
Sri Lanka,Finland,11703,12870,34254
Sri Lanka,Saudi Arabia,13366,29923,20907
Sri Lanka,Canada,19692,12873,33305
Sri Lanka,Austria,11610,18133,15985
Sri Lanka,Brazil,19382,22787,17559
Sri Lanka,Türkiye,13286,16203,29047
Sri Lanka,South Africa,22006,24668,24187
Sri Lanka,Viet Nam,9799,6756,5780
Sri Lanka,Kuwait,17905,18119,17277
Sri Lanka,Denmark,12443,12940,12168
Sri Lanka,Ireland,5173,6647,5248
Sri Lanka,Maldives,14803,13941,15344
Sri Lanka,Spain,13100,12126,16129
Sri Lanka,Chile,17095,16624,16675
Sri Lanka,Ukraine,11296,2665,9983
Sri Lanka,Colombia,673,3054,1725
Sri Lanka,Qatar,9652,23411,23462
Sri Lanka,Bangladesh,2542,2121,5771
Sri Lanka,Poland,2951,3733,3423
Sri Lanka,"Iran, Islamic Republic of",1480,3019,4185
Sri Lanka,Belarus,4468,3449,3149
Sri Lanka,Russian Federation,23986,8015,4613
Sri Lanka,Philippines,6583,8099,8532
Sri Lanka,Portugal,2254,2199,4961
Sri Lanka,Lebanon,1736,3195,2499
Sri Lanka,Bulgaria,4109,2276,4535
Sri Lanka,Kenya,2441,960,3905
Sri Lanka,Oman,5326,3462,714
Sri Lanka,Norway,4409,2906,3979
Sri Lanka,Guatemala,7,0,0
Sri Lanka,Jordan,1344,1846,2334
Sri Lanka,Morocco,66,685,2888
Sri Lanka,Czech Republic,4781,1380,2410
Sri Lanka,Mauritius,1250,1402,1502
Sri Lanka,"Moldova, Republic of",0,0,0
Sri Lanka,Dominican Republic,0,6721,4822
Sri Lanka,Cyprus,1065,2132,1338
Sri Lanka,Romania,5118,1394,1044
Sri Lanka,Greece,1167,897,1893
Sri Lanka,Serbia and Montenegro,224,447,
Sri Lanka,Madagascar,214,663,252
Sri Lanka,Papua New Guinea,30,3,11
Sri Lanka,Hungary,1267,1597,1549
Sri Lanka,Estonia,950,2088,2738
Sri Lanka,Croatia,94,122,71
Sri Lanka,Mexico,3546,2618,2959
Sri Lanka,Ecuador,765,900,1372
Sri Lanka,Cambodia,449,40,176
Sri Lanka,Seychelles,0,0,551
Sri Lanka,Peru,1388,1689,1799
Sri Lanka,Slovenia,418,710,494
Sri Lanka,Egypt,602,658,962
Sri Lanka,Uruguay,1,24,2
Sri Lanka,Malta,33,177,644
Sri Lanka,Slovakia,592,5546,538
Sri Lanka,Cuba,15,0,245
Sri Lanka,Lithuania,708,336,1230
Sri Lanka,Yemen,,,
Sri Lanka,Bahrain,5612,8479,325
Sri Lanka,Tunisia,76,2,3
Sri Lanka,Kazakhstan,281,234,0
Sri Lanka,Ghana,5,,6
Sri Lanka,Gabon,0,0,0
Sri Lanka,El Salvador,0,0,2
Sri Lanka,Latvia,192,179,222
Sri Lanka,Luxembourg,48,30,130
Sri Lanka,"Tanzania, United Republic of",136,86,340
Sri Lanka,Trinidad and Tobago,3,25,0
Sri Lanka,Brunei Darussalam,3,20,32
Sri Lanka,Sudan (before 2012),0,161,0
Sri Lanka,Iceland,0,0,0
Sri Lanka,Armenia,0,1,0
Sri Lanka,"Macao, China",146,264,45
Sri Lanka,Ethiopia,0,64,20
Sri Lanka,"Venezuela, Bolivarian Republic of",75,321,761
Sri Lanka,Rwanda,0,0,0
Sri Lanka,Zimbabwe,8,32,0
Sri Lanka,Costa Rica,0,0,0
Sri Lanka,Botswana,0,13,8
Sri Lanka,Timor-Leste,,,
Sri Lanka,Honduras,0,2,2
Sri Lanka,Andorra,0,0,0
Sri Lanka,Azerbaijan,14,2,69
Sri Lanka,"Macedonia, North",0,0,1
Sri Lanka,Côte d'Ivoire,136,108,0
Sri Lanka,Fiji,,0,0
Sri Lanka,Uganda,0,9,3
Sri Lanka,Kyrgyzstan,0,0,0
Sri Lanka,Bosnia and Herzegovina,,,0
Sri Lanka,Barbados,0,0,2
Sri Lanka,"Bolivia, Plurinational State of",0,0,0
Sri Lanka,Cameroon,0,111,0
Sri Lanka,Benin,0,14,0
Sri Lanka,Georgia,1,0,0
Sri Lanka,Malawi,36,1,9
Sri Lanka,Mali,0,804,10477
Sri Lanka,Mozambique,0,17,46
Sri Lanka,Namibia,0,0,2
Sri Lanka,Nicaragua,0,0,33
Sri Lanka,Panama,0,0,3
Sri Lanka,Syrian Arab Republic,577,0,1291
Sri Lanka,Togo,0,109,0
Sri Lanka,Zambia,58,0,0
Sri Lanka,Nepal,,,1189
Sri Lanka,Eritrea,,,142
