reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Sri Lanka,United States of America,2079814,2214935,2282288,2178473,2070388,1667518,1832262,2182609,2366089,2569638,2800451,3030696,2905625,2978536,2793338,2862714,2552485,3037592,3644613,2976100
Sri Lanka,Germany,315858,327261,400079,483109,576886,509015,545270,659049,626283,600740,650981,587013,639709,743255,855848,846766,829284,1021886,1103591,931290
Sri Lanka,United Kingdom,1073114,1138011,1284168,1452203,1624172,1483510,1379283,1407208,1152066,1108920,1182777,1082903,906482,860179,822894,855527,785088,778074,1032476,825439
Sri Lanka,Italy,140093,170946,273235,385175,449364,446115,479736,554377,453134,421427,525384,406224,375965,449240,512929,476262,428650,559281,624058,634195
Sri Lanka,France,149967,161284,202089,264218,293093,237464,246878,277417,287816,313692,426259,331050,317026,364605,396148,373636,347013,472546,543919,490846
Sri Lanka,Canada,87728,90109,99976,104048,112678,101763,124041,163705,189447,199745,230685,261620,263352,286039,291725,322171,278882,374498,437834,373897
Sri Lanka,Netherlands,87548,73895,87255,103667,97851,91452,118575,139636,127779,132067,151459,139875,155958,184495,249576,298884,303563,373107,365177,373288
Sri Lanka,China,22590,36595,34834,48032,60541,70149,102275,152888,161955,182564,248273,259235,272991,309058,340882,397008,317763,650458,494815,357238
Sri Lanka,Switzerland,47578,48882,49976,57309,77772,75982,77359,107978,158259,170948,213554,171904,159599,180908,203186,219467,202333,248499,303029,306736
Sri Lanka,Belgium,331259,351762,395332,440232,458161,377414,406419,520754,551068,431139,323905,316560,332636,360985,382244,389813,361608,380585,420063,290510
Sri Lanka,Japan,196906,179157,206413,205694,205746,183542,219974,271498,276885,297136,287078,270042,241475,252393,273564,332804,245360,285947,293201,248092
Sri Lanka,Australia,62021,70654,74693,84196,97262,86708,114016,122015,130734,148357,161704,159942,166339,185701,191775,196506,170578,243249,262701,222657
Sri Lanka,"Hong Kong, China",60584,42668,62644,61101,72816,73032,99288,110896,109906,123637,140468,131912,123437,138334,132912,135107,107901,166308,163416,177532
Sri Lanka,Thailand,9568,12975,27078,36227,68004,61512,82922,93118,91908,56699,58459,53648,40204,71318,83696,80004,72861,67983,87583,124139
Sri Lanka,"Korea, Republic of",44751,38083,38711,47324,59422,73906,56565,82153,71548,84500,93802,84391,88544,84114,87756,100007,110870,141639,144816,118488
Sri Lanka,Spain,66404,87981,83334,101558,106857,84788,104546,117021,123277,113786,166912,117110,124208,124164,134477,145170,134765,171049,232859,110092
Sri Lanka,Türkiye,21714,22851,34582,53415,91975,98136,155567,128686,84432,93077,100149,87862,105099,113804,100682,101458,89890,98924,94063,102762
Sri Lanka,Singapore,73643,58791,53038,71999,80790,85396,98721,171926,82899,141401,109456,106465,95593,128576,94623,88988,90148,110205,104633,93522
Sri Lanka,Sweden,29174,31513,37069,55547,59526,38651,54308,65089,63893,63314,61186,62458,63541,71314,74560,74375,74506,102372,106594,90115
Sri Lanka,Malaysia,6970,10017,21777,28661,34486,42662,76685,176649,79577,86930,57802,88753,59665,69538,60649,70614,50322,77632,76456,78218
Sri Lanka,Brazil,6929,11827,13103,18209,24118,19041,25352,31186,49500,49048,67664,51995,48925,56657,58350,61056,49713,66809,77022,75910
Sri Lanka,Ireland,25756,34576,36535,57738,61521,54357,63975,64054,55105,73687,88292,69062,58754,59166,61708,68924,68117,90667,94764,68598
Sri Lanka,"Taipei, Chinese",13934,14547,17974,16148,23570,18447,39451,36278,27104,42931,43278,54478,57264,57967,67017,58020,63263,88322,71492,61030
Sri Lanka,Austria,24598,23893,32280,43690,53038,45626,50980,60938,68981,69578,77594,78647,81786,94010,127748,154810,135528,155311,169609,59328
Sri Lanka,Poland,29321,28104,36454,52291,64013,56275,64827,77209,71169,74786,84281,69021,90494,104582,150688,135056,152886,170418,198195,54790
Sri Lanka,Norway,11005,13405,14714,22976,29457,24912,29983,38569,37602,45383,44014,43682,43815,45314,46244,44518,45127,58769,68788,49320
Sri Lanka,Chile,17502,24885,25396,25879,37943,29208,26860,36152,33831,35672,42402,41316,43138,50731,53440,46351,57726,57408,62702,43339
Sri Lanka,Czech Republic,13645,15162,19066,27183,35048,34712,39762,50977,44408,47179,56152,48588,53296,55649,61575,73475,78075,92763,113832,41265
Sri Lanka,Peru,5065,4863,5869,5962,8438,7425,8273,9925,11999,16325,18022,23300,23337,26728,39215,30777,44334,32124,52544,40805
Sri Lanka,New Zealand,15609,18779,20738,21909,25958,23208,28620,41389,35981,38630,42000,37887,37378,44651,42872,42734,40642,46775,45208,39012
Sri Lanka,South Africa,11786,12132,15319,19703,18139,19675,22876,29616,30975,32760,36082,34215,33111,35302,32499,31936,29299,34359,35039,31797
Sri Lanka,Hungary,2648,2932,2101,2644,3025,2959,3914,7987,8711,8139,10831,20192,24929,29041,43963,37976,34685,41490,37369,30454
Sri Lanka,Ukraine,17766,23427,28230,32195,42848,37730,54813,73453,67174,57076,44608,27868,32556,37391,39755,38071,36664,38481,26561,29685
Sri Lanka,Denmark,11966,11749,16649,22780,30830,19575,23404,25085,25556,28532,29751,27407,28056,35322,31341,29017,25214,25397,24881,22855
