reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Sri Lanka,China,694856,939670,1106412,1389759,1630094,1569465,1994848,2988724,3001305,3436549,3792797,4308107,4331231,4096695,4266680,4090606,3842700,5252222,3755367,3767318
Sri Lanka,Singapore,592562,681085,930361,846777,1026283,756805,1198239,1353467,1564630,1963031,1745276,1383242,1328776,1830227,1782018,1201224,970537,1173164,1036340,1040596
Sri Lanka,Malaysia,346005,438413,534397,371166,424379,334279,462416,670038,778708,574288,666089,484530,584030,578221,717102,860031,625621,729928,784994,728930
Sri Lanka,United States of America,164060,197631,236634,227159,283254,229525,178740,303376,223950,311912,350340,361950,367855,336249,371389,389999,359155,389167,337120,366222
Sri Lanka,"Hong Kong, China",429927,429872,442445,438585,416339,312085,342984,404411,401998,481057,492494,516770,514255,521240,519561,479083,433513,492857,347066,364009
Sri Lanka,Thailand,182508,193408,296023,273599,345832,328331,401580,486901,453405,422154,452224,427808,433625,441498,434103,374673,297279,355504,267929,288592
Sri Lanka,"Taipei, Chinese",263818,252375,247671,219491,215963,173972,230259,301581,359949,426640,414166,407275,407131,408382,405534,374139,308012,402799,337424,257647
Sri Lanka,New Zealand,104474,126668,133254,176454,239369,127565,215438,349383,222720,194103,234629,162294,169681,285348,284011,272308,282999,253110,149551,223939
Sri Lanka,Italy,151479,154125,186950,202793,238881,190222,209678,305418,264489,273895,290684,206344,260692,289352,298421,290829,244885,294562,245621,222751
Sri Lanka,"Korea, Republic of",243042,204870,193245,186117,626560,170323,245884,343615,320313,299360,314632,277857,275510,286804,281748,235184,172510,287712,190613,210666
Sri Lanka,Germany,308783,281306,277840,201309,230403,212670,263467,316498,312051,340399,295536,315852,348901,645453,413360,354158,265687,313465,232220,201151
