reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Sudan,China,0,0,0,0,0,0,0,0,2178614,2398432,1928693,2399546,2193031,2227198,1884771,2289681,2511411,1816390,2033574,1295703
Sudan,Türkiye,0,0,0,0,0,0,0,0,279612,300279,331378,424555,461767,397699,363614,310659,381754,289624,462915,372615
Sudan,United States of America,0,0,0,0,0,0,0,0,55491,88268,77178,79129,65248,82977,118429,95912,116985,212058,187899,106593
Sudan,Belgium,0,0,0,0,0,0,0,0,70629,69456,60998,121874,90853,102031,85006,79938,77014,77474,213567,87626
Sudan,Japan,0,0,0,0,0,0,0,0,49799,47256,49786,73620,58882,58865,45110,43093,50786,59159,70343,63371
Sudan,Canada,0,0,0,0,0,0,0,0,115133,148182,208593,92832,32979,19611,30706,18791,52968,35818,26252,53401
Sudan,Malaysia,0,0,0,0,0,0,0,0,230913,116248,50937,37063,45211,86281,58621,60247,63129,29888,62818,51651
Sudan,Italy,0,0,0,0,0,0,0,0,205503,181533,185370,137897,143471,156072,122049,101485,94833,98214,106194,49226
Sudan,"Korea, Republic of",0,0,0,0,0,0,0,0,137249,165954,140889,163424,149221,164207,127563,142394,141988,152307,127641,47610
Sudan,Germany,0,0,0,0,0,0,0,435807,213048,299314,210497,187405,187906,259102,184578,174191,180818,130211,148830,46594
Sudan,Romania,0,0,0,0,0,0,0,0,5230,8084,42379,18113,55475,77956,39513,104080,77599,117763,119089,44708
Sudan,France,0,0,0,0,0,0,0,0,96993,107641,107445,100997,94064,95496,95387,89628,84489,60040,58734,43260
Sudan,Brazil,0,0,0,0,0,0,0,0,81793,53634,16942,23377,30415,42085,16704,16873,26826,22253,82999,38254
Sudan,Netherlands,0,0,0,0,0,0,0,0,115563,111419,117924,93327,71323,88832,104610,68160,96021,78776,68398,24716
Sudan,New Zealand,0,0,0,0,0,0,82551,101108,65698,66678,38027,40063,42944,43550,32658,26075,68797,18315,74460,23853
Sudan,Thailand,0,0,0,0,0,0,0,0,69549,175632,160424,279032,57331,70588,93755,132234,58144,29612,81927,22713
Sudan,South Africa,0,0,0,0,0,0,0,0,35286,30153,38179,25076,23373,38424,44940,17842,17291,16060,18572,20680
Sudan,United Kingdom,0,0,0,0,0,0,0,0,219602,155939,117301,138645,92351,101388,94066,103927,95971,56434,52093,19089
Sudan,Spain,0,0,0,0,0,0,0,0,39570,45045,31532,34762,38306,35879,41802,33118,41367,33398,38104,15968
Sudan,Malta,0,0,0,0,0,0,0,0,2768,2437,1161,1548,1334,586,2491,14981,37625,53218,30518,15573
Sudan,Australia,0,0,0,0,0,0,0,0,261355,282537,168972,55600,6424,8902,12045,7227,5054,55957,219857,11732
Sudan,Switzerland,0,0,0,0,0,0,0,0,51662,63504,85992,82185,87013,86208,82830,110522,66730,31257,36824,8764
Sudan,Greece,0,0,0,0,0,0,0,0,8412,11604,6200,12977,6903,6507,7248,7860,5924,3943,7791,7415
Sudan,Austria,0,0,0,0,0,0,0,0,30341,26093,29221,22226,14603,17114,13847,11969,21978,10568,17663,5734
Sudan,"Taipei, Chinese",0,0,0,0,0,0,0,0,27651,25103,27052,46555,33737,18764,12003,12670,12443,8741,9779,5478
Sudan,Singapore,0,0,0,0,0,0,0,55473,49217,14560,10090,7373,7526,3815,8767,9409,4241,5972,5671,5087
Sudan,Denmark,0,0,0,0,0,0,0,0,14168,12344,13081,9624,10511,9990,6220,12063,10415,13057,13873,4790
Sudan,Ukraine,0,0,0,0,0,0,0,0,0,70274,77737,75217,34361,72081,45390,55094,65870,73041,60783,4464
Sudan,Poland,0,0,0,0,0,0,0,0,6140,11153,19193,34491,12992,23793,15505,9504,14478,8814,8883,4257
Sudan,Sweden,0,0,0,0,0,0,0,0,90724,66719,58940,78275,43593,52857,23991,29504,20818,15101,12185,4113
Sudan,Hungary,0,0,0,0,0,0,0,0,3171,1328,1176,1191,2776,1960,2779,1689,2220,2151,4773,4035
