reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Sweden,Germany,12638536,14047282,16210025,19454572,19978531,14160295,16985354,19647383,17708038,18474036,18640529,15477649,15836404,17527565,18665337,17203238,16752746,19919958,19656693,20202896
Sweden,United States of America,13094202,14220363,14229885,13400942,12836537,8405691,10791023,11810806,10508128,9427467,10545070,10164252,9957664,11127201,12017855,12660855,12723649,15307286,17691688,18860151
Sweden,Denmark,8968817,10260590,11991105,14039135,15113503,10443357,11008641,12842050,11786808,12007759,12125935,10498741,10200037,10920458,12003943,11686214,12030104,15312234,15493562,14523057
Sweden,Finland,5485780,6127461,6718845,8016281,9206738,5897087,6907392,11858852,7885195,8798089,8638186,6744043,6737848,7669035,8429379,8154876,7455057,9869991,12139117,14021789
Sweden,Netherlands,5276774,5204721,6249622,7557963,8452807,5568941,7001850,8679493,8687862,8934913,8607951,6990647,6968919,7570952,7665137,7666605,7378590,9668268,9856779,10717220
Sweden,Norway,7583878,8001047,9625249,11706693,12564022,9419281,10806931,12143826,11821430,11954498,10949472,8788378,8651406,9496527,10580749,10121348,8694639,11187193,13567478,10473457
Sweden,Belgium,6105928,6319810,7242733,8792148,9284460,5747139,7321833,8970701,8751514,9190160,8592117,6953949,7570784,8281790,8640871,7805860,6658441,8534930,8540780,9863964
Sweden,China,3339569,3122198,3448568,4141800,5038148,5453817,5907905,7116606,6922716,6987099,6791543,6421431,6140482,7866680,8946992,9144313,9518267,9871906,9162741,9372686
Sweden,United Kingdom,9537816,9587403,11318699,10997149,12641785,8868362,10563840,12604169,14003902,11633253,12513003,10445744,8481315,9008813,9535855,8261859,7453637,8908117,9887879,9106883
Sweden,France,5581023,6009888,6499936,7976562,9297559,6497835,7474162,8341160,7524696,7781434,7670610,6175138,6007974,6660204,7663510,7100666,6624344,7815363,7662553,8596753
Sweden,Poland,2381317,2327216,2770035,3622307,4367943,2767101,3263199,4215022,3580649,3857470,3915297,3454717,3200825,3919745,5141687,4386292,4094834,5538256,6235505,8367204
Sweden,Italy,4762483,4599575,4981712,5716877,6050410,3972092,4589735,4976743,4131256,4121250,4336187,3871414,3981239,4261185,5271527,4986433,4373993,5667444,6686030,6721150
Sweden,Spain,3350662,3710252,4286724,4871825,4440733,2969909,3056025,3617747,2889986,3044777,3138610,2575776,2434740,2756431,3494017,3054164,3045325,3760002,4240809,4776610
Sweden,Canada,1665015,1896114,2079302,1965441,2113219,1581923,2034693,2283689,2093850,1868501,1649220,1461846,1550993,1695558,1832022,1742647,1568294,1934461,2264591,2979556
Sweden,Japan,2112768,2165289,2214833,2242411,2087331,1693680,2070161,2563433,2503454,2327403,2182045,1870054,2213688,2471290,2713863,2899188,2820897,3160422,3376996,2779981
Sweden,Türkiye,1118403,1427141,1488104,1716253,1908963,1890994,1922793,2284367,2135410,2096012,2071304,1585004,1478332,1776955,1730645,1578251,1763749,1984443,2197893,2508372
Sweden,Austria,1483215,1463469,1538745,2041133,2157911,1522540,1652591,1936534,1753451,1671434,1681185,1363920,1322822,1595843,1813135,1744693,1549014,1913941,2117783,2247243
Sweden,"Korea, Republic of",762255,976577,987830,1192797,1299336,1169497,1414899,2143525,1455723,1630178,1799636,1591174,1592691,1760846,1861444,1741801,1719484,2046036,1942882,2098577
Sweden,Brazil,860841,953660,998975,1409151,1737104,1149299,1800445,2271708,2064304,2081990,1699762,1152386,972410,1089612,1161826,974943,1236851,1689658,2178495,2087245
Sweden,Czech Republic,739076,1262626,1018721,1347570,1375476,982636,1168205,1409723,1268852,1344510,1348348,1189792,1109283,1328692,1525282,1443651,1295546,1645440,1799497,2004241
Sweden,Switzerland,1350056,1229057,1470084,1483471,1672287,1272096,1365627,1799347,1937812,2071086,1783623,1660903,1478678,1611753,1825553,1607597,1546298,1650173,1604702,1965455
Sweden,Lithuania,414773,532145,646755,915829,930878,497309,762775,1027340,1026265,1123592,1108240,1093199,1180045,1203645,1369241,1332282,1226015,1734884,2884819,1944992
Sweden,Estonia,523892,754614,995990,1143957,1093232,621201,1120566,1458941,1530711,1216885,1181807,884148,863916,944031,1109178,1089114,919140,1089806,1198551,1757051
Sweden,Australia,1369538,1636703,1950610,2042929,2289903,1727432,2089783,2585722,2444655,2023568,1806024,1442167,1526321,1727062,1964329,1422883,1266280,1678640,1730927,1733686
Sweden,Singapore,783591,782381,923074,1114014,1209145,1006561,1229550,1299215,1291690,1215803,1119079,1127498,979605,1126599,1140278,1136527,1115062,1515195,1491149,1477916
Sweden,South Africa,638781,762946,864107,1152260,1614684,1104276,1403608,1613829,1480389,1083135,1022050,949945,781944,908172,957314,990705,725429,925005,1019899,1088803
Sweden,Portugal,726523,714364,665268,903712,997441,737842,766349,873982,730617,732046,877571,717194,748872,741858,887672,793096,824811,994806,1060883,1082750
Sweden,Hungary,781139,744374,1113013,1299652,957732,655218,793677,1116545,1023570,961263,1004644,865005,897361,855656,954180,797070,746886,977020,954953,1057563
