reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Switzerland,Germany,17283076,17905841,21894758
Switzerland,United States of America,9885217,9773999,11089770
Switzerland,Italy,8655537,9251217,10322633
Switzerland,France,6814578,6774586,8143511
Switzerland,United Kingdom,5292728,4903462,4623915
Switzerland,Japan,3287642,3300525,3863289
Switzerland,India,3421939,2232365,3111153
Switzerland,Spain,2385346,2224991,2847244
Switzerland,China,1730429,2041393,2692214
Switzerland,"Hong Kong, China",2632872,2911331,2977249
Switzerland,Austria,2355535,2483583,3863627
Switzerland,Türkiye,1227422,2142789,2970129
Switzerland,Israel,1774972,2075184,2062002
Switzerland,Netherlands,2132742,2259705,2846150
Switzerland,Singapore,1956715,1857044,2014272
Switzerland,Belgium,1561526,1553486,1763399
Switzerland,"Iran, Islamic Republic of",415571,1895985,665515
Switzerland,"Taipei, Chinese",867857,813532,1080920
Switzerland,Canada,908320,965099,1020376
Switzerland,"Korea, Republic of",850742,1004202,1444448
Switzerland,Sweden,914876,938667,1107118
Switzerland,Brazil,1037317,918497,963996
Switzerland,Czech Republic,588717,735644,838642
Switzerland,Australia,681510,710447,763683
Switzerland,Malaysia,937945,825795,804733
Switzerland,Poland,641421,704264,765403
Switzerland,Hungary,468445,492448,650215
Switzerland,Mexico,772756,793429,838821
Switzerland,Thailand,835346,681207,712792
Switzerland,Saudi Arabia,728198,512302,729270
Switzerland,Greece,441546,474378,636521
Switzerland,Viet Nam,114473,138503,295886
Switzerland,Denmark,571028,560009,638883
Switzerland,Ireland,474948,582443,550753
Switzerland,Russian Federation,397098,421818,536068
Switzerland,Finland,478460,437346,494195
Switzerland,Norway,426765,448319,462385
Switzerland,South Africa,476132,454076,464727
Switzerland,Lebanon,333336,267002,216109
Switzerland,Philippines,135672,188268,250810
Switzerland,Portugal,365270,345999,401981
Switzerland,Slovenia,233347,303244,391330
Switzerland,Romania,169426,158613,216453
Switzerland,Pakistan,,,260721
Switzerland,Slovakia,191313,229247,265132
Switzerland,Indonesia,174479,193351,222157
Switzerland,Argentina,187097,120087,182349
Switzerland,Morocco,120306,141812,212883
Switzerland,Luxembourg,139549,114981,148857
Switzerland,Algeria,116167,98295,148419
Switzerland,Croatia,153394,167606,183426
Switzerland,Syrian Arab Republic,146991,189431,122045
Switzerland,Guatemala,102915,118526,131798
Switzerland,Serbia and Montenegro,92987,114966,
Switzerland,Bulgaria,85802,101696,124253
Switzerland,Kuwait,121939,130173,140031
Switzerland,Ukraine,145413,153089,189878
Switzerland,New Zealand,95974,101233,134590
Switzerland,Colombia,159071,147922,171440
Switzerland,Yemen,,,
Switzerland,Tunisia,104589,132341,128282
Switzerland,Egypt,224043,185466,145837
Switzerland,"Venezuela, Bolivarian Republic of",145691,119850,91931
Switzerland,Sri Lanka,75993,89363,101621
Switzerland,Bahrain,60193,83666,62643
Switzerland,Jordan,56555,54245,75042
Switzerland,Chile,109146,106659,106853
Switzerland,Latvia,61425,77260,99433
Switzerland,Qatar,55395,51970,61806
Switzerland,Kazakhstan,60857,60538,62132
Switzerland,Bangladesh,52921,55421,51900
Switzerland,Bosnia and Herzegovina,,,68268
Switzerland,Estonia,40681,43352,62191
Switzerland,Paraguay,40455,66982,64244
Switzerland,Costa Rica,52065,53081,52958
Switzerland,Lithuania,53378,66187,76857
Switzerland,Sudan (before 2012),20972,38842,53290
Switzerland,Peru,48742,49456,60911
Switzerland,Belarus,40467,43494,37847
Switzerland,Cyprus,49140,54352,54531
Switzerland,Oman,42847,55579,3881
Switzerland,Albania,12428,12924,14378
Switzerland,Mauritius,43466,33309,33185
Switzerland,Botswana,3720,8097,31313
Switzerland,Zimbabwe,8614,10795,13094
Switzerland,Armenia,28266,8634,54480
Switzerland,Ecuador,30662,33692,31106
Switzerland,"Macedonia, North",24343,29210,27943
Switzerland,Iceland,31475,24461,34161
Switzerland,Malta,37012,52301,67892
Switzerland,Ghana,26446,,28894
Switzerland,Azerbaijan,18347,21105,17078
Switzerland,Georgia,14761,18511,14417
Switzerland,El Salvador,24571,13285,22112
Switzerland,Angola,,,
Switzerland,Côte d'Ivoire,23846,19716,23189
Switzerland,Jamaica,21965,24973,24435
Switzerland,Andorra,18050,18945,21187
Switzerland,Benin,2435,1098,2333
Switzerland,Zambia,3979,3172,11206
Switzerland,Cuba,20534,12602,16278
Switzerland,"Tanzania, United Republic of",10557,23091,23219
Switzerland,Uruguay,28536,20682,21217
Switzerland,"Macao, China",6087,6799,10734
Switzerland,Honduras,7173,10886,13656
Switzerland,Bahamas,12081,6893,13166
Switzerland,Dominican Republic,9219,16358,22394
Switzerland,Mozambique,5256,1285,3773
Switzerland,Ethiopia,19892,12504,14083
Switzerland,Trinidad and Tobago,13106,12288,17376
Switzerland,Guinea,9562,8850,
Switzerland,Namibia,11531,7157,10290
Switzerland,Senegal,8460,9249,10220
Switzerland,Panama,7307,7587,7674
Switzerland,Nicaragua,10490,7588,9592
Switzerland,"Moldova, Republic of",12946,5588,4297
Switzerland,Cameroon,7378,7246,6200
Switzerland,Uganda,6626,8922,7056
Switzerland,"Bolivia, Plurinational State of",13068,5099,6657
Switzerland,New Caledonia,3488,4828,4674
Switzerland,Fiji,,1302,2344
Switzerland,Cambodia,5341,3620,6270
Switzerland,Papua New Guinea,1845,4121,4022
Switzerland,Brunei Darussalam,2293,2484,2710
Switzerland,French Polynesia,3344,3874,5037
Switzerland,Mongolia,4368,,4383
Switzerland,Madagascar,3052,1449,2847
Switzerland,Barbados,7794,7303,9336
Switzerland,Saint Lucia,413,1654,2788
Switzerland,Rwanda,1300,1188,2211
Switzerland,Burkina Faso,3012,1630,2968
Switzerland,Kyrgyzstan,1240,3545,2493
Switzerland,Mali,1034,2631,2619
Switzerland,Maldives,2341,2162,2689
Switzerland,Gabon,3287,12114,3404
Switzerland,Suriname,740,,
Switzerland,Niger,240,609,827
Switzerland,Malawi,1609,15081,2687
Switzerland,Mayotte,357,388,682
Switzerland,Belize,572,615,831
Switzerland,Burundi,751,902,742
Switzerland,Dominica,236,160,232
Switzerland,Cabo Verde,69,272,954
Switzerland,"Micronesia, Federated States of",,0,260
Switzerland,Gambia,530,3040,411
Switzerland,Togo,1231,555,1792
Switzerland,Grenada,390,283,360
Switzerland,Saint Kitts and Nevis,148,101,199
Switzerland,Mauritania,407,626,1164
Switzerland,Saint Vincent and the Grenadines,81,568,128
Switzerland,Guyana,192,371,253
Switzerland,Sao Tome and Principe,0,2,42
Switzerland,Samoa,303,502,119
Switzerland,Timor-Leste,,,
Switzerland,Comoros,153,395,41
Switzerland,Solomon Islands,180,134,40
Switzerland,Greenland,3,3,930
Switzerland,Montserrat,4,6,18
Switzerland,Kenya,51955,39368,45456
Switzerland,Seychelles,2708,3903,3318
Switzerland,Eswatini,10,18143,0
Switzerland,Nepal,,,6845
Switzerland,Eritrea,,,6464
Switzerland,Sierra Leone,,1368,
Switzerland,Tuvalu,,25,
Switzerland,Central African Republic,139,158,224
Switzerland,Lesotho,0,273,431
Switzerland,Nigeria,96565,92951,124840
Switzerland,Tonga,143,223,144
Switzerland,Anguilla,10,5,26
