reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Switzerland,Germany,27024713,28436642,32076143,41267373,46944256,40386121,44135358,52541030,49639092,52077146,53867785,47127224,49120554,52102300,54821289,51847920,52520745,59168380,59632080,56920666
Switzerland,China,3636716,3890301,4268222,5868268,7384708,6949483,17108296,27287232,22884176,56191550,40541086,41205072,40072262,33014622,38706199,27402268,17494678,38068596,49907977,53991594
Switzerland,United States of America,12069617,13466003,14746691,15256360,18247548,16282606,19504925,24815128,26211250,28771393,31759081,32044482,36932183,36551972,41696360,45470392,75623129,63845721,60250239,52900089
Switzerland,Türkiye,3406966,4057390,4020723,5272608,5591781,2001886,3155726,5021487,4307344,9800066,4997706,2449606,2506215,6903610,2818664,3377053,7771743,3057872,15342734,19911397
Switzerland,Italy,11706880,11624541,13079001,15278862,16651600,14597762,13539906,15697769,14124348,14135721,13819538,11940472,11745692,12682595,12960054,12244881,11098577,13224187,19425616,19385436
Switzerland,France,10095052,11145187,12114829,14010041,15699978,13725119,14600135,16433322,15633804,16986011,17067210,15985304,15677767,16747646,17923425,16725462,14835816,17612190,19022915,18479083
Switzerland,"Hong Kong, China",3487893,3688245,3627240,4642785,6439794,5580520,8893628,18636325,17377195,50893462,23908602,18740531,18470766,15143923,15804183,10487299,6920079,13399439,9641955,18346423
Switzerland,United Kingdom,5053579,5448350,6561269,7778626,15695084,16631481,13102134,12967878,27560770,10399991,10638131,10226344,26596303,11984128,7410016,23659479,11372175,10929775,14309231,13606147
Switzerland,Austria,3464652,4156322,4560967,6492481,7703398,8118654,8138258,10055575,9022778,9240657,9078831,8582474,8139306,8983570,8490238,7256413,9158922,11969959,10846993,11764579
Switzerland,Belgium,2192845,2532788,2504111,3362988,4183290,3632640,3853253,5315972,5054160,5256014,5815644,4831039,4960279,5923589,6849100,9899028,9623877,10097009,10023023,11662862
Switzerland,Slovenia,346974,324011,402549,391213,408748,444526,515341,483937,402488,523788,576336,498360,508384,722504,1124619,3442594,4635104,5410852,9165374,10100062
Switzerland,Ireland,668315,686747,716586,720513,776341,627964,1124014,1060459,1230587,1113612,1666490,1501216,1587013,679619,859435,2414330,4731350,6082506,6746645,8411849
Switzerland,Singapore,2311220,2430886,1925219,2370409,3491086,2815771,5043726,8463044,4539620,4356859,4010389,3758180,3832006,9152571,10156329,6686153,5958182,8258171,11239106,8340686
Switzerland,Japan,4814190,5046359,5105271,5220167,6422374,6277037,6804800,7846583,8222242,7296381,7216048,7394806,7666224,7819454,7758288,8183839,7452411,8400776,7957864,8336909
Switzerland,Netherlands,2477290,2707964,2779424,3063395,3041729,2379910,2809143,3053578,3009179,2899810,2822321,2490581,2800223,2782295,2878860,3341762,3791513,5128884,4493395,6648224
Switzerland,Canada,1281121,1760791,1894822,2134932,2964261,3029419,2860055,3196281,3604682,3852956,3522777,3553070,3398010,3392940,3548769,3769206,4414316,4544971,5725501,6285349
Switzerland,Thailand,844214,1322361,1324083,1506457,3996194,2501540,5175359,8887065,7324965,9198212,4196020,4680481,4154803,7267983,6860635,3687213,2254051,5088723,7168756,4984146
Switzerland,Spain,3847103,4043140,4377319,4239591,4262387,3730321,3682314,4232874,3407313,3535334,3863767,3492596,3960470,3975125,4974271,4119990,4393878,10139772,7113241,4980434
Switzerland,"Korea, Republic of",1214416,1170100,1325261,1997000,1913571,1668240,2011408,2563766,2590853,2724160,2770966,2465253,2358000,2745898,3050565,2995524,2754764,3373309,3265971,3253162
Switzerland,Australia,1029818,1169930,1395029,1694024,1963757,1991875,2064453,3065674,2990291,2906247,2540638,2431041,2366557,2309236,2718018,2460156,2334350,2693203,2754567,2848677
Switzerland,Brazil,1119990,1263009,1344396,2244054,2306102,2099978,2940277,2916828,2851502,3023316,2854014,2366807,1902775,1984753,2251311,2584660,1925195,2240273,2475513,2762676
Switzerland,"Taipei, Chinese",1350420,1344996,1263460,1471922,1607979,1162628,1579452,2457219,1883142,1870124,1788185,1668619,1570673,1585845,1923130,1839291,2257492,2280937,2439312,2118857
Switzerland,Sweden,1185867,1153876,1291917,1360718,1463139,1190361,1247085,1437637,1253054,1107324,1142876,1086015,1056235,1110114,1044827,998428,1018286,1391588,1284504,1758259
