reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Syria,Germany,1280824,1247071,1460174
Syria,Italy,1108280,1133778,867152
Syria,France,576470,484011,377416
Syria,Saudi Arabia,242173,502634,382501
Syria,United States of America,158480,173562,268012
Syria,Spain,253066,248225,123013
Syria,Türkiye,463476,314770,261193
Syria,Lebanon,327895,207239,259286
Syria,Jordan,66466,96930,153245
Syria,Croatia,163953,239331,333367
Syria,Egypt,48524,37562,82299
Syria,United Kingdom,124881,197280,100561
Syria,Czech Republic,14086,203997,141252
Syria,Kuwait,53130,90293,58250
Syria,Cyprus,149879,143748,119542
Syria,Singapore,75891,108324,143298
Syria,Algeria,24569,126257,111174
Syria,Belgium,29651,63558,32806
Syria,Austria,190420,175946,135200
Syria,Portugal,41542,56091,31764
Syria,Qatar,22308,33018,25484
Syria,Serbia and Montenegro,13201,4697,
Syria,China,14,14135,26361
Syria,Sudan (before 2012),15684,16767,19157
Syria,Netherlands,63325,225559,64556
Syria,Yemen,,,
Syria,Greece,17410,13268,21956
Syria,Canada,39718,31800,69316
Syria,Russian Federation,21519,16773,14019
Syria,Japan,16374,22140,48215
Syria,Pakistan,,,2648
Syria,Tunisia,15240,12930,5773
Syria,Ukraine,2427,2469,10895
Syria,"Korea, Republic of",2866,13203,2215
Syria,"Taipei, Chinese",6911,1511,12292
Syria,Bulgaria,4394,28410,28238
Syria,Morocco,12587,10234,16721
Syria,Bangladesh,6842,6540,6832
Syria,Indonesia,14877,15486,7307
Syria,Norway,291,4306,5973
Syria,Romania,35497,74949,4715
Syria,Poland,115,301,373
Syria,Brazil,12863,3887,12375
Syria,Oman,11596,8641,7828
Syria,"Iran, Islamic Republic of",1602,34598,1817
Syria,India,7078,7425,5908
Syria,Bahrain,12902,10388,6358
Syria,Switzerland,798,1182,2562
Syria,Denmark,2670,4378,2076
Syria,Hungary,1191,851,1111
Syria,Ireland,635,1760,435
Syria,Senegal,720,1080,1702
Syria,Côte d'Ivoire,335,603,470
Syria,Slovenia,52,164,850
Syria,Mexico,3709,2944,3089
Syria,Thailand,11449,25395,7810
Syria,Sweden,916,1221,1725
Syria,"Venezuela, Bolivarian Republic of",1307,1101,534
Syria,Ecuador,1281,1403,1179
Syria,Australia,601,620,1160
Syria,Argentina,378,265,277
Syria,Viet Nam,1098,456,503
Syria,Armenia,3861,374,918
Syria,Bosnia and Herzegovina,,,986
Syria,"Hong Kong, China",4269,1974,302
Syria,Paraguay,0,54,739
Syria,Ethiopia,499,726,707
Syria,Albania,1056,217,333
Syria,Georgia,424,371,420
Syria,Colombia,3220,1797,847
Syria,South Africa,608,614,739
Syria,Belarus,29,119,147
Syria,Ghana,7,,620
Syria,Peru,1968,730,848
Syria,Azerbaijan,820,849,521
Syria,"Macedonia, North",2897,2612,1394
Syria,Malaysia,855,967,408
Syria,Slovakia,64,398,308
Syria,Mauritania,82,130,204
Syria,Niger,34,67,4
Syria,Chile,466,457,346
Syria,Kazakhstan,62,70,205
Syria,Cameroon,13,33,104
Syria,Burkina Faso,132,173,146
Syria,"Moldova, Republic of",56,250,137
Syria,Papua New Guinea,0,0,140
Syria,Malta,2756,4777,3182
Syria,Finland,121,218,159
Syria,Uganda,64,60,102
Syria,Trinidad and Tobago,360,182,200
Syria,Zimbabwe,16,316,6
Syria,Kyrgyzstan,220,127,146
Syria,Angola,,,
Syria,Honduras,232,189,203
Syria,New Zealand,31,26,230
Syria,Gabon,34,0,19
Syria,Mali,105,58,122
Syria,"Bolivia, Plurinational State of",129,171,144
Syria,Lithuania,41,76,117
Syria,Costa Rica,120,78,32
Syria,El Salvador,0,16,64
Syria,"Tanzania, United Republic of",83,27,65
Syria,Latvia,0,2,0
Syria,Mozambique,9,88,25
Syria,Mauritius,50,163,113
Syria,Zambia,27,66,44
Syria,Sri Lanka,104,55,32
Syria,Rwanda,0,0,0
Syria,Benin,170,302,188
Syria,Togo,21,31,27
Syria,Cambodia,79,0,7
Syria,Dominican Republic,24,54,83
Syria,Estonia,9,2008,46
Syria,Guatemala,211,130,54
Syria,Grenada,9,9,6
Syria,"Micronesia, Federated States of",,0,0
Syria,Dominica,0,5,6
Syria,Cuba,211,2,138
Syria,Iceland,9,6,17
Syria,Israel,75,30,0
Syria,Jamaica,59,28,7
Syria,Uruguay,2,11,2
Syria,Comoros,0,0,0
Syria,New Caledonia,2,13,9
Syria,Brunei Darussalam,15,18,26
Syria,French Polynesia,5,15,0
Syria,Saint Lucia,0,26,3
Syria,Fiji,,0,0
Syria,Faroe Islands,0,0,1
Syria,Barbados,6,9,8
Syria,"Macao, China",0,4,4
Syria,Timor-Leste,,,
Syria,Mayotte,6,1,4
Syria,Luxembourg,27,7,14
Syria,Saint Kitts and Nevis,0,0,0
Syria,Mongolia,0,,0
Syria,Andorra,2,1,0
Syria,Bahamas,0,0,2
Syria,Botswana,0,7,0
Syria,Cabo Verde,0,0,22
Syria,Gambia,119,0,0
Syria,Guyana,8,1,0
Syria,Kenya,0,4,9
Syria,Madagascar,195,5,1
Syria,Nicaragua,45,24,18
Syria,Philippines,99,325,13
Syria,Saint Vincent and the Grenadines,2,0,5
Syria,Sao Tome and Principe,0,0,7
Syria,Nepal,,,216
Syria,Eritrea,,,399
Syria,Sierra Leone,,100,
Syria,Nigeria,4437,17838,2008
