reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Taiwan,China,27338758,38061484,49360598
Taiwan,United States of America,33374440,33467497,33017859
Taiwan,"Hong Kong, China",13839989,14862218,16076411
Taiwan,Japan,14185964,13583082,14311870
Taiwan,Singapore,4932145,5327081,6484777
Taiwan,"Korea, Republic of",4301422,4831996,5879623
Taiwan,Germany,5859894,5459869,6146259
Taiwan,Netherlands,5112228,5110020,5751065
Taiwan,Malaysia,4192676,4444123,4131122
Taiwan,United Kingdom,5136632,4196671,4088732
Taiwan,Thailand,2601462,2906315,3230282
Taiwan,Viet Nam,2008677,2525278,2915517
Taiwan,Mexico,3014951,4249432,2508742
Taiwan,Philippines,2094424,2136170,2140962
Taiwan,Canada,2850357,2704463,2689852
Taiwan,France,2096400,1983263,2438594
Taiwan,Australia,1638368,1895568,2272598
Taiwan,"Taipei, Chinese",0,2123959,1883060
Taiwan,Italy,1492534,1370540,1712153
Taiwan,Spain,887256,894754,1024897
Taiwan,Indonesia,1074215,1011280,878109
Taiwan,Türkiye,316327,521986,752655
Taiwan,Ireland,963317,943594,890984
Taiwan,Brazil,785818,724714,682228
Taiwan,India,544502,577155,778575
Taiwan,Belgium,773846,575002,661997
Taiwan,South Africa,529466,516938,618435
Taiwan,Poland,457636,491155,546909
Taiwan,Denmark,320000,319037,425471
Taiwan,Czech Republic,318418,532230,585416
Taiwan,Austria,604883,490709,485603
Taiwan,Sweden,450672,457908,484199
Taiwan,New Zealand,276654,302545,404432
Taiwan,Israel,430414,368683,385566
Taiwan,Norway,375293,348185,390101
Taiwan,Hungary,484934,587202,743150
Taiwan,Switzerland,482790,431567,401747
Taiwan,Finland,291110,250270,299117
Taiwan,Saudi Arabia,259848,256294,338420
Taiwan,Bangladesh,418954,307732,363231
Taiwan,Syrian Arab Republic,445176,349048,294149
Taiwan,Russian Federation,165531,208681,261999
Taiwan,Sri Lanka,323259,287743,276242
Taiwan,"Iran, Islamic Republic of",167663,189091,239125
Taiwan,Romania,101376,216752,203424
Taiwan,Cambodia,174463,189470,188883
Taiwan,Slovakia,106334,132363,168621
Taiwan,Greece,163915,154656,180062
Taiwan,Chile,173348,181982,212227
Taiwan,Pakistan,,,181782
Taiwan,Argentina,230405,59876,130558
Taiwan,"Macao, China",161436,175378,160759
Taiwan,Colombia,166381,161786,164458
Taiwan,Jordan,84847,110339,137658
Taiwan,Peru,105241,118016,132927
Taiwan,Kuwait,91131,102724,117176
Taiwan,Portugal,101279,107498,94053
Taiwan,Croatia,48984,82358,106117
Taiwan,"Venezuela, Bolivarian Republic of",124171,75967,54885
Taiwan,Egypt,125547,113644,121176
Taiwan,Slovenia,63288,80605,81348
Taiwan,Bulgaria,32779,48647,72953
Taiwan,Estonia,38054,42988,60858
Taiwan,Morocco,57982,63886,90682
Taiwan,Guatemala,50845,69625,68897
Taiwan,Ecuador,62464,66028,84424
Taiwan,Lebanon,77441,63179,54473
Taiwan,Luxembourg,77558,11621,33142
Taiwan,Ukraine,24925,27585,47893
Taiwan,Costa Rica,67337,64851,64932
Taiwan,Eswatini,10741,34485,90496
Taiwan,Tunisia,56450,42684,43620
Taiwan,Lithuania,44696,54613,61090
Taiwan,El Salvador,38426,40157,58530
Taiwan,Mauritius,35680,47696,41994
Taiwan,Madagascar,9639,19136,26981
Taiwan,Serbia and Montenegro,8722,16749,
Taiwan,Cyprus,42423,40527,42127
Taiwan,Malta,26882,26843,33197
Taiwan,Algeria,19136,24090,26759
Taiwan,Paraguay,20510,17989,17529
Taiwan,Belarus,18590,16320,17576
Taiwan,Uruguay,22368,12793,20394
Taiwan,Honduras,16617,20739,21353
Taiwan,Jamaica,17213,18207,22085
Taiwan,Trinidad and Tobago,22542,19470,19177
Taiwan,Qatar,32446,31134,29893
Taiwan,Iceland,18103,20922,21362
Taiwan,Bahrain,26950,26021,27956
Taiwan,Panama,24447,18858,19484
Taiwan,Latvia,7760,10665,19119
Taiwan,Brunei Darussalam,20413,18580,18582
Taiwan,Ethiopia,14918,9414,24998
Taiwan,Kazakhstan,6345,5833,9907
Taiwan,Nicaragua,14250,22965,17952
Taiwan,Zimbabwe,7618,13199,2807
Taiwan,Malawi,10499,12057,14982
Taiwan,Cuba,14460,13026,14076
Taiwan,Fiji,,11300,14024
Taiwan,Sudan (before 2012),6436,6499,7264
Taiwan,Yemen,,,
Taiwan,Oman,30304,22800,89466
Taiwan,"Macedonia, North",6787,6224,8487
Taiwan,Bosnia and Herzegovina,,,10106
Taiwan,French Polynesia,10280,9748,10137
Taiwan,"Tanzania, United Republic of",5044,8008,8668
Taiwan,Côte d'Ivoire,10498,14324,9550
Taiwan,Ghana,6581,,9047
Taiwan,New Caledonia,5079,6045,9968
Taiwan,Zambia,4259,6157,6914
Taiwan,"Bolivia, Plurinational State of",20791,15209,7230
Taiwan,Barbados,6933,6342,6097
Taiwan,Mongolia,1958,,1915
Taiwan,"Micronesia, Federated States of",,0,5348
Taiwan,Andorra,1364,2592,1534
Taiwan,Botswana,8841,8133,4603
Taiwan,Senegal,3129,2883,3367
Taiwan,Papua New Guinea,2955,2280,2031
Taiwan,Burkina Faso,1426,1446,615
Taiwan,"Moldova, Republic of",3767,2733,3346
Taiwan,Mali,3420,2473,1820
Taiwan,Faroe Islands,3093,3238,2734
Taiwan,Mozambique,3908,2342,2474
Taiwan,Suriname,1953,,
Taiwan,Saint Vincent and the Grenadines,604,1397,1550
Taiwan,Cameroon,2549,4386,3234
Taiwan,Angola,,,
Taiwan,Uganda,1975,2775,2525
Taiwan,Belize,3385,2201,4739
Taiwan,Guyana,2115,1808,1584
Taiwan,Albania,271,790,1556
Taiwan,Armenia,349,591,484
Taiwan,Namibia,775,1131,5352
Taiwan,Georgia,270,490,425
Taiwan,Seychelles,732,2968,1853
Taiwan,Maldives,2040,1127,1553
Taiwan,Saint Lucia,1319,705,774
Taiwan,Azerbaijan,3503,2324,1427
Taiwan,Benin,2685,1607,1270
Taiwan,Gabon,1433,0,1456
Taiwan,Guinea,495,2120,
Taiwan,Grenada,723,577,589
Taiwan,Solomon Islands,371,255,422
Taiwan,Mayotte,736,573,762
Taiwan,Samoa,629,773,757
Taiwan,Dominica,821,681,915
Taiwan,Togo,852,547,849
Taiwan,Kyrgyzstan,237,150,142
Taiwan,Niger,382,367,306
Taiwan,Saint Kitts and Nevis,295,162,227
Taiwan,Rwanda,736,1738,1300
Taiwan,Sao Tome and Principe,0,0,92
Taiwan,Cabo Verde,2844,6556,91
Taiwan,Mauritania,66,21,94
Taiwan,Bahamas,3,80,5
Taiwan,Comoros,0,0,0
Taiwan,Burundi,88,66,103
Taiwan,Gambia,43,173,46
Taiwan,Montserrat,11,6,11
Taiwan,Timor-Leste,,,
Taiwan,Greenland,0,0,840
Taiwan,Dominican Republic,75144,0,0
Taiwan,Kenya,20776,13121,15782
Taiwan,Nepal,,,22289
Taiwan,Eritrea,,,7
Taiwan,Sierra Leone,,1354,
Taiwan,Tuvalu,,71,
Taiwan,Central African Republic,31,16,1
Taiwan,Lesotho,5542,44623,68159
Taiwan,Nigeria,128034,247107,267037
Taiwan,Tonga,350,414,1316
Taiwan,Anguilla,5,3,19
