reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Tajikistan,Switzerland,16928,14307,11579,12436,14622,7467,182,21,53734,50313,121837,140076,74955,204888,213451,175148,778056,186414,279170,464909
Tajikistan,China,15366,14197,18002,10285,20244,184985,56048,72228,108829,88751,47699,50200,31243,46733,76804,84620,45293,175469,381753,247292
Tajikistan,Türkiye,62818,47309,118395,143352,147727,107267,283689,324283,345178,441750,239653,203760,162255,197767,201406,198072,149040,195731,171325,122880
Tajikistan,France,9741,4216,14353,12265,10787,2114,3764,8499,3175,728,989,686,951,3161,22308,17350,27094,61306,79711,67704
Tajikistan,Italy,59623,39938,51520,108901,121168,33983,32306,65857,47665,31295,68882,49586,79771,23295,17490,17612,45860,78521,20510,63569
Tajikistan,Belgium,8884,6141,23803,3604,2614,1181,1843,3424,2056,1328,1466,6331,7163,14551,11207,6975,14396,38907,32623,35260
Tajikistan,Bulgaria,37083,15907,18682,18351,51605,21508,5641,3342,0,4950,72,0,105,0,0,0,0,2,4,6997
Tajikistan,Croatia,5959,1405,18083,17879,6402,614,118,180,2506,3,106,0,0,0,32,2173,4733,5336,3688,5372
Tajikistan,"Taipei, Chinese",813,0,284,34,12445,9707,72086,63713,82528,48317,11090,25292,18678,15877,26644,31785,43183,14087,366,4522
Tajikistan,Germany,9991,5469,31440,54204,9858,2456,3400,2330,3753,5021,3674,2128,1447,1952,1845,2341,4215,3410,2440,4175
Tajikistan,Spain,2813,1632,2149,11353,289,17,13,437,8,35,289,35,4,139,3,294,711,335,475,3765
Tajikistan,Poland,31477,13687,9774,12811,10707,6897,1230,824,351,354,1001,987,286,570,1050,873,1597,1811,5255,2195
Tajikistan,"Bolivia, Plurinational State of",0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1207,0,1963,2036
Tajikistan,United States of America,7559,248844,62174,323,8400,9018,1525,12542,28001,678,3646,34159,824,966,741,2324,871,917,1500,1031
Tajikistan,United Kingdom,1602,1933,1207,23134,123,47,67,1224,322,1212,786,843,1249,847,1375,1692,570,427,392,984
Tajikistan,Ukraine,8492,5316,4258,4354,5355,3973,3491,13025,7200,5172,3233,2772,1246,676,654,1324,870,952,264,855
Tajikistan,Brazil,66,22,269,3,10,147,4,5,1,10,3,59,3,429,802,702,552,2194,7761,747
Tajikistan,Latvia,1540,768,370,906,276,93,10,25,0,0,4,7,137,316,14,0,23,1,0,448
Tajikistan,Japan,8451,4193,1394,277,6,4,25912,13051,10871,1114,1384,2230,1164,1456,695,1499,1386,2018,2292,439
Tajikistan,South Africa,5,3,8,10,1,50,20,2,1,7,24,12,10,33,450,61,10,7,95,360
Tajikistan,Portugal,3068,3389,1908,1272,1297,41,0,0,88,178,0,4,2,60,38,50,133,62,180,304
Tajikistan,Lithuania,2456,1315,1040,450,66,0,315,22,235,1876,528,212,7479,1845,70,187,32,1306,5546,262
Tajikistan,Romania,3562,2206,3057,1677,941,0,0,0,0,3,44,0,201,93,41,0,0,0,0,247
Tajikistan,Czech Republic,19065,11990,20262,77062,22938,2268,2991,4576,3440,2143,460,1525,687,276,317,670,768,2023,833,196
Tajikistan,"Korea, Republic of",4744,2226,7934,36238,3046,35555,102040,71870,4620,187,2814,3974,5157,6450,1,5,341,45,368,174
Tajikistan,Sweden,3,3,2,2,6,33,11,0,0,34,28,4,75,384,236,58,46,5,6,164
Tajikistan,Singapore,0,0,0,0,0,0,0,0,5,192,47,11,5,3,25,32,3,13,50,158
Tajikistan,Greece,6791,4976,41234,41922,23626,37278,13698,13457,69832,63276,0,2,306,197,2,0,1888,732,246,128
Tajikistan,Bosnia and Herzegovina,340,2299,164,35,625,590,2,8,3872,370,9,14,62,76,3,5,0,2,1,107
Tajikistan,Canada,61,78,83,79,39,5,15,4,78,8,17,33,13,205,848,188,76,236,53,49
Tajikistan,Netherlands,13588,17246,29047,18981,13936,7613,3137,362,1528,3774,142,631,57,53,68,11,3,52,431,45
Tajikistan,Norway,79310,118680,133460,186715,129473,55366,58082,36653,33737,19581,14,14,1,32,73,50,14,20,66,42
Tajikistan,Estonia,22520,6610,15909,12869,26549,1775,5,5,2,0,0,70,56,1,0,21,25,19,19,35
Tajikistan,"Hong Kong, China",1,8,98,70,334,217,76,328,28,247,95,113,76,19,4,192,6,126915,97976,31
Tajikistan,Chile,0,0,75,1,80,0,4,4,26,5,1,3,2,70,0,2,1,56,0,26
Tajikistan,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Tajikistan,Serbia,,,4639,354,1573,3657,372,6952,48678,1222,8,4383,103,1190,2979,78,4090,16250,95,16
Tajikistan,Australia,11,46,285,79,611,1636,3542,4066,252,2,6,5,13,11,14,11,9,5,9,8
Tajikistan,Ireland,24,1,44,45,11,0,53,21,1,3,2,9,3,23,107,53,2,37,17,8
Tajikistan,Austria,6976,10653,12459,9277,2178,648,2035,1419,661,759,649,272,317,120,355,27,88,52,113,4
Tajikistan,Denmark,108,80,9,11,111,1,17,37,57,53,2,12,4,0,0,2,6,159,4,4
Tajikistan,Cyprus,0,0,0,0,0,40,0,0,2,0,0,0,0,0,0,0,0,0,0,3
Tajikistan,Hungary,36044,4842,1707,5286,12874,506,2992,264,1344,44,181,262,1353,0,0,0,18,0,0,2
Tajikistan,New Zealand,0,2,0,0,68,42,0,82,0,0,0,5,9,1,28,2,2,5,0,2
Tajikistan,Costa Rica,2,0,0,0,0,7,0,67,8,3,11,0,17,0,3,10,51,1,14,1
Tajikistan,Luxembourg,37,0,0,324,59,108,130,195,247,11,91,3,3,0,0,1,3,16,14,1
Tajikistan,Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tajikistan,Malaysia,1,1,2,13,0,745,3430,0,1,15,0,0,4,14,755,2,1,6,50,1
Tajikistan,Thailand,903,101,103,507,760,496,1793,58,3875,10,3,3,4,608,1656,700,8,77,18,1
Tajikistan,Argentina,2,0,2,0,0,0,4,0,0,2,0,0,0,0,0,0,8,0,0,0
Tajikistan,Colombia,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,1,4,1,0,0
Tajikistan,Ecuador,17,0,0,0,0,0,0,0,0,51,2,0,0,0,0,0,0,0,0,0
Tajikistan,El Salvador,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Tajikistan,Finland,5,4,97,0,2,42,19,0,4,5,88,55,39,89,9,0,0,3,0,0
Tajikistan,Guatemala,0,3,0,0,0,1,0,0,0,1,0,1,0,1,3,0,0,0,0,0
Tajikistan,Paraguay,856,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
Tajikistan,Peru,0,772,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
