reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Tajikistan,China,53561,143738,305778,513766,1479683,1217574,1376501,1996778,1747870,1869364,2468236,1796604,1710061,1323547,1425934,1590068,1016830,1682964,2217030,3673614
Tajikistan,Türkiye,41637,46717,71787,118107,176448,126364,143890,172575,234947,309023,303379,162783,151671,155863,177098,156608,173711,258441,388736,406899
Tajikistan,Switzerland,2684,1546,1738,5229,2886,2254,3355,4254,2781,3516,121049,46305,10087,4862,6375,7207,7884,5890,2909,216523
Tajikistan,United States of America,55705,28787,43090,52686,51428,41199,57013,178246,54187,51874,24503,18985,21324,18054,14233,11343,7545,15197,123628,117875
Tajikistan,"Korea, Republic of",4947,12740,14492,22566,38932,26611,31745,37429,38108,44419,48606,20292,17801,15938,23822,29030,46077,51491,92676,115013
Tajikistan,Germany,23217,21265,33681,37490,40049,36332,47612,35303,37152,47589,59638,49215,42959,62762,56760,31940,41369,38699,59440,85834
Tajikistan,Lithuania,11462,20523,18996,34895,50968,29405,33099,53907,66355,88503,78242,23969,21234,40666,31681,38552,37515,39687,65053,69558
Tajikistan,Italy,9093,21564,16012,12841,23515,10600,18124,26736,17039,18763,29233,22826,48327,16027,31993,35110,35971,20340,25220,37885
Tajikistan,Japan,448,1662,547,3316,1751,9308,1400,889,7467,1343,14160,5329,3593,5907,12592,19878,3623,25065,23835,34123
Tajikistan,Poland,7131,8785,18095,16982,15612,6012,28968,8011,21254,15592,18915,11131,9932,10794,19247,15957,16408,32447,20907,32984
Tajikistan,Austria,1693,664,1848,3243,8096,3309,3780,6060,8560,6544,10231,7408,4875,10542,5206,6001,20215,12803,13869,22792
Tajikistan,France,3199,8619,7159,6035,7997,2627,5817,10636,6635,15409,12627,13800,15865,6452,8931,5281,4718,10523,9590,18608
