reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Tanzania,China,215972,303582,382773,602969,950439,914052,1253127,1653632,2089722,3140702,3843566,4286317,3636663,3135641,3590574,3811416,4174266,6137117,7774679,8157518
Tanzania,South Africa,342851,418471,398452,382914,505129,443076,556006,575432,603485,511712,495021,544338,444174,453206,443978,478484,335133,459900,543376,590600
Tanzania,Japan,78924,94965,114970,166067,243202,248943,301530,285713,301401,286123,302373,274789,221312,311474,318848,318206,254331,388155,464101,556419
Tanzania,Malaysia,23132,29060,67891,122064,146532,67068,110973,107005,165668,213248,328939,205942,256971,226280,173348,227676,156877,394685,402693,447407
Tanzania,United States of America,127645,96444,160667,173987,169338,158124,163500,260183,245390,411953,302170,172817,157566,145290,331900,332501,243223,282567,260089,424880
Tanzania,Türkiye,7496,23019,27360,30216,52636,55281,89319,170772,130560,144662,153763,116380,95547,115828,225347,226103,200347,253975,317720,310926
Tanzania,"Korea, Republic of",26233,30612,42150,67909,77494,67835,107324,91111,199648,145052,333047,193692,139018,124774,194086,138020,151402,200122,321157,308448
Tanzania,Germany,93792,111358,155974,165261,230590,197996,155296,187262,225194,192450,228725,132522,151319,177026,176565,195361,179590,166357,215264,197777
Tanzania,Netherlands,60652,83235,80270,86834,140341,87101,117464,169500,132963,179103,141388,132667,118902,97581,117747,134504,169805,162086,176422,185296
Tanzania,United Kingdom,123322,129922,163449,171953,177774,151782,183654,352068,282192,267377,275657,186595,143020,114251,148183,143824,120747,123541,141156,171041
Tanzania,Singapore,12660,12758,19094,27779,129409,109832,293330,152409,81678,130360,92942,127212,29335,31570,58901,60997,50594,77180,87464,167961
Tanzania,Thailand,39029,37400,48852,84773,108821,77907,83631,95875,100310,129453,144503,103573,91771,107640,125286,116664,98759,129309,182694,155237
Tanzania,Italy,54656,71940,128465,111413,132110,121993,75239,113596,118890,104369,87259,101080,86838,78752,112198,159054,168792,116414,125780,150299
Tanzania,Belgium,40044,43996,69637,73806,65640,55817,57169,104945,102598,104090,242538,160015,123298,142128,86801,98687,86568,100745,349706,104885
Tanzania,"Hong Kong, China",16858,20839,28683,33023,27450,17909,24395,29550,27364,47570,95974,148187,97641,89858,86791,96790,103879,81774,81778,100087
Tanzania,Brazil,8179,14083,18806,17912,18694,31287,51850,66104,64642,24188,24926,16779,17982,29845,18815,16113,22640,30549,34433,73250
Tanzania,France,65703,72493,49507,140106,158158,135163,179648,99200,168512,111538,63972,177794,140816,60007,161821,69611,75299,57319,72658,66998
Tanzania,Spain,24293,14927,13235,21154,26916,25097,24929,50578,37227,43786,44734,32886,28071,41539,32654,57125,35298,56742,56457,61170
Tanzania,Canada,31604,26963,33293,42396,46227,32621,50992,62069,80537,73834,66243,40410,65050,44924,87452,95492,27708,154864,42487,53834
Tanzania,Poland,705,1449,6712,2705,4628,30364,9407,21322,32296,18378,17251,24869,30022,81286,22931,26716,38453,21509,47479,53722
Tanzania,Finland,18703,14531,18010,107938,91450,39165,32924,34578,26070,35511,35393,29563,22921,50057,34882,31047,21161,31788,71622,46345
Tanzania,Sweden,26526,73682,43422,90441,160694,69786,63501,274684,143710,87032,78505,87646,92367,58125,36059,32292,56058,59643,47200,44920
Tanzania,Australia,55747,30843,24101,26322,57017,79722,94247,101385,62497,114685,52359,87504,39432,34365,41372,34945,28439,93144,79749,41504
Tanzania,Latvia,110,1493,532,61,136,155,10328,756,2174,8052,2788,1443,377,357,738,8114,547,608,31672,41399
Tanzania,Austria,6356,4271,10794,7538,20480,11780,12849,24825,14808,17002,23602,14352,10245,12667,14991,25759,21094,16252,14565,33413
Tanzania,Switzerland,7934,13264,21501,25002,24730,30149,24763,29945,33301,20163,19726,19489,16290,14734,47549,50875,36351,42163,37979,26432
Tanzania,Ireland,9103,8750,14229,12515,13615,14775,17419,17871,18330,19025,21103,19100,20802,27954,22473,22787,22389,20359,61314,22418
Tanzania,"Taipei, Chinese",7090,9785,11433,13173,13922,12466,22094,35275,34227,128279,109729,60029,29524,27733,25762,25211,27763,36199,29669,20433
Tanzania,Lithuania,176,61,7277,2,137,5374,7318,222,64,243,12088,8247,5620,2376,3210,1307,19006,1144,28985,18993
Tanzania,Czech Republic,4053,8874,4351,2433,3842,6391,4717,6391,13563,8698,13410,11893,10566,15605,16294,10921,14215,11041,17248,14092
Tanzania,Luxembourg,972,1941,1967,3362,2694,2480,1199,3072,3470,2134,5460,2163,1917,0,1398,1093,3530,2255,6036,11579
Tanzania,Norway,4409,3338,3245,20427,5136,44298,14160,39836,64189,25951,30549,5329,5423,5127,4001,3764,7478,8409,31362,10751
Tanzania,Chile,153,876,1413,2075,1219,227,1432,782,1060,2150,226,502,311,428,172,244,1465,101,9138,10362
Tanzania,Denmark,10218,7282,7949,11334,15228,10196,13042,9939,15003,10688,10232,8981,11637,11735,9331,7306,11258,8573,11723,9642
Tanzania,Greece,1618,1683,5503,937,11628,9028,17679,4913,1534,965,3172,2026,2610,2566,1537,2822,2789,15625,6289,9239
Tanzania,Bulgaria,424,261,527,119,14087,19221,12218,12394,2006,5600,3979,3146,6248,6442,6317,6538,7701,12030,7813,8012
Tanzania,Cyprus,7758,1029,1676,2000,2216,1749,1947,2279,1592,3258,3525,3099,3063,3228,4486,2673,2889,2836,3493,3575
Tanzania,Madagascar,62,75,173,36,1002,101,3549,1756,2284,1837,3029,3027,2823,4148,3426,2486,1295,5040,7569,2595
Tanzania,Hungary,96,810,1932,18319,17561,7036,2091,4244,1873,3442,5759,5163,40604,3337,5880,2226,1098,2886,1428,2520
Tanzania,New Zealand,2462,1809,3283,3677,3962,2500,4147,3578,3050,3878,4789,3260,3498,3455,5711,3119,2418,2846,3967,2504
Tanzania,Portugal,644,1049,889,728,1027,1220,714,3777,3028,3417,4235,5228,4205,6681,10653,2096,3188,6044,3304,2123
Tanzania,Slovakia,856,1133,457,117,554,343,441,669,405,594,289,348,487,3048,2433,1146,4027,4025,3013,2052
Tanzania,Romania,59,9652,341,546,640,7303,3696,1949,1717,1387,1972,3931,1752,3338,1763,2484,3174,2824,1455,1689
Tanzania,Croatia,72,31,1,3106,2082,17,2719,592,1932,9874,9550,3589,7356,1399,2091,5179,2360,1601,975,1389
Tanzania,Slovenia,38,107,42,77,40,90,19,24,1070,259,962,2318,612,108,237,2259,632,1656,743,1334
Tanzania,Serbia,,,106,191,106,1004,472,55,70,1728,2502,1005,200,369,367,280,591,288,1361,1251
Tanzania,Ukraine,6364,15896,16874,13226,66403,7559,14521,11816,28668,20431,7275,13884,2087,2735,17420,19788,34832,47150,17152,1080
Tanzania,Estonia,60,11,3095,537,498,3198,232,195,951,425,2583,4237,915,896,1125,672,657,677,921,850
Tanzania,Colombia,84,407,338,426,1482,2090,3209,2859,2546,2165,2384,3018,2063,2572,1858,736,548,919,548,641
Tanzania,Peru,303,467,566,709,188,128,616,213,530,996,38,588,215,0,275,115,0,551,649,627
Tanzania,Argentina,25820,24249,20279,45219,37638,21767,19167,51901,86484,10018,9081,5250,13666,21128,18490,32244,12977,35206,57694,622
Tanzania,Paraguay,0,0,0,3953,0,1881,4506,0,4299,0,0,45,0,0,0,0,31,101,62,101
Tanzania,Malta,200,133,232,1621,390,83,8,142,6,0,6,168,1491,1295,863,80,77,70,123,72
Tanzania,Ecuador,0,51,39,36,35,0,0,0,3,106,55,107,103,87,180,83,42,40,84,46
Tanzania,Bosnia and Herzegovina,0,0,76,0,11,276,363,346,378,346,359,472,59,226,201,144,15,78,877,45
Tanzania,Guatemala,0,3711,0,0,0,44,59,640,78,487,0,418,1259,2252,1171,3132,0,0,0,26
Tanzania,Costa Rica,0,1,55,10,52,72,236,147,40,23,217,68,369,6,29,180,21,37,2,17
