reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Thailand,United States of America,18647532,21032805,23684861,23792955,24608982,19863864,23624244,25751271,26992183,27070801,28026525,29618386,30464033,32214281,33017066,34753869,39232276,50410551,63012091,58684939
Thailand,China,11540505,13991887,17962428,22665748,25656737,24896942,33193365,39039796,38551206,38522681,38331928,37221138,38686369,41805850,44918670,46161651,48139504,61818243,56517649,50879679
Thailand,Japan,14108889,15557987,16886634,18323129,20786411,16025643,21016679,24528974,23635730,22038600,21739725,20420814,20177296,22738475,25086988,25362817,23764572,26373709,26809393,25727793
Thailand,Australia,2926616,3866692,4929115,6896807,8955745,9303743,10513321,8710152,10159842,10712046,9501486,9944323,10851901,10752208,10908562,10101457,9595394,11060878,11812121,12524418
Thailand,Singapore,6704612,7573211,8772130,8532795,11393267,8229862,10281196,11393271,10146603,9276280,8767012,7775255,6848852,7167007,8301273,7657223,9785463,9812083,13063451,12013154
Thailand,Malaysia,5782639,6033977,7168015,7854558,8741536,7480689,10265625,11276640,11543532,12262004,12124849,10754236,10232065,11210315,12051075,10663974,8130039,11001813,12787120,11939861
Thailand,"Hong Kong, China",4872361,6049851,6966231,7659178,8945068,8643464,10834108,10874727,10618667,11297594,12340792,11365066,11040778,11684399,11879584,11305435,12099274,13687105,12637885,11576806
Thailand,Germany,3025049,3081127,3438751,4390429,5120107,4260896,5200694,5835169,5411958,5794034,6279363,5605767,5947336,6760592,7221556,6697897,6423366,8181245,9075158,9414099
Thailand,"Korea, Republic of",2350817,2688753,3328394,3769172,4281645,3238628,4168786,5413360,5353242,5229504,5344895,4853915,4561343,5201917,5581289,5317603,5195921,7007365,7876692,7366589
Thailand,Netherlands,2405132,2341087,2806057,3116848,4116941,3288913,3731426,3688550,3129709,3330390,3873244,2553478,2792975,3264919,3875318,3951740,3644258,4355056,4198553,6712607
Thailand,"Taipei, Chinese",2779566,2876912,3323139,3613655,3247048,2682448,3838785,4389239,3707341,3752840,4297346,3928274,3818725,4361925,4577951,4256468,4566202,5978919,6264139,5377477
Thailand,United Kingdom,3863309,3740526,4330444,4793469,5106196,3824923,4313507,4581185,3865073,3779585,4003282,3627638,3675904,3703545,3808147,3838862,3319183,3560967,5180398,5014055
Thailand,Thailand,1086008,1368555,1453257,1928304,2192692,2060848,2280042,2305771,2283252,2262576,2269796,2582219,2911110,3308948,3341631,3726669,2721518,2692912,3574497,4159610
Thailand,Switzerland,584683,587012,732196,1270090,1962913,3217446,846373,1041226,4909450,1681184,2037217,2577017,5021122,4361226,2656874,5600915,8159703,1917349,3781466,4087160
Thailand,France,1824838,1884825,2061655,2444145,2788360,2383234,2657222,3133152,2772453,2896778,3140600,2939232,2917253,3110359,3445783,3404381,3037673,3735597,3949273,3739905
Thailand,Canada,1550183,1636139,1986512,2147871,2330341,2021052,2339442,2702607,2634686,2560232,2592822,2435717,2378461,2546398,2750345,2820316,2637597,3287556,4003664,3598127
Thailand,South Africa,663438,880048,1174011,1466553,1756054,1352470,1826548,2265998,2696568,2747063,2373999,2073784,2161604,2502102,2931672,2667885,2137863,2975893,3084296,3497194
Thailand,Italy,1494590,1391967,1557278,2094226,2134637,1399103,1716292,1967549,1417102,1474251,1735306,1351127,1560671,1754829,1833008,1690144,1499545,2157433,2543951,2305741
Thailand,Türkiye,500504,677783,936761,1229444,1473405,957189,1280624,1592303,1311960,1494879,1422249,1209785,1482292,1983171,1372407,1140705,1210574,1644713,1933604,2129442
Thailand,Brazil,476505,558749,776171,1070789,1514298,1331658,1957884,2530627,2675007,2511177,2324316,1673252,1343973,1568071,1650485,1535439,1478244,2057796,2178146,1970541
Thailand,New Zealand,439989,669199,668770,829818,933569,675133,991408,1330031,1222805,1359339,1461356,1523861,1617546,1889757,1927821,1763096,1478141,2269933,2182631,1830718
Thailand,Argentina,129894,278799,402771,456265,484172,411194,640045,695916,861457,945947,816058,813960,1132210,1258905,1328604,1184467,999297,1553260,1690714,1686185
Thailand,Belgium,1173444,1361139,1416546,1857654,1744005,1298091,1335125,1554232,1686857,1645419,1701100,1553528,1614092,1670518,1696849,1660340,1320703,1842511,2052400,1600395
Thailand,Spain,1358627,1440071,1587609,1887028,2036889,1249549,1467589,1581086,1109344,1072114,1159593,1075600,1284255,1319557,1409725,1372285,1171823,1543098,1703062,1039483
Thailand,Czech Republic,293736,429205,520583,808878,1222023,1165251,1587801,1379214,1240925,1128859,1139048,1170299,1196419,1247115,1333744,1336013,1319613,1614828,1688009,998204
Thailand,Poland,329328,337345,418832,564739,934021,724675,861592,1017617,914018,1045260,869955,729013,735555,831806,897332,871691,997320,1217043,1294163,780591
Thailand,Hungary,133875,171569,237023,285996,284602,195716,270363,284688,293179,378863,379446,420125,402635,491464,566449,477694,516903,499554,552905,735832
Thailand,Ireland,438505,482282,625347,586841,551568,369686,316735,351183,383555,472091,539370,634471,492464,434062,516720,478813,467174,626402,864576,682971
Thailand,Norway,186366,201231,276486,338556,373945,309903,377931,419763,580943,424363,620181,414889,408246,706403,421589,394064,378671,819947,563207,588964
Thailand,Chile,138948,178190,364660,429459,487669,216168,565685,619086,686857,729919,737906,677745,605089,860747,933999,820302,566009,754472,856933,573169
Thailand,Sweden,305380,320070,432536,574000,583017,495830,611260,643460,626978,599757,618942,491359,484922,529615,526852,494107,404029,553209,618898,529833
Thailand,Austria,360901,355173,424865,521037,577233,517181,500584,591615,518365,644351,651978,617099,671789,678912,754747,803736,675073,877408,928606,465362
Thailand,Peru,46345,65794,86561,136973,334447,189646,372439,443697,452093,651673,600011,622219,538642,453643,400897,421992,353284,497341,500180,452506
Thailand,Denmark,270722,267644,314402,459363,571804,543369,755570,747832,421301,395627,420132,399577,378705,414168,407399,408273,368267,464318,475379,398688
Thailand,Ecuador,52521,134441,168983,203372,328036,199300,311502,256465,313142,236925,239600,221340,149609,255411,305570,252750,201113,321062,370103,361472
