reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Togo,Burkina Faso,17961,19377,142012
Togo,Mali,29573,46271,149576
Togo,Switzerland,17171,13545,80528
Togo,China,225,5350,22114
Togo,Benin,37387,35951,35725
Togo,India,12289,11900,18089
Togo,Belgium,4074,9576,7524
Togo,France,8863,9166,10126
Togo,"Taipei, Chinese",16480,22508,29205
Togo,New Zealand,5923,10596,12927
Togo,Indonesia,17849,5310,6374
Togo,Australia,4212,13977,13063
Togo,Niger,8604,13560,15439
Togo,Bangladesh,482,2629,6314
Togo,Brazil,3999,803,4620
Togo,Spain,9865,11008,9057
Togo,Thailand,5423,7408,5117
Togo,Italy,6754,8540,12623
Togo,Ghana,30066,,380
Togo,Netherlands,3914,3862,5508
Togo,Germany,4744,4501,2955
Togo,Egypt,2339,4814,4764
Togo,Portugal,3670,7179,11350
Togo,Morocco,4544,3120,5494
Togo,Türkiye,2976,2841,4371
Togo,South Africa,6555,4293,5313
Togo,Guinea,2641,1,
Togo,Tunisia,189,1738,902
Togo,"Hong Kong, China",2565,2134,2659
Togo,Saudi Arabia,0,1607,4138
Togo,Senegal,2942,719,1509
Togo,Malaysia,1618,831,1578
Togo,Poland,8936,7609,2549
Togo,Viet Nam,14,678,2910
Togo,Gabon,416,0,530
Togo,Uruguay,1812,1173,3130
Togo,United States of America,12583,3113,6103
Togo,Cameroon,1720,3601,1540
Togo,Côte d'Ivoire,311,315,1225
Togo,Pakistan,,,0
Togo,Denmark,385,93,2575
Togo,Algeria,0,332,943
Togo,Austria,656,1830,1761
Togo,Estonia,0,0,0
Togo,Romania,909,990,1636
Togo,Mauritius,0,0,681
Togo,Greece,5000,6744,4191
Togo,Canada,179,442,706
Togo,United Kingdom,1404,2012,917
Togo,Japan,129,156,697
Togo,Ireland,164,1640,467
Togo,Czech Republic,4,9,6
Togo,Peru,0,0,373
Togo,Ukraine,76,0,40
Togo,Angola,,,
Togo,Mauritania,3,1,3
Togo,Philippines,12102,8,24
Togo,Croatia,88,30,44
Togo,Bulgaria,5,2,15
Togo,Mexico,172,1052,1432
Togo,Cambodia,33,14,8
Togo,Gambia,0,5,15
Togo,Norway,22,56,28
Togo,Burundi,8,1,0
Togo,Sweden,3,15,445
Togo,Sao Tome and Principe,37,46,26
Togo,Serbia and Montenegro,292,199,
Togo,"Tanzania, United Republic of",5,11,104
Togo,Belarus,0,0,13
Togo,"Korea, Republic of",25,1053,38
Togo,Cabo Verde,0,0,0
Togo,Sri Lanka,32,21,0
Togo,Lebanon,0,14,0
Togo,Latvia,0,0,0
Togo,Slovakia,19,19,0
Togo,New Caledonia,0,1,2
Togo,Rwanda,2,1,0
Togo,Luxembourg,1,7,7
Togo,"Macedonia, North",0,1098,750
Togo,Yemen,,,
Togo,Finland,0,4,8
Togo,Slovenia,230,7,0
Togo,Zimbabwe,0,0,0
Togo,Zambia,10,2,2
Togo,Bosnia and Herzegovina,,,30
Togo,Andorra,0,0,5
Togo,Barbados,0,0,1
Togo,Belize,1,0,0
Togo,Colombia,6335,87,414
Togo,Dominican Republic,34,15,3
Togo,Ecuador,1204,6,0
Togo,Ethiopia,0,1,14
Togo,Honduras,636,0,0
Togo,Hungary,0,2,6
Togo,"Iran, Islamic Republic of",2138,0,0
Togo,Israel,612,312,500
Togo,Kenya,0,0,3
Togo,Lithuania,9,1,15
Togo,Madagascar,2177,0,8
Togo,Malawi,0,0,0
Togo,Oman,0,0,33
Togo,Namibia,10,0,0
Togo,Papua New Guinea,11,0,0
Togo,Russian Federation,43,551,695
Togo,Singapore,5,97,0
Togo,Sudan (before 2012),0,5,0
Togo,Uganda,33,0,0
Togo,"Venezuela, Bolivarian Republic of",566,0,0
Togo,Samoa,1,4,24
Togo,Sierra Leone,,7,
Togo,Central African Republic,50,37,63
Togo,Nigeria,89923,20922,242624
