report,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Tonga,United States of America,6653,7002,9441,7553,5635,3848,2371,2206,2887,2281,3425,3439,4583,4682,3926,6201,3806,3941,4255,2995
Tonga,New Zealand,2679,1228,1955,2030,2244,1214,1082,2027,2655,2871,2874,2002,2123,3027,1785,2088,2187,2386,1652,2411
Tonga,Australia,456,576,567,522,935,686,562,456,800,1345,1252,1062,1508,1552,1706,2024,1414,1810,2171,1952
Tonga,United Kingdom,48,97,10,610,358,139,70,25,66,24,52,52,690,56,98,118,30,95,312,1572
Tonga,"Korea, Republic of",140,121,2210,702,838,252,860,1900,3151,2610,1535,1739,1674,3540,1986,2812,1399,1698,914,451
Tonga,Ireland,1,2,33,19,2,2,4,7,5,0,14,194,23,27,67,0,0,22,34,362
Tonga,Germany,357,218,36,149,90,40,0,1445,14,0,10,39,12,33,117,51,1,19,1,280
Tonga,Japan,13522,9004,6744,4175,2307,1924,813,2684,1631,1489,1785,2530,2847,2470,1565,1449,560,558,497,202
Tonga,Canada,113,53,60,87,89,20,8,19,52,30,15,8,6,32,81,117,35,104,311,201
Tonga,"Taipei, Chinese",3266,335,52,415,1883,26,143,335,97,41,43,9,0,1,2,28,6,4,127,182
Tonga,Netherlands,0,48,15,12,0,3,0,0,1,0,93,69,40,44,26,128,7,15,15,179
Tonga,France,124,75,38,104,19,31,408,575,298,386,360,134,363,86,213,97,43,30,519,154
Tonga,"Hong Kong, China",289,103,507,234,813,4161,3709,3755,483,703,658,253,42,39,24,361,416,1488,1115,109
Tonga,Singapore,0,0,0,0,0,0,0,15,112,123,75,2,10,8,11,23,81,40,64,107
Tonga,Serbia,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,72
Tonga,Poland,0,0,0,1,14,1,1,0,1,14,215,0,0,16,121,4,3,6,14,54
Tonga,South Africa,0,0,0,0,2,2,2,2,1,17,42,0,1,1,2,0,1,2636,0,34
Tonga,Malaysia,2,0,17,0,1,0,3,175,60,0,1,2,3,0,0,0,376,450,2,17
Tonga,Sweden,0,0,0,0,0,0,0,4,0,0,10,21,1,0,3,8,0,5,28,15
Tonga,Italy,199,171,228,211,687,119,178,27,372,95,0,1,225,200,1071,27,22,19,49,14
Tonga,Colombia,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4
Tonga,Thailand,0,1,0,5,1,0,0,7,0,0,0,2,5,62,0,0,1,0,24,3
Tonga,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Tonga,China,0,1,13,39,18,59,6,47,0,25,35,23,24,583,119,130,238,41,2,2
Tonga,Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Tonga,Spain,0,0,0,0,0,143,357,403,0,1,2,53,0,4,12,12,44,40,19,2
Tonga,Belgium,2,0,0,28,50,1,39,1,0,92,1032,0,1,113,2,1,0,2,1142,1
Tonga,Czech Republic,0,0,1,0,0,0,3,0,2,1,4,0,20,2,2,0,1,0,9,1
Tonga,Denmark,16,6,0,24,7,0,0,0,2,0,0,0,0,0,0,0,4,0,3,1
Tonga,Ecuador,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,174,27,1
Tonga,Ukraine,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0
