reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Turkiye,China,2821292,4253726,7303285,10484266,10606312,8333535,11942037,15613705,15585293,17746991,19305458,18630120,16807503,18143520,17864201,17323705,20346420,29153869,34033749,38919314
Turkiye,Germany,14691577,15887815,18076790,20723232,22533195,16393171,21678681,28160076,25950999,28498296,25664987,24703019,24216131,24280334,22729040,21903773,24769142,25180881,28285632,33141694
Turkiye,Switzerland,4089457,3869442,3553349,4764912,5639086,2610630,2030152,2421712,4401389,8901009,4904418,2587451,2341581,6134305,2852147,3367551,6244164,2814434,12776271,16207518
Turkiye,Italy,6924430,7498106,8487522,9856763,11033562,7883938,10512536,13277858,13614012,13390458,12922964,11060445,10620982,11424866,10375700,9343500,8812585,11263704,14117540,15224722
Turkiye,United States of America,3362264,4238966,5729587,6585654,10439710,7088987,10538482,14695214,12474727,12073352,11645441,9519510,9354232,9772449,10254045,10031193,9986225,11905337,14993009,14693842
Turkiye,France,5260312,5799788,6533478,7125920,8402659,6731562,8303271,9335394,8874382,8319703,7961495,7870934,7750643,7565786,7075886,6655319,7185748,8685163,9725730,12765466
Turkiye,Netherlands,3043087,3800173,4159084,5180939,5673342,4858704,5951135,6607430,6007779,6401330,6731009,5813289,5650619,6692444,6473794,6314117,6493517,7407756,7965482,10057400
Turkiye,Spain,3218781,3352225,3498277,4042017,4435873,3966436,4965926,6213080,6080741,6405761,6646089,5617397,5731679,6437930,5705824,4999308,4871481,6493877,7131108,9477793
Turkiye,"Korea, Republic of",2356221,2782025,3035803,4087436,3772570,2660688,3752906,5070997,4551618,5658180,6667545,6248776,5385453,6155728,5980391,5298124,5545511,7025311,7722957,8988419
Turkiye,United Kingdom,3623917,4046540,4572659,4798042,4646511,3540375,4876302,6305503,5571480,6793630,6130731,5398413,6171969,9564957,13673568,6415542,6356595,6254363,7919088,8028116
Turkiye,Belgium,3072411,3312779,3776047,4414985,5132480,4154368,5572771,6580213,5948540,6149052,6442269,5031193,4975911,5978789,5824547,5246052,5720712,7254135,7583311,7499992
