reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Tuvalu,France,176,154,79
Tuvalu,Germany,333,22,51
Tuvalu,Italy,0,260,83
Tuvalu,United Kingdom,236,609,816
Tuvalu,Papua New Guinea,0,0,13
Tuvalu,Poland,0,0,228
Tuvalu,United States of America,0,0,7
Tuvalu,Mexico,0,3,0
Tuvalu,"Macedonia, North",0,0,0
Tuvalu,Fiji,,128,27
Tuvalu,Slovenia,0,0,0
Tuvalu,South Africa,0,0,0
Tuvalu,Bangladesh,0,0,76
Tuvalu,Chile,0,0,0
Tuvalu,Kazakhstan,28,17,0
Tuvalu,Serbia and Montenegro,0,13,
Tuvalu,Bulgaria,0,0,0
Tuvalu,Czech Republic,2,1,0
Tuvalu,Lebanon,0,36,100
Tuvalu,Saint Kitts and Nevis,0,0,0
Tuvalu,Australia,8,8,2
Tuvalu,Ethiopia,61,2,1
Tuvalu,Estonia,0,3,0
Tuvalu,Switzerland,1,0,0
Tuvalu,Bosnia and Herzegovina,,,0
Tuvalu,Croatia,0,5,10
Tuvalu,Cuba,0,0,0
Tuvalu,New Zealand,2,3,5
Tuvalu,Faroe Islands,0,0,1
Tuvalu,"Korea, Republic of",0,0,58
Tuvalu,Ukraine,0,14,0
Tuvalu,Azerbaijan,4,0,104
Tuvalu,Austria,2,1,45
Tuvalu,Belgium,0,1,8
Tuvalu,"Bolivia, Plurinational State of",0,3,0
Tuvalu,Cambodia,0,0,7
Tuvalu,Colombia,16,0,0
Tuvalu,Comoros,0,0,1
Tuvalu,Mayotte,3,14,0
Tuvalu,Benin,13,1,0
Tuvalu,Denmark,92,0,4
Tuvalu,Ecuador,15,0,0
Tuvalu,Georgia,0,14,0
Tuvalu,"Hong Kong, China",1,0,0
Tuvalu,Hungary,9,7,42
Tuvalu,Indonesia,1,14,0
Tuvalu,Ireland,0,0,0
Tuvalu,Netherlands,2,4,0
Tuvalu,New Caledonia,0,1,0
Tuvalu,Philippines,80,180,853
Tuvalu,Portugal,0,11,0
Tuvalu,Romania,0,0,0
Tuvalu,Russian Federation,0,0,2
Tuvalu,Rwanda,0,0,43
Tuvalu,India,0,0,2
Tuvalu,Singapore,12,57,0
Tuvalu,Slovakia,3,0,6
Tuvalu,Viet Nam,0,0,0
Tuvalu,Spain,2,3,0
Tuvalu,Sudan (before 2012),0,80,0
Tuvalu,Sweden,301013,339209,0
Tuvalu,Thailand,1,0,41
Tuvalu,Tunisia,0,1,0
Tuvalu,"Tanzania, United Republic of",10,0,0
Tuvalu,Nigeria,63,47,68
