partner,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Ukraine,Russian Federation,5282364,5885284,7597637
Ukraine,Germany,1764694,2123281,2940490
Ukraine,Poland,966679,1144393,1523452
Ukraine,China,247158,527447,928552
Ukraine,Italy,628350,717122,973506
Ukraine,Netherlands,250804,345328,477935
Ukraine,Hungary,209282,275114,441430
Ukraine,France,284838,353193,501838
Ukraine,Türkiye,289180,313265,444967
Ukraine,Belarus,421819,271582,343520
Ukraine,"Korea, Republic of",173407,220345,357605
Ukraine,Czech Republic,185292,249479,261732
Ukraine,Belgium,239629,291045,365902
Ukraine,Austria,241182,258649,414887
Ukraine,United Kingdom,294801,285147,401463
Ukraine,United States of America,200095,254812,230559
Ukraine,Sweden,129408,189278,229336
Ukraine,Switzerland,98061,134654,229388
Ukraine,Finland,138199,166794,229449
Ukraine,Slovakia,145553,156853,221458
Ukraine,Kazakhstan,490215,291469,426224
Ukraine,Japan,36752,58005,147458
Ukraine,Spain,87623,110388,178233
Ukraine,Lithuania,154725,143301,171735
Ukraine,India,81713,98167,94812
Ukraine,Brazil,34194,61886,93378
Ukraine,Denmark,86612,103983,154838
Ukraine,Slovenia,48243,82370,105167
Ukraine,Estonia,119877,129098,199975
Ukraine,Norway,109003,112361,108969
Ukraine,Israel,56731,69582,74705
Ukraine,"Taipei, Chinese",72866,68690,87661
Ukraine,Indonesia,25241,52312,75656
Ukraine,Romania,45135,37819,65471
Ukraine,Malaysia,33740,25294,41052
Ukraine,Bulgaria,61915,53417,59365
Ukraine,Latvia,33345,41981,60291
Ukraine,"Moldova, Republic of",57175,61370,56157
Ukraine,"Hong Kong, China",48819,44575,54080
Ukraine,Syrian Arab Republic,108844,102465,64892
Ukraine,Greece,45642,73643,59072
Ukraine,Thailand,14656,17131,28768
Ukraine,Serbia and Montenegro,29418,35416,
Ukraine,Canada,12055,19707,47064
Ukraine,New Caledonia,1014,0,8902
Ukraine,Australia,27498,26568,40686
Ukraine,Viet Nam,26053,30388,26422
Ukraine,Singapore,9271,34805,17004
Ukraine,Gabon,0,919,22
Ukraine,Guinea,1551,7322,
Ukraine,Sri Lanka,28676,24144,25940
Ukraine,"Iran, Islamic Republic of",151575,53482,19239
Ukraine,Namibia,37,8,40
Ukraine,Argentina,2962,6688,11735
Ukraine,Egypt,9939,6198,7539
Ukraine,Ireland,28397,21228,23457
Ukraine,Luxembourg,15670,14206,22949
Ukraine,South Africa,932,2655,15719
Ukraine,Georgia,11492,12601,30088
Ukraine,Portugal,4826,6729,9452
Ukraine,Croatia,10011,10196,12653
Ukraine,Bangladesh,25,14,2833
Ukraine,Azerbaijan,6841,12982,21204
Ukraine,Oman,69,427,10810
Ukraine,Pakistan,,,7447
Ukraine,Armenia,10898,7994,6708
Ukraine,Cuba,690,38,7676
Ukraine,Saudi Arabia,0,251,186
Ukraine,Jordan,1516,1702,4237
Ukraine,Iceland,3231,4296,3084
Ukraine,Kyrgyzstan,2900,4212,5418
Ukraine,Cyprus,8099,4883,2685
Ukraine,Mongolia,2846,,3603
Ukraine,Chile,206,1251,1718
Ukraine,Colombia,1632,1537,2234
Ukraine,Ghana,9262,,11321
Ukraine,"Macedonia, North",782,480,1784
Ukraine,Honduras,30,9,183
Ukraine,Faroe Islands,94,233,351
Ukraine,Ecuador,1954,2260,925
Ukraine,Uganda,494,596,16
Ukraine,Lebanon,878,527,1171
Ukraine,New Zealand,322,940,358
Ukraine,Malawi,1708,1492,2328
Ukraine,Mexico,513,2475,4723
Ukraine,Uruguay,69,76,493
Ukraine,Kenya,189,116,477
Ukraine,Peru,84,366,1198
Ukraine,Morocco,417,673,1875
Ukraine,Bosnia and Herzegovina,,,266
Ukraine,Tunisia,4583,2246,274
Ukraine,Philippines,1639,313,383
Ukraine,Kuwait,57,37,216
Ukraine,Zimbabwe,0,39,153
Ukraine,Cambodia,16,52,68
Ukraine,Botswana,0,8,0
Ukraine,Ethiopia,0,55,14
Ukraine,Togo,0,0,22
Ukraine,Côte d'Ivoire,0,0,0
Ukraine,Malta,83,115,92
Ukraine,Mozambique,0,0,0
Ukraine,Guyana,3160,1087,9
Ukraine,"Tanzania, United Republic of",11,31,353
Ukraine,Burundi,0,0,16
Ukraine,Mali,0,54,0
Ukraine,Algeria,2550,0,7
Ukraine,Mauritius,6,0,0
Ukraine,Sudan (before 2012),42,0,23
Ukraine,Dominican Republic,0,2,0
Ukraine,Barbados,8,1,0
Ukraine,"Bolivia, Plurinational State of",0,0,0
Ukraine,Fiji,,12,225
Ukraine,Suriname,0,,
Ukraine,Costa Rica,2568,17,48
Ukraine,Qatar,0,0,0
Ukraine,Papua New Guinea,0,31,0
Ukraine,"Macao, China",125,205,14
Ukraine,Yemen,,,
Ukraine,Paraguay,0,0,1
Ukraine,"Venezuela, Bolivarian Republic of",4372,603,25
Ukraine,Albania,22,39,0
Ukraine,El Salvador,1,0,0
Ukraine,French Polynesia,0,0,0
Ukraine,Guatemala,1,25,0
Ukraine,Jamaica,0,158,0
Ukraine,Saint Vincent and the Grenadines,1,0,0
Ukraine,Trinidad and Tobago,2,0,0
Ukraine,Samoa,3,4,0
Ukraine,Zambia,24,8,210
Ukraine,Nepal,,,1
