reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
United Kingdom,Germany,46392573,50056536,62522830
United Kingdom,France,28480822,31330056,34405122
United Kingdom,United States of America,40712585,33204013,33827044
United Kingdom,Netherlands,24080586,24116274,27099924
United Kingdom,Belgium,19140927,20807091,23280179
United Kingdom,Italy,16455279,17646675,21006888
United Kingdom,Norway,11574632,11514648,14428621
United Kingdom,Ireland,18598084,19705158,15252411
United Kingdom,Spain,10485673,12150448,15068094
United Kingdom,Japan,12146534,11978656,13226493
United Kingdom,China,6780523,8059425,10823721
United Kingdom,Sweden,6748092,6794956,7940993
United Kingdom,"Hong Kong, China",7202690,7303535,8988152
United Kingdom,Switzerland,4581161,4748155,5108813
United Kingdom,Singapore,2849424,2589395,4576376
United Kingdom,Denmark,4585481,5125525,5066392
United Kingdom,Canada,3268685,2823886,4351083
United Kingdom,Russian Federation,4282863,3802771,4918644
United Kingdom,Türkiye,2174892,3024942,3670093
United Kingdom,"Korea, Republic of",3489988,4255459,4094242
United Kingdom,Austria,3104674,3408106,3941387
United Kingdom,Finland,4181823,4192091,4235262
United Kingdom,South Africa,2836834,2519194,3197496
United Kingdom,Poland,1778869,2104523,2676128
United Kingdom,Australia,2685677,3051556,4822895
United Kingdom,Portugal,2459615,2682375,3272411
United Kingdom,India,2196629,2409057,2769374
United Kingdom,"Taipei, Chinese",3329154,2913761,2879977
United Kingdom,Czech Republic,1823589,2741042,2621506
United Kingdom,Hungary,1314461,1615087,1970647
United Kingdom,Thailand,2327304,2390697,2586987
United Kingdom,Malaysia,2310289,2198174,2334711
United Kingdom,Botswana,2173903,2235716,3007651
United Kingdom,Brazil,1702994,1767164,1895646
United Kingdom,Romania,586528,805047,1181636
United Kingdom,Israel,1219530,1164625,1224539
United Kingdom,Indonesia,1383095,1252396,1135849
United Kingdom,Greece,824858,642771,998455
United Kingdom,Peru,923203,904140,1165901
United Kingdom,Belarus,222931,493726,938265
United Kingdom,Viet Nam,511565,571631,754767
United Kingdom,New Zealand,654864,692704,793291
United Kingdom,Pakistan,,,842309
United Kingdom,Bangladesh,498247,551261,713591
United Kingdom,Chile,1243245,802625,693424
United Kingdom,Slovakia,310867,344785,463638
United Kingdom,Sri Lanka,576271,589872,638234
United Kingdom,Mexico,754472,656032,732912
United Kingdom,Morocco,588897,621244,638864
United Kingdom,Mauritius,479155,520566,557691
United Kingdom,Luxembourg,795691,656598,595583
United Kingdom,Philippines,997249,946273,695264
United Kingdom,Iceland,368095,389975,417087
