reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Uruguay,United States of America,227721,202867,269869
Uruguay,Brazil,519609,498394,554061
Uruguay,Argentina,328974,122450,163496
Uruguay,Germany,72730,129589,164910
Uruguay,Mexico,84555,91535,101450
Uruguay,Spain,93078,96783,106509
Uruguay,Italy,95627,99594,124853
Uruguay,Chile,55540,77595,89157
Uruguay,China,95526,78067,75750
Uruguay,Canada,89234,30552,97937
Uruguay,Switzerland,7340,87253,88475
Uruguay,United Kingdom,61359,104842,87541
Uruguay,Netherlands,32719,36953,68190
Uruguay,Japan,45608,52314,58624
Uruguay,Paraguay,72510,61292,48544
Uruguay,France,39020,32651,42130
Uruguay,Thailand,12920,13616,37281
Uruguay,Poland,22808,26906,35316
Uruguay,Philippines,1649,1547,16619
Uruguay,Saudi Arabia,4996,6073,2957
Uruguay,Croatia,881,627,521
Uruguay,Peru,22500,18522,14670
Uruguay,Israel,46104,64809,45138
Uruguay,"Hong Kong, China",34973,33363,31310
Uruguay,Norway,16548,9876,18565
Uruguay,"Venezuela, Bolivarian Republic of",55892,37741,17939
Uruguay,Belgium,20438,20355,22952
Uruguay,Portugal,5707,11875,16501
Uruguay,Morocco,2427,9884,14555
Uruguay,"Iran, Islamic Republic of",27097,36110,27402
Uruguay,Egypt,3502,11765,6450
Uruguay,Guatemala,4115,8651,19031
Uruguay,Russian Federation,4964,21406,22995
Uruguay,Colombia,22424,22602,21061
Uruguay,Ecuador,16221,25080,8507
Uruguay,Malaysia,6903,26423,3877
Uruguay,Finland,2960,7512,11297
Uruguay,Sweden,6048,7820,11476
Uruguay,"Korea, Republic of",8214,5645,11692
Uruguay,South Africa,12741,10192,10127
Uruguay,Costa Rica,4086,5238,3297
Uruguay,Türkiye,15555,18056,35655
Uruguay,Singapore,8218,11346,4679
Uruguay,Algeria,68,19889,48177
Uruguay,Senegal,1804,413,2373
Uruguay,Australia,3207,4996,3978
Uruguay,Cuba,1856,401,1592
Uruguay,Jordan,166,725,4162
Uruguay,Trinidad and Tobago,1883,304,950
Uruguay,Tunisia,40,67,698
Uruguay,"Taipei, Chinese",2452,3892,6406
Uruguay,Viet Nam,1125,2000,2897
Uruguay,Dominican Republic,2302,11994,3661
Uruguay,India,2452,4566,8725
Uruguay,Denmark,2126,2424,5377
Uruguay,Ghana,181,,365
Uruguay,Panama,379,1132,1692
Uruguay,Togo,0,0,0
Uruguay,"Bolivia, Plurinational State of",3906,3873,3917
Uruguay,El Salvador,1335,1095,5491
Uruguay,Romania,565,1687,2562
Uruguay,Cameroon,54,0,1062
Uruguay,Greece,1282,4294,3191
Uruguay,Czech Republic,2351,1901,3005
Uruguay,Albania,9,105,92
Uruguay,"Macao, China",347,258,296
Uruguay,Indonesia,1471,3801,2350
Uruguay,Austria,1278,2846,1325
Uruguay,Armenia,21,40,95
Uruguay,Suriname,10,,
Uruguay,Lithuania,1664,321,1512
Uruguay,Bulgaria,221,1501,2621
Uruguay,Honduras,9426,736,2460
Uruguay,Nicaragua,2064,261,395
Uruguay,"Macedonia, North",308,350,796
Uruguay,Belarus,122,77,502
Uruguay,Kuwait,0,335,258
Uruguay,Gabon,300,0,294
Uruguay,Ireland,670,1500,372
Uruguay,Malta,81,65,299
Uruguay,Jamaica,311,792,774
Uruguay,Slovakia,681,570,1037
Uruguay,Barbados,57,98,71
Uruguay,French Polynesia,50,0,0
Uruguay,Bangladesh,531,686,967
Uruguay,Hungary,461,983,1165
Uruguay,Pakistan,,,581
Uruguay,Côte d'Ivoire,40,116,334
Uruguay,Ukraine,320,62,6154
Uruguay,Madagascar,15,2,0
Uruguay,Cyprus,703,1030,1200
Uruguay,Serbia and Montenegro,87,212,
Uruguay,New Zealand,316,391,438
Uruguay,Mauritius,0,6269,6114
Uruguay,Andorra,20,21,303
Uruguay,Lebanon,52,3180,467
Uruguay,Slovenia,459,625,543
Uruguay,Sri Lanka,3,10,6
Uruguay,Belize,1,5,44
Uruguay,Estonia,275,240,423
Uruguay,Zambia,11,47,44
Uruguay,Mali,0,0,40
Uruguay,Kazakhstan,65,230,10
Uruguay,Zimbabwe,148,46,2071
Uruguay,Latvia,427,456,337
Uruguay,Cambodia,13,52,97
Uruguay,"Moldova, Republic of",36,62,6
Uruguay,Bosnia and Herzegovina,,,39
Uruguay,Mozambique,0,0,14
Uruguay,Botswana,0,336,0
Uruguay,Angola,,,
Uruguay,Iceland,42,31,47
Uruguay,Namibia,0,43,74
Uruguay,Malawi,0,0,0
Uruguay,Guyana,665,19,96
Uruguay,Benin,43,6,50
Uruguay,Qatar,23,203,5
Uruguay,Grenada,0,0,0
Uruguay,Cabo Verde,9,17,38
Uruguay,Dominica,0,16,6
Uruguay,Mauritania,0,0,5
Uruguay,Yemen,,,
Uruguay,Faroe Islands,1423,668,6
Uruguay,Fiji,,16,8
Uruguay,Ethiopia,0,0,7
Uruguay,New Caledonia,1,2,0
Uruguay,Saint Vincent and the Grenadines,567,13,0
Uruguay,Saint Lucia,0,19,48
Uruguay,Timor-Leste,,,
Uruguay,Bahamas,122,10,28
Uruguay,Azerbaijan,0,651,104
Uruguay,Bahrain,1,45,0
Uruguay,Brunei Darussalam,0,0,5
Uruguay,Mayotte,0,65,1
Uruguay,Georgia,0,8,54
Uruguay,Greenland,0,0,186
Uruguay,Kenya,68,61,113
Uruguay,Luxembourg,54,23,0
Uruguay,Oman,4,37,0
Uruguay,Niger,100,0,0
Uruguay,Papua New Guinea,5,1,0
Uruguay,Rwanda,0,0,27
Uruguay,Turks and Caicos Islands,0,9,0
Uruguay,"Tanzania, United Republic of",0,1,0
Uruguay,Burkina Faso,20,5,0
Uruguay,Samoa,6,1,0
Uruguay,Nepal,,,21
Uruguay,Nigeria,643,4209,2717
