reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Uruguay,Argentina,743587,541608,531297
Uruguay,Brazil,640885,410470,403422
Uruguay,Paraguay,180017,165052,269803
Uruguay,Mexico,50912,25838,34244
Uruguay,United States of America,406285,208562,326494
Uruguay,China,188950,94954,127620
Uruguay,Russian Federation,10520,53601,195899
Uruguay,Italy,147988,81849,77518
Uruguay,Germany,93175,72313,73126
Uruguay,Chile,74871,43080,41545
Uruguay,France,108053,59205,72673
Uruguay,Spain,128537,91699,84967
Uruguay,Switzerland,40662,50751,60441
Uruguay,United Kingdom,71310,46548,51837
Uruguay,Japan,56261,30478,42496
Uruguay,"Taipei, Chinese",65995,31417,47744
Uruguay,"Korea, Republic of",78266,34657,44352
Uruguay,Canada,12842,6594,9332
Uruguay,Netherlands,34528,19307,23749
Uruguay,"Hong Kong, China",63454,25825,20907
Uruguay,India,32714,16707,18786
Uruguay,Belgium,26327,12535,18670
Uruguay,Sweden,15002,5937,8439
Uruguay,Singapore,10115,5323,5453
Uruguay,Austria,6974,6185,3533
Uruguay,Australia,8547,12880,7694
Uruguay,Peru,4280,5015,8643
Uruguay,Malaysia,11569,5622,13418
Uruguay,Denmark,8446,9092,7892
Uruguay,Thailand,17635,2611,3958
Uruguay,Israel,12604,7501,7279
Uruguay,Finland,8548,3850,5074
Uruguay,Philippines,2418,1372,1385
Uruguay,Colombia,10406,5387,4354
Uruguay,South Africa,9766,5309,6951
Uruguay,New Zealand,3098,2891,4499
Uruguay,Ireland,3413,5187,6397
Uruguay,Indonesia,20197,3981,3861
Uruguay,Norway,5075,1580,2405
Uruguay,Belarus,1250,0,607
Uruguay,Poland,2996,704,4547
Uruguay,Portugal,6210,3331,1858
Uruguay,Morocco,3853,2553,85
Uruguay,Pakistan,,,2447
Uruguay,Greece,4519,3146,1699
Uruguay,Tunisia,273,3155,0
Uruguay,Trinidad and Tobago,59,1,0
Uruguay,"Venezuela, Bolivarian Republic of",161583,67653,1213
Uruguay,Türkiye,4535,2109,1601
Uruguay,"Bolivia, Plurinational State of",9451,1123,854
Uruguay,Bangladesh,1243,96,445
Uruguay,Ecuador,5333,1202,1074
Uruguay,Viet Nam,1699,931,455
Uruguay,Czech Republic,1335,9222,691
Uruguay,Hungary,1157,863,741
Uruguay,Namibia,3,0,0
Uruguay,Ukraine,4228,22,75
Uruguay,Slovenia,279,941,517
Uruguay,Sri Lanka,828,398,559
Uruguay,Costa Rica,1427,700,680
Uruguay,Togo,1476,879,1524
Uruguay,Bahamas,527,259,459
Uruguay,Cuba,1706,7866,352
Uruguay,Romania,181,1775,1252
Uruguay,Egypt,6088,58,119
Uruguay,Bulgaria,349,1560,2067
Uruguay,Iceland,185,151,384
Uruguay,Saudi Arabia,783,0,0
Uruguay,El Salvador,47,15,2
Uruguay,"Iran, Islamic Republic of",4,183,82
Uruguay,Lebanon,214,116,7
Uruguay,Mauritius,14,262,281
Uruguay,Malta,0,476,0
Uruguay,Dominican Republic,34,99,150
Uruguay,Estonia,98,7,2
Uruguay,Luxembourg,292,177,103
Uruguay,Suriname,0,,
Uruguay,Fiji,,50,10
Uruguay,Guatemala,72,196,288
Uruguay,"Macedonia, North",0,0,56
Uruguay,Cyprus,1220,89,33
Uruguay,Latvia,13,14,21
Uruguay,Ghana,296,,0
Uruguay,Jordan,20,0,0
Uruguay,Mali,0,0,0
Uruguay,Côte d'Ivoire,0,0,27
Uruguay,Serbia and Montenegro,437,190,
Uruguay,Croatia,14,0,15
Uruguay,Andorra,105,60,47
Uruguay,Honduras,0,171,869
Uruguay,Slovakia,74,20,45
Uruguay,Lithuania,12,20,0
Uruguay,Kenya,65,1,0
Uruguay,Nicaragua,1,5,1
Uruguay,Guyana,0,0,0
Uruguay,"Macao, China",28,36,0
Uruguay,Cambodia,4,3,1
Uruguay,Belize,22,0,0
Uruguay,Grenada,35,41,0
Uruguay,Kuwait,0,1,18
Uruguay,Mozambique,0,276,0
Uruguay,Panama,127,86,5
Uruguay,Qatar,142,0,0
Uruguay,Zimbabwe,0,41,0
Uruguay,Zambia,7,0,0
Uruguay,Nepal,,,22
Uruguay,Nigeria,31652,0,25884
