reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Uzbekistan,China,172442,230064,406154,764854,1277814,1560539,1181024,1359242,1783339,2613355,2678214,2236357,2033302,2763952,3942096,5032088,5138708,5882075,7504177,12394790
Uzbekistan,"Korea, Republic of",359048,493095,649302,748302,1122592,1149783,1438644,1718758,1766516,1968246,2032719,1284247,930468,1180448,2117837,2338472,1704309,1879123,2183539,2369872
Uzbekistan,Türkiye,145226,151071,175995,225612,337130,279964,282666,354490,449884,624482,650355,488652,533322,680104,951458,1232288,1154334,1841893,1877915,1872539
Uzbekistan,"Hong Kong, China",6206,2897,3773,4679,24940,11616,6551,18645,11433,15912,39700,21567,18600,9014,25809,34832,17102,42196,759428,1380105
Uzbekistan,Germany,220829,284926,308533,360441,465050,472348,721186,685861,517262,572294,671104,465138,480078,660578,807051,979874,688328,675138,1393184,1083646
Uzbekistan,France,38616,47898,54147,70936,42057,72439,154254,191983,87498,155929,135037,118705,106167,90952,142589,149596,243986,197871,250185,672944
Uzbekistan,Italy,68756,62623,40514,66655,107860,139692,131074,160751,141740,121492,197739,154213,194648,191057,377957,349843,345406,430560,449433,536166
Uzbekistan,Poland,23613,45473,62317,63192,95068,69208,75348,114293,119828,147902,136538,110702,87341,78519,188296,160657,165453,185683,249600,437714
Uzbekistan,United States of America,191991,73827,53985,88754,300659,97416,101148,102561,284611,356435,212944,137963,317880,136095,296540,505539,181074,401256,272674,367843
Uzbekistan,Lithuania,12646,22599,13161,17499,19108,17933,31052,31141,48207,102094,133181,123530,124140,148558,210528,208893,159910,183340,328896,329163
Uzbekistan,Brazil,10163,7817,5245,6753,7662,11708,19651,8358,20870,46607,16922,9963,13546,5292,37584,27604,44749,118053,118611,268357
