reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Vanuatu,"Taipei, Chinese",5568,19067,72911
Vanuatu,Australia,26633,28150,31774
Vanuatu,Japan,40390,22951,21466
Vanuatu,Singapore,22136,9745,14947
Vanuatu,New Zealand,10624,12210,11724
Vanuatu,United States of America,760,853,1267
Vanuatu,New Caledonia,4126,3695,7033
Vanuatu,China,1151,1406,2885
Vanuatu,Fiji,,3770,4069
Vanuatu,France,7152,2618,2909
Vanuatu,Spain,28,96,89
Vanuatu,Papua New Guinea,212,1523,1459
Vanuatu,"Korea, Republic of",1234,992,973
Vanuatu,Indonesia,474,362,454
Vanuatu,Thailand,683,508,1314
Vanuatu,Poland,58,135,119
Vanuatu,Cuba,0,0,0
Vanuatu,"Hong Kong, China",1383,1444,1684
Vanuatu,India,6119,96,434
Vanuatu,Solomon Islands,126,195,77
Vanuatu,Italy,387,476,853
Vanuatu,Malaysia,196,190,361
Vanuatu,United Kingdom,666,584,198
Vanuatu,Côte d'Ivoire,484,583,275
Vanuatu,Germany,16344,466,376
Vanuatu,South Africa,15,5,72
Vanuatu,Canada,16,340,57
Vanuatu,Viet Nam,8,33,2043
Vanuatu,Netherlands,428,156,128
Vanuatu,Israel,0,0,0
Vanuatu,Belgium,194,51,28
Vanuatu,Luxembourg,3,1,9
Vanuatu,Türkiye,19,12,0
Vanuatu,Bangladesh,53,12,10
Vanuatu,Sweden,53,47,57
Vanuatu,Chile,1240,194,259
Vanuatu,Finland,37,1,21
Vanuatu,Philippines,11,17,127
Vanuatu,Bahrain,0,0,0
Vanuatu,Cambodia,0,7,0
Vanuatu,Denmark,26,44,15
Vanuatu,Estonia,16,210,89
Vanuatu,Switzerland,247,149,77
Vanuatu,Greece,326,5,13
Vanuatu,Yemen,,,
Vanuatu,Colombia,2,0,0
Vanuatu,Romania,1,0,0
Vanuatu,Mozambique,0,0,0
Vanuatu,Kenya,0,0,0
Vanuatu,Saint Lucia,0,0,0
Vanuatu,Sri Lanka,0,0,0
Vanuatu,Ireland,0,10,15
Vanuatu,Ghana,1,,0
Vanuatu,Serbia and Montenegro,0,32,
Vanuatu,Ukraine,30,0,0
Vanuatu,Argentina,0,9,0
Vanuatu,Barbados,1,0,0
Vanuatu,Brazil,1,2,2
Vanuatu,Bulgaria,6,0,0
Vanuatu,Croatia,0,0,111
Vanuatu,Czech Republic,0,6,0
Vanuatu,Ecuador,78,79,4
Vanuatu,French Polynesia,28,11,0
Vanuatu,Latvia,4,0,0
Vanuatu,Lithuania,1,0,1
Vanuatu,Madagascar,0,0,9
Vanuatu,Mexico,429,13,115
Vanuatu,Morocco,0,0,10
Vanuatu,Norway,276,86,0
Vanuatu,Portugal,0,76,0
Vanuatu,Slovakia,87,0,0
Vanuatu,Slovenia,17,0,0
Vanuatu,Trinidad and Tobago,311,0,0
Vanuatu,Egypt,0,0,24
Vanuatu,Samoa,4,9,0
Vanuatu,Zambia,2,0,0
Vanuatu,Tonga,5,0,0
