reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Vanuatu,China,7228,7798,18324,21289,34643,47442,22604,133860,133612,380483,180236,72398,64875,66050,63431,77252,72412,87643,96198,125011
Vanuatu,Australia,36876,44847,50233,59046,70518,56383,67220,67909,60926,55148,58028,53189,66637,59967,63339,56801,47205,64484,66930,79318
Vanuatu,Singapore,17870,35707,29874,34299,43744,50749,64419,106472,124640,69045,92913,43099,25332,28834,39232,22912,20281,34397,46012,35253
Vanuatu,New Zealand,15192,17609,21451,31595,29736,28512,31386,37006,31586,30252,29087,37167,35804,27225,26969,22885,22352,22526,24481,28345
Vanuatu,Malaysia,413,414,1047,1914,1993,1471,2939,2715,2572,20990,2593,9582,11859,23117,6368,2573,3070,18500,49225,27498
Vanuatu,Thailand,1783,5098,4059,4632,6461,5915,6437,6484,11611,10969,10265,10685,11307,13525,15829,12581,8137,11973,14257,16447
Vanuatu,United States of America,9467,9139,9059,23948,63768,3911,18940,5152,99516,34439,21186,5868,7814,7762,10309,4650,7014,4447,14432,13418
Vanuatu,Japan,23714,40209,47604,5533,47297,72176,44423,26249,75603,145965,38530,59471,34856,31880,10951,8844,9865,6274,8816,12924
Vanuatu,Türkiye,97,233,169,485,1668,1303,1010,1074,1419,6043,1306,1550,431,1457,2082,2659,3077,7133,7096,10620
Vanuatu,France,3558,3206,4994,4970,10687,23688,8843,11311,6781,10587,9004,7212,26096,7670,7382,6217,5416,5746,9503,9433
Vanuatu,"Korea, Republic of",1918,3407,1933,3413,6144,4301,536548,4084,2964,4159,4189,4454,4215,7091,5766,6970,4600,6505,6080,7705
Vanuatu,"Taipei, Chinese",50607,4165,191,396,435,517,580,1015,1050,2352,1540,948,988,880,798,12693,4173,16649,7059,5473
Vanuatu,"Hong Kong, China",1516,1471,1532,2102,4142,1949,1997,3080,3796,3416,4552,4862,4406,6108,5128,4001,2366,4004,4297,4597
Vanuatu,United Kingdom,390,2760,1473,1550,1454,7858,2487,1060,1083,532,913,1426,514,930,1920,554,244,386,518,1491
Vanuatu,Greece,20,705,542,28,1340,1338,787,0,90,4,7,598,985,796,913,931,524,1012,2706,1306
Vanuatu,Netherlands,126,481,323,114,262,147,422,283,419,467,186,312,548,463,351,984,365,623,843,1169
Vanuatu,Italy,482,907,864,510,662,281,758,450,531,625,609,662,467,1814,702,540,672,710,913,1110
Vanuatu,Canada,180,911,477,255,639,1779,1695,1843,1208,714,363,528,207,339,203,183,162,173,238,689
Vanuatu,Germany,289,462,468,1221,1182,4777,632,233,381,887,453,850,1115,1064,1048,748,424,591,546,669
Vanuatu,Brazil,0,6,12,22,102,6,130,186,165,146,37,237,99,176,560,1169,193,1403,500,481
