reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Venezuela,United States of America,5642143,4429658,2830974
Venezuela,Colombia,1737388,1122152,694333
Venezuela,Brazil,1091336,786461,603937
Venezuela,Mexico,775892,663162,420770
Venezuela,China,443349,332670,199237
Venezuela,Germany,558623,546273,342626
Venezuela,Italy,724072,589692,285618
Venezuela,Japan,742930,421928,182368
Venezuela,Spain,492473,582286,379327
Venezuela,Argentina,234487,148415,139721
Venezuela,Canada,539272,347847,221348
Venezuela,Cuba,21890,19369,189857
Venezuela,United Kingdom,451751,350764,235236
Venezuela,Chile,306802,208491,148420
Venezuela,France,327005,317166,271297
Venezuela,"Bolivia, Plurinational State of",98241,175423,176198
Venezuela,"Korea, Republic of",554664,247486,106977
Venezuela,Belgium,182717,163311,102526
Venezuela,Peru,145203,114052,109060
Venezuela,Netherlands,131306,103341,93493
Venezuela,Ecuador,165601,65022,54619
Venezuela,Switzerland,120269,128449,69491
Venezuela,"Taipei, Chinese",155403,91377,48209
Venezuela,New Zealand,111990,43977,75173
Venezuela,"Hong Kong, China",206569,111075,39781
Venezuela,Sweden,81391,70510,58642
Venezuela,Austria,51570,41210,54169
Venezuela,Indonesia,26184,21791,24445
Venezuela,India,58919,41458,24337
Venezuela,Israel,55347,26249,25479
Venezuela,Poland,41891,17218,10999
Venezuela,Philippines,4633,2025,1610
Venezuela,Costa Rica,26978,23404,22718
Venezuela,Uruguay,22418,11176,5701
Venezuela,Denmark,31648,24945,30118
Venezuela,Finland,97272,51242,22563
Venezuela,Thailand,26062,19440,10585
Venezuela,Ireland,36339,26821,23359
Venezuela,Norway,32372,30401,14094
Venezuela,Romania,34033,14342,12897
Venezuela,Trinidad and Tobago,59746,23900,42325
Venezuela,Ukraine,14418,8963,14875
Venezuela,Malaysia,10816,10733,14377
Venezuela,Belarus,4780,2217,1179
Venezuela,Guatemala,7705,15535,3153
Venezuela,South Africa,16006,15026,3926
Venezuela,Singapore,31247,13044,7121
Venezuela,Türkiye,15907,15598,21502
Venezuela,Portugal,24245,13059,7215
Venezuela,Australia,7248,48860,3835
Venezuela,"Iran, Islamic Republic of",960,235,49
Venezuela,Paraguay,7353,9690,6648
Venezuela,Greece,4802,2743,1005
Venezuela,Russian Federation,6165,6044,1419
Venezuela,Morocco,6743,7384,4836
Venezuela,Pakistan,,,3563
Venezuela,Syrian Arab Republic,0,0,3794
Venezuela,Czech Republic,8437,8119,2370
Venezuela,Dominican Republic,6152,2904,3635
Venezuela,Viet Nam,5875,4119,1169
Venezuela,Hungary,3589,2844,3836
Venezuela,Slovenia,3040,1828,2289
Venezuela,Lithuania,245,21,0
Venezuela,Slovakia,3464,899,541
Venezuela,Bulgaria,702,919,1728
Venezuela,Luxembourg,1544,2038,1500
Venezuela,El Salvador,6652,4569,3866
Venezuela,Panama,18192,8582,2305
Venezuela,Nicaragua,1850,3435,875
Venezuela,Guyana,2708,2326,1000
Venezuela,Cameroon,110,305,499
Venezuela,Lebanon,656,767,468
Venezuela,Honduras,358,1647,1256
Venezuela,Croatia,149,470,518
Venezuela,Belize,369,443,0
Venezuela,Egypt,596,459,401
Venezuela,Niger,0,591,0
Venezuela,Bangladesh,322,194,100
Venezuela,Mali,0,1723,5401
Venezuela,Estonia,1541,542,1408
Venezuela,Sri Lanka,499,174,64
Venezuela,Jamaica,1288,520,187
Venezuela,Latvia,0,61,33
Venezuela,Malta,136,974,169
Venezuela,Tunisia,890,415,44
Venezuela,Saint Lucia,200,97,69
Venezuela,Qatar,0,0,14
Venezuela,Dominica,75,2,0
Venezuela,Kenya,1285,73,10
Venezuela,Kazakhstan,46,179,86
Venezuela,Jordan,17,38,35
Venezuela,Mauritius,5,0,0
Venezuela,Serbia and Montenegro,37,18,
Venezuela,Algeria,1141,13,7
Venezuela,Saudi Arabia,465,0,0
Venezuela,Barbados,1215,830,20
Venezuela,Cambodia,29,12,0
Venezuela,Saint Vincent and the Grenadines,65,30,42
Venezuela,Oman,68,273,23
Venezuela,Kuwait,0,13,1
Venezuela,"Macao, China",16,110,3
Venezuela,Suriname,413,,
Venezuela,Brunei Darussalam,0,84,11
Venezuela,Andorra,1,2,0
Venezuela,Azerbaijan,0,10,0
Venezuela,Grenada,28,13,0
Venezuela,Gabon,0,25,0
Venezuela,Ghana,0,,0
Venezuela,Iceland,10,0,14
Venezuela,Rwanda,0,0,0
Venezuela,Cyprus,40,31,3
Venezuela,Fiji,,0,3
Venezuela,Bahamas,46,39,18
Venezuela,Armenia,0,0,0
Venezuela,Benin,524,191,121
Venezuela,Ethiopia,0,0,0
Venezuela,Georgia,0,0,1
Venezuela,Côte d'Ivoire,337,226,156
Venezuela,"Moldova, Republic of",0,0,11
Venezuela,Namibia,2,0,0
Venezuela,Papua New Guinea,2,0,0
Venezuela,Togo,296,0,0
Venezuela,Uganda,876,870,0
Venezuela,"Tanzania, United Republic of",0,26,0
Venezuela,Samoa,7,0,0
Venezuela,Nigeria,113066,0,0
Venezuela,Anguilla,0,0,0
