reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Zimbabwe,South Africa,169102,202270,346551
Zimbabwe,Switzerland,180805,162560,149944
Zimbabwe,China,114892,159593,167080
Zimbabwe,United Kingdom,209115,208370,150206
Zimbabwe,Zambia,93787,98130,211181
Zimbabwe,Japan,130753,125440,140907
Zimbabwe,Germany,137796,142226,146399
Zimbabwe,Italy,91061,54317,60091
Zimbabwe,Netherlands,120625,97236,97611
Zimbabwe,United States of America,90799,108746,60392
Zimbabwe,Botswana,57531,65833,24420
Zimbabwe,Thailand,49481,31201,25193
Zimbabwe,Malawi,33626,40850,51651
Zimbabwe,Türkiye,24320,4727,16925
Zimbabwe,Spain,44819,37763,37415
Zimbabwe,India,12819,16516,15470
Zimbabwe,"Taipei, Chinese",25523,10314,19485
Zimbabwe,France,27525,20725,21132
Zimbabwe,Belgium,23354,17843,14130
Zimbabwe,Jordan,7353,7714,16598
Zimbabwe,Russian Federation,33331,35361,23711
Zimbabwe,Namibia,5313,3222,6462
Zimbabwe,"Korea, Republic of",5501,5633,11380
Zimbabwe,Indonesia,16144,11883,2696
Zimbabwe,Portugal,30656,22270,21080
Zimbabwe,Denmark,13816,10844,11821
Zimbabwe,Mozambique,8534,14844,9472
Zimbabwe,Bulgaria,7542,9297,7715
Zimbabwe,Poland,16055,24979,8466
Zimbabwe,Greece,16703,9205,8540
Zimbabwe,"Hong Kong, China",2862,9561,3763
Zimbabwe,Austria,10063,12429,16099
Zimbabwe,Paraguay,4756,2367,3169
Zimbabwe,Sudan (before 2012),10128,1099,12596
Zimbabwe,Ethiopia,363,899,515
Zimbabwe,Singapore,11390,7527,5841
Zimbabwe,Australia,11942,7423,9883
Zimbabwe,Brazil,7089,7837,6324
Zimbabwe,Ukraine,9965,5111,4651
Zimbabwe,Bangladesh,5393,3333,3982
Zimbabwe,Norway,4619,4779,3597
Zimbabwe,Lebanon,194,1054,519
Zimbabwe,Dominican Republic,5,0,280
Zimbabwe,Egypt,1651,9780,5050
Zimbabwe,Kazakhstan,373,573,3001
